ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
450001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,9
450002,1,,在重新封印梦罗克之后，白女巫依旧贼心不死，收购了大量的魔能饲料，妄图再次复生梦罗克。\r\n所幸众人及时赶到，联合起来讨伐白女巫。千钧一发之际，白女巫使用了血之禁术——将自己的血液凝聚成武器。这种教国秘术具有强大的力量，令众人一时无法抗衡。最后，白女巫将国王带上船只，逃离了米德加兹大陆。,,9
460001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
460002,1,,在七圣贤对战世界之蛇耶梦加得时，给予世界之蛇耶梦加得最后一击的英雄特里斯坦一世所在的家族。其家族被耶梦加得诅咒：长子会噩梦缠身，身上出现蛇纹，并且会在恐怖的梦境中窒息而死，活不过23岁。是个具有悲剧色彩的家族。\r\n\r\n代表人物：特里斯坦一世、特里斯坦三世\r\n重要事迹：给予世界之蛇耶梦嘉德最后一击、特里斯坦三世三位王子连续死亡事件,,
460101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
460102,1,,白面具是教国的拥趸。在王子死亡之前，宝妮曾目睹了大量的白面具出现在卢恩境内。白面具们在普隆德拉的各处集结，建立了许多据点，疑似心怀不轨。\r\n根据班波的推断，毒害王子的凶手，极有可能受到白面具的指使，而卢恩的内部，也许已经遭到了教国的渗透。因此，班波决定向国王汇报，启动肃清计划，将卢恩境内所有的白面具全部抓起来。,,
460201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
460202,1,,刺客工会是位于梦罗克的神秘组织，擅长情报收集与暗杀，经营着卢恩王国庞大的情报网，为皇室、其他组织提供一些暗中委托，连卢恩皇室都要敬畏三分。\r\n\r\n代表人物：霖、基德\r\n重要事迹：协助调查卢恩地底集市起火事件、卢恩王子连续死亡事件,,
460301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
460302,1,,据说是从耶梦加得涎水中生出的毒草，广泛地分布在教国境内，提炼出的毒素可以致命，中毒者身上会因毒素生长出蛇纹，毒素无法被代谢，即使死亡这种痕迹也会留在中毒者身上，且越来越明显。\r\n\r\n创造者：自然生长\r\n作用：毒药,,
430001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430002,1,,一种魔法结晶，只要洒在空气中，就能显现出最近发生的事情，在卢恩国王特里斯坦三世失踪追溯凶手时被用到。光粒结晶是某位已故法师的得意之作，其制作方法随着法师的死亡一同进入了冥界，因此存量稀少。在拍卖会上，往往能够拍出很高的价格。\r\n\r\n创造者：未知\r\n作用：显现近期发生的重要事情的影像,,
430101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430102,1,,在复制人工厂之中，藏着白女巫毒害王子的证据。但与此同时，成百上千的古娜复制人蜂拥而至。面对强敌，拉乐西斯不惜一切代价断后。他因此受了重伤，最后不治而亡。,,
430201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430202,1,,据目击者的口述，有一位神秘的贵族，与美丽的舞女一起走向远方。\r\n那位神秘的贵族正是卢恩国王特里斯坦三世。带走国王的舞女，与古娜长得一模一样。在有心者看来，这场舞会更像是一场精心策划的阴谋。,,
430301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430302,1,,《死海古卷》是所罗门王被梦罗克蛊惑后，写下的伪经，分为上、中、下三部分。上部记载穿越九界的秘钥，中部记载献祭仪式，下部记载唤醒魔神的方法。所罗门王失踪后，死海古卷也一并失踪。\r\n\r\n创造者：所罗门王\r\n作用：唤醒魔神梦罗克,,
430401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430402,1,,梦罗克城中，出现了无数被盐化的人，他们围成一圈，向某处作出朝圣的姿态。除此之外，还有很多居民声称自己做了一个怪梦——一道白色的光柱从天而降，之后，自己的肉身就被光柱变成了盐粒。\r\n这是否预示了什么？不断弥漫的猜测，让梦罗克的居民活在未知的恐惧之中。,,
430501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430502,1,,蕴含很强魔力的卷轴，用于测验是否被恶魔附身，这种卷轴对常人无效，却能对恶魔造成巨大伤害。根据蕴含魔力的多少，圣光卷轴的效力也有高低之分。\r\n\r\n创造者：未知\r\n作用：检验并抑制被恶魔附身者的邪能,,
430601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430602,1,,接触死海古卷之后，巴雷蒙德的性格变得易怒易躁。性格变化后，巴雷蒙德试图独立完成古卷仪式。然而仪式失败了，巴雷蒙德的意识被侵蚀，转变成魔化巴雷蒙德。\r\n宝妮推断，引起巴雷蒙德性格变化的，是来自教国的圣痕诅咒。这种诅咒需要使用圣光卷轴才能祛除。,,
430701,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430702,1,,记载着教国各类禁忌秘术的书，包括邪术“圣痕诅咒”。据说，《启示录》在教国的典籍中拥有举足轻重的地位，但在如今只剩残章。\r\n\r\n创造者：未知\r\n作用：记录教国禁忌秘术,,
430801,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430802,1,,教国内派系之一，主张激进的改革。他们成立了组织“天启”，派出白女巫古娜为首的白面具团进入卢恩王国破坏，意在收集伊米尔之心，同时把卢恩政权搅乱。\r\n\r\n代表人物：白女巫古娜、黑衣修士波鲁克斯\r\n重要事迹：成立组织“天启”、派出白女巫搅乱卢恩王国政权,,
430901,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
430902,1,,多次搅乱卢恩王国局势的神秘组织，在探查情报等方面拥有着不逊色于刺客工会的实力。但其实早已效力于白女巫，曾在白女巫的命令下做出许多残忍的事，使卢恩居民人心惶惶。\r\n\r\n代表人物：摩尔\r\n重要事迹：帮助白女巫献祭黑白双子,,
431001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431002,1,,梦罗克继盐化事件后，又出现了儿童失踪案件，整座城市人心惶惶。刺客工会众人商议之后，决定前去调查儿童失踪的真相。\r\n经过调查，是一些教国打扮的人，将孩子们带到了陌生的神殿之中。,,
431101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431102,1,,教国内派系之一，主张使用和平的手段来解决问题。他们认为巴雷蒙德研究的剥离神格释放伊米尔之心能量的做法是大逆不道的行为，暗中派出人员暗杀巴雷蒙德，而后得知巴雷蒙德断绝了和雷根贝勒企业之都的勾当，便将刺杀改为暗中监视。\r\n\r\n代表人物：白衣修士卡斯特\r\n重要事迹：刺杀巴雷蒙德,,
431201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431202,1,,蒲公英团的团长摩卡声称接到了刺客工会的委托，希望能够利用黑衣修士波鲁克斯引诱白女巫出现。并且，他指出，白衣修士卡斯特与黑衣修士波鲁克斯乃是兄弟关系，计划让白衣修士来引出黑衣修士。\r\n但在最后关头，摩卡背叛了先前的约定。原来，蒲公英团早早地向白女巫投诚了。而他的“帮助”，只是为了能将黑白双子一网打尽。,,
431301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431302,1,,七王建国后不久，魔神梦罗克再一次苏醒。此时由佩雷斯文明覆灭已久，为了阻止梦罗克，印记刺客再次启动。而伟大的魔剑士达纳托斯代表人类，在魔神塔顶与梦罗克鏖战了七天七夜。\r\n但是恶魔无法在物质位面被杀死，于是以米德加兹教廷为首的组织，决定使用复杂的装置来封印梦罗克。在封印装置之上，梦罗克领主的城堡镇守于此。\r\n有传言称，刺客工会便是在那时成立的。,,
431401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431402,1,,传言所罗门王在召唤魔神梦罗克后幡然醒悟，开始研究封印魔神的方法，之后将解开魔神诅咒的方法写在书上，即《所罗门之书》，他还把法阵封印进一把钥匙中，用于警醒后人，即所罗门之钥。\r\n\r\n创造者：所罗门王\r\n作用：封印魔神梦罗克,,
431501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431502,1,,印记刺客是上古文明的造物，是由佩雷斯人利用诸神的特质来制造的一批伪神，专门用来抵御魔神入侵，共由七个强大的刺客组成。印记刺客在抵御第二次魔神入侵时死伤惨重，只有洛基和露希尔存活于世。\r\n\r\n代表人物：洛基、露希尔\r\n重要事迹：抵御魔神梦罗克的第一次、第二次入侵,,
431601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431602,1,,卢恩王国施密特王在位期间，梦罗克的领主被魔神梦罗克的意识侵蚀，献祭了大量的孩童，包括自己的女儿。梦罗克的幼体借由这股力量成功复活。眼见事态恶化，印记刺客及时介入，斩杀了梦罗克的幼体。但印记刺客也在这场战斗中损失惨重，仅剩露希尔和洛基两人存活。,,
431701,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
431702,1,,白女巫在献祭了黑白双子之后，魔神梦罗克获得了强大的力量，极有可能突破封印。瑞安劝说众人前往混沌枷锁加固封印。\r\n但是瑞安早已被魔神蛊惑，而众人前往混沌枷锁的举动，恰恰成为了打破魔神封印的关键。于是，时隔数百年，梦罗克的幼体再一次出现在了米德加兹的大陆上。最后，在众人的合力之下，梦罗克的幼体被暂时击溃。但白女巫依旧在暗处蠢蠢欲动。,,
470001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
470002,1,,黑羽瓦尔基里以“虚假的自由”为名进攻瓦尔哈拉，沙利尔趁乱逃出仙宫，黑羽军团为争夺彩虹桥的钥匙追击而来，寡不敌众的沙利尔化为光球坠落在古城之中，失去了记忆并陷入沉睡。\r\n封印古城的时空结界受此冲击而出现了裂痕，各方势力闻风而动，合力开启了古城大门，沙利尔也由此苏醒，开始进行她的使命。,,
470101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
470102,1,,A.W800年，堕落女武神希莫梅斯为了搜集伊米尔之心碎片，强势侵入了卢恩王国最大的城市——克勒斯特汉姆。当时，哈因理西带领的白骑士团正在此驻扎，因哈因理西拒绝交出伊米尔之心碎片的行为惹恼了希莫梅斯，希莫梅斯遂将整座城覆灭，而骑士团们也都变成了亡灵，日日游荡于古城之中。,,
470201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
470202,1,,施密特王执政期间，为了炫耀国力，他搜刮民脂民膏，建造了克雷斯特汉姆，之后将其定为国都。Ａ.Ｗ729年，施密特王的表弟可雷霍尔伦打着驱逐暴君的口号集结了武装军队，一路势如破竹。政变后，可雷霍尔伦国王即位，宣告普隆德拉为卢恩王国的国都。,,
470301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
470302,1,,女武神降临时，会用神术结出坚硬的能量体——天使之卵，天使之卵可以抵御女武神在降临过程中遇到的大部分伤害，也是她们在降临后恢复记忆和神力的能量结晶。\r\n\r\n创造者：女武神\r\n作用：抵御女武神在降临过程中遇到的伤害，也可以帮助女武神在降临后快速恢复记忆,,
470401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
470402,1,,在古城被封印后，绝望的古城人民曾向奥丁祈祷，但没有得到任何回应，等待他们的是在没有食物与水的情况下绝望死去。后来，一个用黑曜和苍穹两枚王冠造出的“伪神”出现了，他将收集来的幽灵能量转换成“圣饼”，让古城的人民活了下来。\r\n\r\n创造者：黑曜王冠与苍穹王冠造出的“伪神”\r\n作用：在没有食物与水的状况下，是这些圣饼拯救了古城的人民,,
470501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
470502,1,,在古城覆灭之后，古城的幸存者们囿于缺衣少食的困境，日夜向奥丁祈祷。但并没有得到奥丁的回应。于是他们组成了教会，供奉着由黑曜王冠与苍穹王冠造出的伪神。\r\n\r\n代表人物：约翰\r\n重要事迹：使用黑曜王冠与苍穹王冠造出了“伪神”,,
470601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
470602,1,,传说，为了保证伊米尔之心不被人发现，施密特王在克雷斯特汉姆用复杂的空间法术建立了半位面将伊米尔之心藏于其中，并将打开半位面的钥匙打造成了三个符文王冠，交给了与他亲近的三个王室，让他们之间相互监督制衡。三枚王冠分为名为：猩红王冠、苍穹王冠、黑曜王冠。\r\n\r\n创造者：施密特王\r\n作用：打开克雷斯特汉姆半位面的钥匙,,
440001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
440002,1,,艾尔帕兰发生了一种怪病，患者的身体将在数日之内变成石像，意识也会随之溃散。据艾鲁推断，石化病的源头在艾尔帕兰的钟楼之内。\r\n为了能调制出更多的解药来拯救这些患者，炼金术士工会正在超负荷地运转。不过，在艾尔帕兰的另一股势力——奇迹教会，似乎也研究出了治愈石化病的方法。,,
440101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
440102,1,,贝鲁兹文明诞生于由佩雷斯文明爆炸之后，其前身正是前由佩雷斯文明的科技派狂热者。贝鲁兹文明继承了由佩雷斯次元移动科技，并且不顾福金等由佩雷斯幸存者的警告不断深入探究。\r\n贝鲁兹文明痴迷于次元移动科技，妄图将整个城市转移到未来，最终引发了巨大的时空风暴，导致了贝鲁兹文明的灭亡。,,
440201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
440202,1,,自称是边缘村落的教会，在启示录中看到了艾尔帕兰石化病的灾厄之象，得到神谕前来帮忙，实则是共和国人伪装而成，他们以钟楼为源头散播石化诅咒，再以救世主的身份获取信任，继而找到晚祷钟，释放时空回溯阵法，阻止贝鲁兹几百年前的次元跳跃计划。\r\n\r\n代表人物：埃尔文\r\n重要事迹：散播石化病,,
440301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
440302,1,,贝鲁兹幸存者为了恢复贝鲁兹文明的昔日荣光，计划将整个世界的时间线移动到贝鲁兹次元穿越的灾难前，阻止贝鲁兹次元跳跃造成的巨大伤害。他们建造钟楼，计划以整个钟楼为阵法核心，献祭艾尔帕兰所有生命为巨大炼金阵，以此来逆转整个世界的时间线。而阵法核心正是被隐藏在晚祷钟之中。\r\n\r\n创造者：贝鲁兹人\r\n作用：回溯时间,,
