EffectId,Comment,IntervalTime,TriggerCd,BuffRange,BuffRangeCount,AttrListener,TriggerTiming,TriggerCondition,TriggerAudio,EffectType,EffectParam,TargetType,Fx,NeedOnTriggerSync,TriggerFx,TriggerGroupCd,TriggerCdGroupType
200094,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10029,0,,,,,
200032,暴击圈,,,5,,,30,,,68,1003001,1,,,,,
200033,（会心光环）进暴击圈就提高暴击率和暴击伤害,,,,,,0,,,2,56=600|59=600,,,,,,
200095,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10031,,6,1003101,0,,,,,
200096,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10031,0,,,,,
200034,攻击圈,,,5,,,30,,,68,1003201,1,,,,,
200035,（强击光环）进攻击圈就提高物理,,,,,,0,,,2,65=800,,,,,,
200097,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10033,,6,1003301,0,,,,,
200098,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10033,0,,,,,
200036,防御圈,,,5,,,30,,,68,1003401,1,,,,,
200037,（忍耐光环）进防御圈就提高物理和魔法防御,,,,,,0,,,2,33=1000|42=1000,,,,,,
200099,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10035,,6,1003501,0,,,,,
200100,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10035,0,,,,,
200038,暴击圈,,,5,,,30,,,68,1003601,1,,,,,
200039,（会心光环Ⅱ）进暴击圈就提高暴击率和暴击伤害,,,,,,0,,,2,56=600|59=600,,,,,,
200101,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10037,,6,1003701,0,,,,,
200102,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10037,0,,,,,
200040,攻击圈,,,5,,,30,,,68,1003801,1,,,,,
200041,（强击光环Ⅱ）进攻击圈就提高物理和魔法攻击,,,,,,0,,,2,28=800|37=800,,,,,,
200103,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10039,,6,1003901,0,,,,,
200104,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10039,0,,,,,
200042,防御圈,,,5,,,30,,,68,1004001,1,,,,,
200043,（忍耐光环Ⅱ）进防御圈就提高物理和魔法防御,,,,,,0,,,2,33=1000|42=1000,,,,,,
200044,冰封,,,,,,0,,,4,137|138|139|140|141|145,,,,,,
200045,爆炸气流,,,,,,0,,,4,137|138|139|140|141|145,,,,,,
200046,助威效果（出场助威）,,,,,,0,,,2,28=2000|37=2000,0,,,,,
200047,恐吓效果（出场恐吓）,,,,,,0,,,2,33=-1000|42=-1000,,,,,,
200048,治愈（群体治愈）,,,,,,0,,,1,6=2000|8=2000,,,,,,
200049,助威效果（出场助威）,,,,,,0,,,2,28=3000|37=3000,0,,,,,
200050,恐吓效果（出场恐吓）,,,,,,0,,,2,33=-1000|42=-1000,,,,,,
200051,必中圈,,,6,,,30,,,68,1004901,2,,,,,
200052,进必中圈就降低闪避率和抗爆率（石化术:必中）,,,,,,0,,,2,54=-800|58=-800,0,,,,,
200053,迟缓圈,,,6,,,30,,,68,1005101,2,,,,,
200054,进迟缓圈就降低移动和攻击速度（石化术:迟缓）,,,,,,0,,,2,71=-3000|74=-800,0,,,,,
200055,禁言圈,,,6,,,30,,,68,1005301,2,,,,,
200056,偷袭（宠物自身）,,,,,,11,,,6,1005501,2,,,,,
200057,偷袭（给敌人上BUFF）,,,,,,0,,,6,1005601,,,,,,
200058,偷袭（偷袭）,,,,,,3,,,11,DamageUp|upPre=10000,,,,,,
200059,净化圈,,,5,,,30,,,68,1005801,1,,,,,
200060,光环净化效果,2,,,,,0,,,11,#2,,,,,,
200061,生命治愈（生命治愈）,,,,,,4,Dice|Pro=1000,,1,6=1000,0,,,,,
200062,魔法治愈（魔法治愈）,,,,,,4,Dice|Pro=1000,,1,8=1000,0,,,,,
200063,（物理破防）降低物理防御,,,,,,0,,,2,33=-1000,,,,,,
200064,（魔法破防）降低魔法防御,,,,,,0,,,2,42=-1000,,,,,,
200068,主人降防御DEBUFF（极致输出）,,,,,,0,,,2,33=-2000|42=-2000,,,,,,
200069,主人降防御DEBUFF（极致输出）,,,,,,0,,,2,33=-2000,,,,,,
200070,极致输出（极致输出）,,,,,,0,,,2,71=3000,,,,,,
200071,极致输出给主人上BUFF,,,,,,0,,,6,1006401,7,,,,,
200072,极致输出（极致输出）,,,,,,0,,,2,71=3000|28=3000|37=3000,,,,,,
200073,极致输出给主人上BUFF,,,,,,0,,,6,1006501,7,,,,,
200074,神圣净化圈,,,7,,,30,,,68,1006901,7,,,,,
200075,神圣净化圈,,,,,,0,,,76,100102601|101=102=103=104=105=106=107=201=202=203=204=301=302=401,,,1,,,
200076,删除异常状态,,,,,,0,,,13,101|102|103|104|105|106|107|201|202|203|204|301|302|401,,,,,,
200077,闪电护盾圈（弃用）,3,,,,,1,,,9,0=100103701=1=0=0=0,,,,,,
200078,献祭光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=2000,,7,10005,0,,,,,
200079,治疗光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=2000,,7,10009,0,,,,,
200081,愤怒连携,,,,,,4,Dice|Pro=500#4|0,,9,0=100100201=1=0=0=0,2,,,,,
200082,疾风连携,,,,,,4,Dice|Pro=500#4|0,,9,0=100100301=1=0=0=0,2,,,,,
200083,魔法连携,,,,,,4,Dice|Pro=500#4|0,,9,0=100100401=1=0=0=0,2,,,,,
200084,冰封连携,,,,,,4,Dice|Pro=2000#4|1=2=3,,6,1009001,2,,,,,
200085,魔法反冲,,,,,,4,Dice|Pro=2000#4|1=2=3,,6,1009101,2,,,,,
200086,要害暴露,,,,,,4,Dice|Pro=2000#4|1=2=3,,6,1009201,2,,,,,
200087,魔法逆流,,,,,,4,Dice|Pro=2000#4|1=2=3,,6,1009301,2,,,,,
200088,暴击诅咒,,,,,,4,Dice|Pro=2000#4|0=1=2=3,,6,1009401,2,,,,,
200105,减速效果（冰封连携）,,,,,,0,,,2,71=-8000|74=-8000,,,,,,
200106,反冲效果（魔法反冲）,,,,,,4,#4|1=2=3,,1,5=-100,,,,,,
200107,暴露效果（要害暴露）,,,,,,3,#6|3,,1,5=-100,,,,,,
200108,逆流效果（魔法逆流）,,,,,,4,#4|1=2=3,,1,7=-10,,,,,,
200109,诅咒效果（暴击诅咒）,,,,,,4,#5|2,,1,7=-10,,,,,,
200110,爆炸,,,,,,6,,,9,0=100104801=1=0=0=0,,,,,,
200111,抗性上升（护主）,,,,,,0,,,2,256=10|257=10|258=10|259=10|260=10|261=10|262=10|256=10|263=10|264=10|265=10|266=10|267=10|268=10|269=10,0,,,,,
200112,生命献祭圈,,,5,,,30,,,68,1009701,1,,,,,
200113,效果（生命献祭）,,,,,,0,,,2,65=1000,0,,,,,
200114,魔法献祭圈,,,5,,,30,,,68,1009901,1,,,,,
200115,效果（魔法献祭）,,,,,,0,,,2,66=1000,0,,,,,
200116,生命献祭扣血,1,,,,,1,,,1,6=-100,0,,,,,
200117,魔法献祭扣蓝,1,,,,,1,,,1,8=-100,0,,,,,
200118,检测是否够血,,,,,,3,HeiAnMiGongCheckHP|hpTrigger=100,,7,10096,0,,,,,
200119,检测是否够蓝,,,,,,4,JiaDianSPTrigger|per=100,,7,10098,0,,,,,
200120,寒冰领域,,,,,,0,,,9,0=100101501=1=0=0=0,0,,,,,
200121,爆炸性出场,,,,,,0,,,9,0=100101601=1=0=0=0,0,,,,,
200122,出场助威,,,,,,0,,,9,0=100101701=1=0=0=1,0,,,,,
200123,出场恐吓,,,,,,0,,,9,0=100101801=1=0=0=1,0,,,,,
200124,出场群疗,,,,,,0,,,9,0=100101901=1=0=0=2,0,,,,,
200125,免疫所有异常状态,,,,,,0,,,23,10000,,,,,,
200126,宠物回血,10,,,,,1,AutoReJudge,,11,HPRescue|HP1=100|HP2=650,,,,,,
200127,宠物回蓝,10,,,,,1,AutoReJudge,,11,SPRescue|SP1=100|SP2=650,,,,,,
200128,出场助威Ⅱ,,,,,,0,,,9,0=100102001=1=0=0=1,0,,,,,
200129,出场恐吓Ⅱ,,,,,,0,,,9,0=100102101=1=0=0=1,0,,,,,
200130,4件套效果1:攻击时15%概率伤害翻倍,,,,,,4,Dice|Pro=1500,,11,DamChange|rate=10000,0,,,,,
200131,4件套效果2:攻击时对50%血量以下单位伤害提升30%,,,,,,11,Belluz1010|hpRate=5000,,21,65=3000|66=3000,0,,,,,
200132,4件套效果3:攻击时对50%血量以上单位伤害提升30%,,,,,,11,Belluz1009|hpRate=5000,,21,65=3000|66=3000,0,,,,,
200133,4件套效果4:宠物生命值低于40%时，获得30%伤害减免,,,,,,3,Belluz1003|hpRate=4000,,11,Belluz1002DamDown|rate=3000,0,,,,,
200134,主人隐匿宠物隐匿,1,,,,,1,#9|3,,6,1011501,0,,,,,
200135,主人解除隐匿后宠物也解除,1,,,,,1,BuffHidingState,,7,10115,0,,,,,
200136,会心光环扣蓝,1,,,,,1,,,1,7=-2,,,,,,
200137,强击光环扣蓝,1,,,,,1,,,1,7=-2,,,,,,
200138,忍耐光环扣蓝,1,,,,,1,,,1,7=-2,,,,,,
200139,会心II光环扣蓝,1,,,,,1,,,1,7=-2,,,,,,
200140,强击II光环扣蓝,1,,,,,1,,,1,7=-2,,,,,,
200141,忍耐II光环扣蓝,1,,,,,1,,,1,7=-2,,,,,,
200142,宁静光环扣蓝,1,,,,,1,,,1,7=-2,,,,,,
200143,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10117,,6,1011701,0,,,,,
200144,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10117,0,,,,,
200145,攻击圈,,,5,,,30,,,68,1011801,1,,,,,
200146,强击光环扣蓝,1,,,,,1,,,1,7=-2,0,,,,,
200147,（强击光环）进攻击圈就提高物理和魔法攻击,,,,,,0,,,2,66=800,,,,,,
200148,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10120,,6,1012001,0,,,,,
200149,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10120,0,,,,,
200150,冰脉圈,,,5,,,30,,,68,1012101,2,,,,,
200151,冰脉光环扣蓝,1,,,,,1,,,1,7=-2,0,,,,,
200152,（冰脉光环）进攻击圈就降低移动速度,,,,,,0,,,2,74=-300,,,,,,
200153,寒冰领域减速,,,,,,0,,,2,74=-3000,,,,,,
200154,高级攻速连携,,,,,,4,Dice|Pro=2000#4|0,,6,1012401,0,,,,,
200155,高级攻速连携效果,,,,,,0,,,2,71=600,0,,,,,
200156,迷雾陷阱,,1,,,,3,Dice|Pro=3500,,9,0=100106501=1=0=0=0,2,,,,,
200157,迷雾陷阱效果,,,,,,0,,,2,129=-30|133=-30,0,,,,,
200158,黑反甲,,1,,,,3,,,6,1012901,0,,,,,
200159,黑反甲效果,,,,,,0,,,2,65=100|66=100,0,,,,,
200160,快速愈合检测血量,1,20,,,,1,KuangBaoCheckHP|HP_Per=3000,,6,1013101|1013201,0,,,,,
200161,快速愈合加血,1,,,,,1,,,1,6=500,0,,,,,
200162,快速愈合加防,,,,,,0,,,2,33=5000|42=5000,0,,,,,
200163,复生效果,,,,,,0,,,4,146,,,,,,
200164,复生效果,,,,,,0,,,1,6=4000|8=4000,,,,,,
200165,神佑护盾效果,10,,,,,1,,,6,1013701,0,,,,,
200166,神佑护盾效果,10,,,,,1,,,9,0=100106601=1=0=0=0,7,,,,,
200167,低级攻速连携,,,,,,4,Dice|Pro=2000#4|0,,6,1013901,0,,,,,
200168,低级攻速连携效果,,,,,,0,,,2,71=300,0,,,,,
200169,"优等生二件套每当有一个资质大于1350,提升3%生命值",,,,,373|374|375|376|377|378,0|5,,,20,PetSuitSuperiorII|Hpup=300,0,,,,,
200170,"优等生四件套每当有一个资质大于1350,提升4%物理和魔法攻击",,,,,373|374|375|376|377|378,0|5,,,20,PetSuitSuperiorIV|ATK=400,0,,,,,
200171,命约二件套魔法恢复提+1.5%,,,,,78,0|5,,,2,78=150,0,,,,,
200172,"命约四件套物理和魔法攻击提升,提升值为最大魔法值的25%",,,,,128,0|5,,,20,PetSuitLifeBound|value=2500,0,,,,,
200173,暴戾二件套暴击+10,,,,,,0,,,2,55=10,0,,,,,
200174,"暴戾四件套暴击超过40时,每一点多余的暴击提升0.3%暴击伤害,最高不超过25%",,,,,55,0|5,,,20,PetSuitTyrannyIV|value=40|ATK=30|maxvalue=2500,0,,,,,
200175,神龟二件套物理和魔法防御+7%,,,,,,0|5,,,2,33=700|37=700,0,,,,,
200176,"神龟四件套每损失20%生命值,伤害减免+7%",,,,,5,0|5,,,20,PetSuitKamehame|DMGreduce=700|LifeLost=2000,0,,,,,
200177,睚眦二件套生命值上限+10%,,,,,,0|5,,,2,6=1000,0,,,,,
200178,"睚眦四件套受到伤害时,反射120%无属性魔法伤害至相应目标",,,,,,3,,,20,PetDamageReflex|Per=12000|PerExtra=20,0,,,,,
200179,回血药剂效果,,5,,,,0,,,1,6=1500,,,,,,
200180,回蓝药剂效果,,5,,,,0,,,1,8=1000,,,,,,
200181,爆发料理效果,,,,,,0,,,2,28=500|37=500,,,,,,
200182,缓慢恢复料理效果,10,,,,,1,,,1,6=500|8=500,,,,,,
200183,疾速套装效果,,,,,,4,,,6,1015501,0,,,,,
200184,疾速套装效果,,,,,,0,,,2,71=400,0,,,,,
200185,力量冲击效果,,,,,373,0|5,,,20,PetSkillStrPulse|value=75|Acc=100,0,,,,,
200186,敏捷冲击效果,,,,,374,0|5,,,20,PetSkillAgiPulse|value=75|Acc=100,0,,,,,
200187,智力冲击效果,,,,,376,0|5,,,20,PetSkillIntPulse|value=75|Acc=100,0,,,,,
200188,元素吐息效果（冰封连携）,,,,,,0,,,2,71=-8000|74=-8000,,,,,,
200189,冰脉光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10120,0,,,,,
200190,魔法强击光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10117,0,,,,,
200191,宁静光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10007,0,,,,,
200192,会心光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10029,0,,,,,
200193,物理强击光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10031,0,,,,,
200194,忍耐光环检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10033,0,,,,,
200195,会心光环II检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10035,0,,,,,
200196,强击光环II检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10037,0,,,,,
200197,忍耐光环II检测是否够蓝,1,,,,,1,JiaDianSPTrigger|per=1000,,7,10039,0,,,,,
200198,空腹效果,,,,,391,0|5,,,20,PetHungerCheck|thres=0|value=4000,0,,,,,
200199,饥饿效果,,,,,391,0|5,,,20,PetHungerCheck|thres=30|value=3000,0,,,,,
200200,地灵晶,,,,,,0,,,12,168=2=10,0,,,,,
200201,风灵晶,,,,,,0,,,12,168=1=10,0,,,,,
200202,火灵晶,,,,,,0,,,12,168=3=10,0,,,,,
200203,水灵晶,,,,,,0,,,12,168=4=10,0,,,,,
200204,初级伤害浮动,,,,,,4,,,11,DamFloat|rate1=9000|rate2=12000,0,,,,,
200205,高级伤害浮动,,,,,,4,,,11,DamFloat|rate1=10000|rate2=14000,0,,,,,
200206,神佑护盾,,10,,,,4,Dice|Pro=2000,,6,1013601,0,,,,,
