Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,FlyAcceptType,StoryBoardId,PostcardName,Text,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,PhasePositionSceneTask,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,DropType,MonsterDrop,CollectDrop,LocalizationArea
25000050,25000040,,新王的号角（5/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15211=7,15212=70,,,,,,,0,1,1,2,1,1,1,,,,,,27|4089=1|7=150.08=9.82=193.52,,阅读神匠·奥瑞特的留言,5|0=1|7=150.60=10.79=199.25,,通过军士开启的传送门，前往军官神匠·奥瑞特所在的地方,1|15212=70,Activity_25000050_exec,神匠·奥瑞特似乎已经等候多时,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2311=1||70=89.80=14.41=164.58,,击败神匠·奥瑞特，获得他的认可,2,4=4=1=2311|2=0=2=2311|4=2=4=15211|4=1=24=2690967=7=150.60=10.79=199.25|4=3=25=2690967|4=2=18=70=89.82=14.40=167.97=180|4=2=3=15212=70=89.80=14.28=156.97=359.00|2=0=3=15213=58=50.01=10.73=68.57=180.00|4=1=22=4072,,,,1910090,已经打败了忧伤的军士，询问神匠·奥瑞特的所在,已经打败了神匠·奥瑞特，聆听他的教诲,6008,Activity_25000050_accept,Activity_25000050_finish,0,,,,,,,9
25000060,25000050,,新王的号角（6/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15213=58,0=0,,,,,,,0,3,2,2,1,1,1,,,,,,5|0=1|58=49=10.71=62,,按照信件内容所指，前往梦罗克监狱之中,7|2312=1||58=49=10.71=62,,监狱弥漫着一股杀气，击败哈那尼的护卫,,,,,,,,,,2,4=1=1=2312|2=0=2=2312|4=1=4=15212|4=2=14=1=0=10995,,,,1910100,收到了一封信，从火漆印章判断和下一位马勒王国军官有关,,6008,,,0,,,,,,,9
25000070,25000060,,新王的号角（7/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15213=58,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,5|0=1|25=77.57=12.21=92.68,,前往梦罗克西部，寻找爱财的佣兵，据说在狮身人面像后面正盘算着怎么挖到宝藏,1|15214=25,Activity_25000070_exec,哈那尼所说的地方，果然有一个人等着，似乎在盘算这什么,7|2313=1||25=73.39=12.21=95.45,,看来他还没有完全被财富腐蚀，只能动用武力了,,,,,,,2,4=2=1=2313|2=0=2=2313|4=1=4=15213|1=0=3=15214=25=71.41=12.21=95.86=85.00|4=1=14=1=0=10994,,,,1910110,询问苦行者·哈那尼，获取认可的考验内容是什么,,6008,Activity_25000070_accept,,0,,,,,,,9
25000080,25000070,,新王的号角（8/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15214=25,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,5|0=1|25=63.27=12.21=108.41,,佣兵告诉你，有不喜欢声音的怪人就在附近，那是你的下一个目标,27|4090=1|25=60.22=12.21=110.55,,吹响口哨，引出下个目标,7|2314=1||25=60.22=12.21=110.55,,让人意想不到的是，口哨声引出了两个人！先击败他们再说吧,,,,,,,2,4=2=1=2314|2=0=2=2314|4=1=4=15214|4=1=14=1=0=10993|2=0=3=15215=25=60.21=12.21=116.79=180.00,,,,1910120,爱财的佣兵这么急切的寻找宝藏一定有他的用途，试图了解一下,,6008,Activity_25000080_accept,,0,,,,,,,9
25000090,25000080,,新王的号角（9/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15215=25,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,5|0=1|25=134.98=12.21=140.47,,他告诉你了流浪剑客所在，去找找吧<color=$$Blue$$>（需要攀爬到金字塔顶寻找流浪剑客）</color>,1|15216=25,Activity_25000090_exec,爬上金字塔顶，找到流浪剑客,7|2315=1||25=133.94=21.35=150.22,,决战梦罗克西部之巅，击败流浪剑客,,,,,,,2,4=2=1=2315|2=0=2=2315|4=1=14=1=0=10992|4=1=4=15215|4=1=3=15216=25=133.51=21.35=152.18=356.00,,,,1910130,你击败了他们，其中一人似乎有话要说,,6008,Activity_25000090_accept,,0,,,,,,,9
25000100,25000090,,新王的号角（10/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15216=25,15217=70,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|25=135.45=21.35=148.91,,通过流浪剑客开启的传送门，前往下一个军官所在的地方,1|15217=70,Activity_25000100_exec,完成了哈那尼的三个考验，是时候挑战她了,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2316=1||70=89.82=14.40=167.97,,击败苦行者·哈那尼，获得她的认可,,,,2,1=0=24=2690968=25=135.45=21.35=148.91|1=0=3=15217=70=89.8=14.28=156.97=359|4=1=18=70=89.82=14.4=160=180|4=2=4=15216|4=3=1=2316|4=3=25=2690968|2=0=2=2316|3=0=4=15217,,,,1910140,流浪剑客声音沧桑，一定有他自己的故事,询问哈那尼的下一步安排,6008,Activity_25000100_accept,Activity_25000100_finish,0,,,,,,,9
25000111,25000100,25000011,新王的号角（11/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,0=0,15218=70,,,,,,,0,2,1,2,1,1,1,,,,,,5|0=1|70=100.07=14.30=167.39,,前往皇宫书房，会见吉永王子,7|2317=1||70=107.27=14.53=168.76,,解决突袭的暗杀者,,,,,,,,,,2,4=1=1=2317|2=0=2=2317|1=0=3=15218=70=116.38=16.00=169.64=293.00|3=0=3=15220=70=89.80=14.28=156.97=359.00,,,,1910150,,还好有惊无险，询问王子是否受伤,6008,,Activity_25000111_finish,0,,,,,,,9
25000112,25000100,25000012,新王的号角（11/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,0=0,15219=70,,,,,,,0,2,1,2,1,1,1,,,,,,5|0=1|70=100.07=14.30=167.39,,前往皇宫书房，会见克勒亚王子,7|2317=1||70=107.27=14.53=168.76,,解决突袭的暗杀者,,,,,,,,,,2,4=1=1=2317|2=0=2=2317|1=0=3=15219=70=116.38=16.00=169.64=293.00|3=0=3=15220=70=89.80=14.28=156.97=359.00,,,,1910160,,还好有惊无险，询问王子是否受伤,6008,,Activity_25000111_finish,0,,,,,,,9
25000120,25000111|25000112,,新王的号角（12/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,7|2318=1||70=89.86=14.31=159.52,,击败心魔·悲哀，通过剑圣·帝亚拉的第一道幻境,,,,,,,,,,,,,2,1=0=1=2318|4=1=2=2318,,,,1910170,看来必须要加快进程了，到大厅找最后一位军官帝亚拉，想办法获得他的认可,,6008,Activity_25000120_accept,,0,,,,,,,9
25000130,25000120,,新王的号角（13/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,7|2319=1||70=89.86=14.31=159.52,,击败心魔·憎恨，通过剑圣·帝亚拉的第二道幻境,,,,,,,,,,,,,2,1=0=1=2319|4=1=2=2319,,,,1910180,通过了第一层幻境，告诉帝亚拉,,6008,Activity_25000130_accept,,0,,,,,,,9
25000140,25000130,,新王的号角（14/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,0=0,,,,,,,0,1,2,2,1,1,1,,,,,,7|2320=1||70=89.86=14.31=159.52,,击败心魔·绝望，通过剑圣·帝亚拉的第三道幻境,,,,,,,,,,,,,2,1=0=1=2320|4=1=2=2320,,,,1910190,通过了第二层幻境，告诉帝亚拉,,6008,Activity_25000140_accept,,0,,,,,,,9
25000151,25000140,25000011|25000111,新王的号角（15/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,15218=70,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2321=1||70=89.82=14.40=167.97,,击败剑圣·帝亚拉，获得最终的认可,1|15220=70,Activity_25000151_exec,终于完成了所有的考验，帝亚拉似乎有话想说,,,,,,,2,4=1=1=2321|4=2=2=2321|3=0=4=15218|3=0=4=15220,,,,1910200,通过了全部的环境，告诉帝亚拉,将帝亚拉的话带给王子,6008,Activity_25000151_accept,Activity_25000151_finish,0,,,,,,,9
25000152,25000140,25000012|25000112,新王的号角（15/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15220=70,15219=70,,,,,,,0,1,1,2,1,1,1,,,,,,5|0=1|70=89.80=14.41=164.58,,前往试炼区，准备开始战斗,7|2321=1||70=89.82=14.40=167.97,,击败剑圣·帝亚拉，获得最终的认可,1|15220=70,Activity_25000151_exec,终于完成了所有的考验，帝亚拉似乎有话想说,,,,,,,2,4=1=1=2321|4=2=2=2321|3=0=4=15219|3=0=4=15220,,,,1910210,通过了全部的幻境，告诉帝亚拉,将帝亚拉的话带给王子,6008,Activity_25000151_accept,Activity_25000151_finish,0,,,,,,,9
22002010,,,花与歌,,26,2210,彩虹之约,30,25=0,0=0,25=0,,2,,1,2,,,15221=47,,,,,,,0,2,1,3,1,0,1,,,,,,1|2553=47,Activity_22002010_accept11,这是斐扬族一年一度的祭祀活动，可旁边的村长看起来有些烦恼，去问问他怎么回事吧！,1|15221=47,Activity_22002010_exec1,听完村长的话去找召唤出的灵魂聊聊吧,37|3=1,,灵魂需要平复一下心情，在旁边等等她吧,,,,,,,2,4=1=3=15221=47=118.27=20.31=198.36=176.00|4=1=24=2691519=47=118.27=20.31=198.36|3=0=25=2691519|3=0=4=15221,,,,,,失忆的灵魂好像平静下来了，可以去跟这个灵魂聊聊了！,2210,,Activity_22002010_finish,0,,,,,,,9
22002020,22002010,,花与歌,,26,2210,彩虹之约,30,25=0,0=0,25=0,,2,,2,2,,15222=47,15222=47,,,,,,,1,1,1,2,1,0,1,,,,,,37|3=1,,少女之灵正在施展术法，将记忆碎片掉落的次元空间展现出来,3|201357=1|47=105.11=20.32=192.56,,少女之灵赋予了奇妙的能力，快用这能力去寻找她的记忆碎片,3|201358=1|47=131.21=20.32=207.74,,看到了少女之灵的一部分记忆，在附近找找其他的记忆碎片,3|201359=1|47=129.62=20.32=194.24,,这附近还有最后一块的记忆碎片，找到它就能拼出少女之灵的完整记忆,,,,2,5=0=3=15222=47=118.27=20.31=198.36=176.00|4=1=11=201357=1=47=104.47=20.32=191.21|4=2=11=201358=1=47=132.15=20.32=209.03|4=3=11=201359=1=47=130.33=20.32=193.03|4=2=12=201357=1|4=3=12=201358=1|4=4=12=201359=1|3=0=14=1=0=12326|1=0=24=2691521=47=118.27=20.31=198.36|4=1=25=2691521|4=2=22=8010|4=3=22=8011|4=4=9=100085,,,,,赶走了幽灵后，灵魂好像稍微稳定了一些，问问它的愿望是什么吧,找到了全部的记忆碎片，将这些碎片还给少女之灵吧,2210,Activity_22002020_accept,Activity_22002020_finish,0,,,,,,,9
22002030,22002020,,花与歌,,26,2210,彩虹之约,30,25=0,0=0,25=0,,2,,2,1,,2553=47,15222=47,,,,,,,1,1,1,2,1,0,1,,,,,,1|15223=47,Activity_22002030_exec,灵石在降灵巫女手中，去找巫女借一下吧,1|15222=47,Activity_22002030_exec2,将借到的灵石交给少女之灵，帮助她恢复记忆,37|3=1,,少女之灵接过灵石后开始施法将记忆碎片融合,,,,,,,2,1=0=3=15223=47=129.96=15.98=132.73=92.00|3=0=4=15222|3=0=4=15223|4=2=24=2691520=47=118.27=20.31=198.36|4=3=25=2691520,,,,,少女之灵需要的灵石是什么，问问村长知不知道吧,少女之灵将记忆碎片融合后想起了许多事情，也想起了自己为何徘徊在这世间,2210,Activity_22002030_accept,Activity_22002030_finish,0,,,,,,,9
22002040,22002030,,风之章,,26,2220,彩虹之约,30,25=0,0=0,25=0,,2,,1,2,,15224=47,4024=60,,,,,,,0,1,1,3,1,0,1,,,,,,1|2553=47,Activity_22002040_exec,得知了少女之灵的第一个考验，去跟村长商量一下吧,7|2500=1|47=165.57=15.98=106.78,,完成村长设下的默契考验来证明你们的默契程度吧,1|2553=47,Activity_22002040_exec3,和村长商议如何找到少女之灵婚礼上演奏的人,,,,,,,2,5=0=3=15224=47=118.27=20.31=198.36=176.00|1=0=14=1=0=12327|3=0=22=8008|4=1=20=47=46|4=2=21=47=46,,,,,找到一个相爱之人去问少女之灵祝福的颜色吧,蝗虫乐队在伊斯鲁得的酒吧里演出，去问问他们愿不愿意参加少女之灵的婚礼,2210,Activity_22002040_accept,Activity_22002040_finish,0,,,,,,,9
