Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,PhasePositionSceneTask,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag
1000090,1000080,,实战训练,学了这么多，出去清理一些魔物，实战一番吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10401=33,10402=33,20000000=1,,0,1,1,1,1,0,,,,,,,2|1209=5|33=73.43=10.65=85.75,,装备上教官给你的武器，挑战魔物，进行实战训练吧,,,,,,,,,,,,,2,1=0=22=1031|1=0=3=10402=33=93.35=12.48=43.13=-57.55|1=0=5=10401|1=0=7=1209=5=33=73.43=10.65=85.75=5|2=0=8=1209=5,,,,1100100,你已经掌握了基础冒险知识，让教官安排下一步训练内容吧,实战结束，去找教官汇报吧,1000,Main_1000090_accept,Main_1000090_finish
1000100,1000090,,致敬女武神,按照传统，每一个初心者学会了基础的冒险技能之后，都需要去向女武神致敬。跟随教官，前往遗迹处，向女武神致敬吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10402=33,,,,0,1,2,1,1,1,,,,,,,5|0=1|33=155.59=10.04=92.95,,跟随教官，前往遗迹处向女武神的神像致敬,1|10403=33,Main_1000100_exec,向女武神致敬是件很神圣的事情，教官要和你说说注意事项,3|200006=1|33=159.80=10.04=92.06,,按照教官的指示，走到雕像前向女武神致敬,3|200007=1|33=159.80=10.04=92.06,,继续按照教官的指示，屏住心神，用心感悟，触摸雕像吧,,,,2,1=0=22=1034|1=0=4=10402|1=0=3=10403=33=84.11=10.64=75.98=337.33|4=2=14=2=10403=10105|4=2=11=200006=1=33=159.80=10.04=92.06|4=3=12=200006=1|4=3=14=2=10403=10106|4=3=11=200007=1=33=159.80=10.04=92.06|2=0=12=200007=1|2=0=4=10403|2=0=3=10412=33=156.31=10.04=96.06=172.93,,,,1100110,按教官的吩咐进行下一布训练,,1000,Main_1000100_accept,
1000110,1000100,,女武神的考验,接受女武神的指引和考验，突破自身的桎梏,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,,10412=33,,,1,2,1,1,1,1,,,,,,,7|2211=1|33=159.78=10.04=91.81,,你受到了女武神的召唤，进入了奇异空间，请完成她的考验<color=$$Blue$$>（通关英灵殿副本）</color>,,,,,,,,,,,,,2,1=0=17=2211=21.70=99.98=56.10=0|1=0=20=33=2|2=0=21=33=2|2=0=15=1000071,,,,1100120,,恭喜你已经完成了瓦尔基里的洗礼和考验，去找教官汇报吧,1000,,Main_1000110_finish
1000120,1000110,,结业仪式？,终于完成了试炼，去参加结业仪式吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10412=33,10404=33,,,0,1,1,1,1,1,,,,,,,5|0=1|33=153.24=10.64=130.93,,跟随教官，前去找引导员进行结业仪式吧,,,,,,,,,,,,,2,1=0=22=1035|1=0=4=10412|1=0=3=10397=33=156.96=10.64=132.91=297.07|1=0=3=10404=33=155.47=10.04=95.38=175.66|2=0=14=2=10397=10107|3=0=4=10404,,,,1100130,让教官开始下一步的教学吧,典礼台还没装饰好，教官似乎有事吩咐,1000,Main_1000120_accept,Main_1000120_finish
1000130,1000120,,结业仪式准备,马上你就可以选择职业，离开初心者学院了。在这之前，请与引导员和教官合影留恋。引导员正在搭建合影用的典礼台，她需要你的帮助,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10397=33,10397=33,,,1,1,1,1,1,1,,,,,,,34|101000=1|33=162.68=10.64=137.97,33=164.39=11.64=154.68,帮助引导员把装饰物搬到典礼台上去并摆放好,34|101001=1|33=162.68=10.64=137.97,33=168.67=11.64=153.40,还有一个装饰物需要搬动,,,,,,,,,,2,1=0=11=200101=1=33=162.90=10.64=137.55|4=1=12=200101=1|4=1=11=200102=1=33=162.90=10.64=137.55|2=0=12=200102=1|4=1=6=10437|2=0=6=10438,,,,1100140,按照教官的吩咐，问问引导员还需要什么帮助,告诉引导员你已经按照她的要求，把装饰物都搬过去了,1000,Main_1000130_accept,Main_1000130_finish
1000140,1000130,,头饰的魅力,为了感谢你的帮助，引导员为你准备好了一份特殊的礼物，快去找礼物管理员领取吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10397=33,,,,1,1,2,1,1,1,,,,,,,1|10422=33,Main_1000140_exec,去找旁边的礼物管理员，领取引导员给你准备的答谢礼物吧,,,,,,,,,,,,,2,2=0=4=10397,,,,1100150,别着急，引导员好像还有什么事情要交代呢,,1000,Main_1000140_accept,
1000150,1000140,,冒险者的衣橱,去找礼物管理员领取礼物的时候，旁边的一个冒险者热情地向你打招呼，和她聊聊吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,6400=33,,,,1,1,2,1,1,1,,,,,,,1|6400=33,Main_1000150_exec,听这个冒险者给你介绍衣橱,,,,,,,,,,,,,2,2=0=3=10398=33=171.107=11.89=159.302=-88.6|2=0=3=10409=33=168.79=11.89=160.9=104.1|2=0=3=10410=33=169.08=11.89047=159.56=72.8,,,,1100160,请留步，旁边有个冒险者向你打招呼，她似乎有话对你说,,1000,Main_1000150_accept,
1000160,1000150,,终于结业啦,返回典礼台，与导师们汇合，然后合影留念,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10398=33,10399=33,,,1,1,1,1,1,1,,,,,,,21|138438=1|2092=164.93=11.64=153.96|33=164.93=11.64=153.96,,<color=$$Blue$$>设置好自动相机</color>，与导师们拍照留影,1|10407=2092||33=166.22=12.44=154.16,Main_1000160_exec,把拍好的照片给教官看一下,,,,,,,,,,2,1=0=1=2092|2=0=2=2092|2=0=4=10398|2=0=3=10399=33=171.107=11.89=159.302=-88.6|3=0=4=10409,,,,1100170,返回典礼台，与引导员和教官们汇合，准备合影留念,合影结束，按教官的吩咐，去找引导员领取考核成绩单吧,1000,Main_1000160_accept,Main_1000160_finish
1000170,1000160,,了解职业,一番努力，你终于完成了初心者学院的考核，可以进行转职了。引导员和教官将会引导你完成职业的选择,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10399=33,10405=33,,,0,1,1,1,1,1,,,,,,,1|10405=33,Main_1000170_exec,找到教官，向他好好了解一下转职相关的事情吧,27|1051=1|33=128.05=10.64=125.25,,打开教官给你的职业手册了解各职业的具体信息,,,,,,,,,,2,1=0=22=1036|1=0=3=10405=33=126.64=10.65=124.11=149.96|2=0=19=1060|3=0=4=10399|3=0=4=10410,,,,1100180,向引导员了解一下职业选择的事情，可以的话再做一个测试,找到教官，做出你的职业选择,1000,Main_1000170_accept,Main_1000170_finish
1000180,1000170,,选择职业,选择你想要转职的职业吧,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,10405=33,10405=33,,,1,1,2,1,1,1,,,,1000181|1000182|1000183|1000184|1000185|1000186,3,,16|0=1|,1,,,,,,,,,,,,,,2,,,,,1100190,找到教官，做出你的职业选择,,1000,Main_1000180_accept,
1000181,,,转职剑士,你已经选择转职成为剑士，请前往有“剑士之城”之称的卫星城市伊斯鲁得转职（要是手滑选错了的话，可以放弃任务重新选择哦）,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,10405=33,,,,0,1,2,1,1,1,,,,,,,3|200042=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往伊斯鲁得 ,,,,,,,,,,,,,2,1=0=22=1037|1=0=11=200042=1=33=100.19=10.65=138.38|2=0=12=200042=1,,,,1100200,选择转职剑士,已经来到伊斯鲁得，去找导师询问转职剑士的事情吧,1000,Main_1000181_accept,
1000182,,,转职魔法师,你已经选择转职成为魔法师，请前往有“魔法之都”之称的城市吉芬转职（要是手滑选错了的话，可以放弃任务重新选择哦）,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,10405=33,,,,0,1,2,1,1,1,,,,,,,3|200043=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往吉芬,,,,,,,,,,,,,2,1=0=22=1037|1=0=11=200043=1=33=100.19=10.65=138.38|2=0=12=200043=1,,,,1100210,选择转职魔法师,已经来到吉芬，去找导师询问转职成魔法师事情吧,1000,Main_1000182_accept,
1000183,,,转职服事,你已经选择转职成为服事，请前往首都普隆德拉转职（要是手滑选错了的话，可以放弃任务重新选择哦）,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,10405=33,,,,0,1,2,1,1,1,,,,,,,3|200044=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往普隆德拉,,,,,,,,,,,,,2,1=0=22=1037|1=0=11=200044=1=33=100.19=10.65=138.38|2=0=12=200044=1,,,,1100220,选择转职服事,已经来到普隆德拉，去找导师询问转职服事的事情吧,1000,Main_1000183_accept,
1000184,,,转职弓箭手,你已经选择转职成为弓手，请前往有“山岳之城”之称的城市斐扬转职（要是手滑选错了的话，可以放弃任务重新选择哦）,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,10405=33,,,,0,1,2,1,1,1,,,,,,,3|200045=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往斐扬,,,,,,,,,,,,,2,1=0=22=1037|1=0=11=200045=1=33=100.19=10.65=138.38|2=0=12=200045=1,,,,1100230,选择转职弓箭手,已经来到斐扬弓手村，去找导师询问转职弓箭手的事情吧,1000,Main_1000184_accept,
1000185,,,转职盗贼,你已经选择转职成为盗贼，请前往有“边陲之城”之称的城市梦罗克转职（要是手滑选错了的话，可以放弃任务重新选择哦）,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,10405=33,,,,0,1,2,1,1,1,,,,,,,3|200046=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往梦罗克,,,,,,,,,,,,,2,1=0=22=1037|1=0=11=200046=1=33=100.19=10.65=138.38|2=0=12=200046=1,,,,1100240,选择转职盗贼,已经来到梦罗克，去找导师询问转职盗贼的事情吧,1000,Main_1000185_accept,
1000186,,,转职商人,你已经选择转职成为商人，请前往商业发达的港口城市艾尔贝塔转职（要是手滑选错了的话，可以放弃任务重新选择哦）,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,10405=33,,,,0,1,2,1,1,1,,,,,,,3|200047=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往艾尔贝塔,,,,,,,,,,,,,2,1=0=22=1037|1=0=11=200047=1=33=100.19=10.65=138.38|2=0=12=200047=1,,,,1100250,选择转职商人,已经来到艾尔贝塔，去找导师询问转职商人的事情吧,1000,Main_1000186_accept,
1000190,1000181,,转职剑士,你已经选择转职成为剑士，请前往有“剑士之城”之称的卫星城市伊斯鲁得转职,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,,3960=40,,,1,2,1,1,1,0,,,,,,,25|12=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往伊斯鲁得 ,,,,,,,,,,,,,2,2=0=18=21=135=17.18=92=180|3=0=4=10405|3=0=6=10401,,,,1100260,选择转职剑士,已经来到伊斯鲁得，去找导师询问转职剑士的事情吧,1000,,Main_1000190_finish
1000191,1000182,,转职魔法师,你已经选择转职成为魔法师，请前往有“魔法之都”之称的城市吉芬转职,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,,4320=42,,,1,2,1,1,1,0,,,,,,,25|12=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往吉芬,,,,,,,,,,,,,2,2=0=18=16=99.48=17.03=71.25=0|3=0=4=10405|3=0=6=10401,,,,1100270,选择转职魔法师,已经来到吉芬，去找导师询问转职魔法师的事情吧,1000,,Main_1000191_finish
1000192,1000183,,转职服事,你已经选择转职成为服事，请前往首都普隆德拉转职,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,,3540=41,,,1,2,1,1,1,0,,,,,,,25|12=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往普隆德拉,,,,,,,,,,,,,2,2=0=18=7=131.29=10.00=200.40=45|3=0=4=10405|3=0=6=10401,,,,1100280,选择转职服事,已经来到普隆德拉，去找导师询问转职服事的事情吧,1000,,Main_1000192_finish
1000193,1000184,,转职弓手,你已经选择转职成为弓手，请前往有“山岳之城”之称的城市斐扬转职,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,,5700=43,,,1,2,1,1,1,0,,,,,,,25|12=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往斐扬,,,,,,,,,,,,,2,2=0=18=52=88.74=10.18=71.95=0|3=0=4=10405|3=0=6=10401,,,,1100290,选择转职弓箭手,已经来到斐扬弓手村，去找导师询问转职弓箭手的事情吧,1000,,Main_1000193_finish
1000194,1000185,,转职盗贼,你已经选择转职成为盗贼，请前往有“边陲之城”之称的城市梦罗克转职,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,,5340=39,,,1,2,1,1,1,0,,,,,,,25|12=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往梦罗克,,,,,,,,,,,,,2,2=0=18=26=114.8=9.83=64.7=180|3=0=4=10405|3=0=6=10401,,,,1100300,选择转职盗贼,已经来到梦罗克，去找导师询问转职盗贼的事情吧,1000,,Main_1000194_finish
1000195,1000186,,转职商人,你已经选择转职成为商人，请前往商业发达的港口城市艾尔贝塔转职,1,1000,初心者学院,,10=0,10=0,1=0,0,2,,,,,,5972=44,,,1,2,1,1,1,0,,,,,,,25|12=1|33=100.19=10.65=138.38,,按照教官的指示前去乘坐波利热气球飞往艾尔贝塔,,,,,,,,,,,,,2,2=0=18=50=116.81=22.27=74.42=0|3=0=4=10405|3=0=6=10401,,,,1100310,选择转职商人,已经来到艾尔贝塔，去找导师询问转职商人的事情吧,1000,,Main_1000195_finish
1001000,1000190,,信念烙印,很艰难的打赢了，导师看破了你的狼狈，让你去找其他剑客学习信念和力量。,1,1001,剑士转职,,10=0,10=0,10=0,0,2,,,,,1347=21,1300=21,,,1,1,1,1,1,1,1,,,,,,1|1300=21,Main_1001000_exec,找到需要帮助的人,,,,,,,,,,,,,1,1=0=3=10453=21=144.6=17.3=120.3=14.1|1=0=3=10454=21=145.2=17.3=122.5=151,,,,1100320,向三剑客之一了解剑士的信念,顺着三剑客指的方向，找到需要帮助的人,1001,Main_1001000_accept,Main_1001000_finish
1001010,1001000,,贯彻信念烙印,三剑客表示，那边有两个小混混在耍流氓，去展现一下剑士的信念,1,1001,剑士转职,,10=0,10=0,10=0,0,2,,,,,1300=21,0=0,,,1,1,2,1,1,1,1,,,1001020|1001030,3,,16|0=1|,,用自己的信念帮助卡普拉解围,,,,,,,,,,,,,1,,,,,1100330,用你的方式帮助卡普拉解围,用你的方式帮助卡普拉解围,1001,Main_1001010_accept,Main_1001010_finish
1001020,,,花钱办事|给你们500铜，不要打扰卡普拉了,剑士不是莽夫，偶尔圆滑一下,1,1001,剑士转职,,10=0,10=0,10=0,0,2,,,,,10453=21,1347=21,,,1,1,1,1,1,1,1,,,,,,27|2008=1|21=144.8=17=120.6,,用一些铜币打发小混混,1|10453=21,Main_1001020_exec,小混混收下了铜币，和他们继续交涉,,,,,,,,,,2,4=2=4=10453|4=2=4=10454,,,,1100340,用你的方式帮助卡普拉解围,帮助了卡普拉解围，向导师汇报,1001,Main_1001020_accept,Main_1001020_finish
1001030,,,骚扰卡普拉|敢骚扰卡普拉，想试试准剑士的拳头吗,剑士就是正义！揍扁小混混！,1,1001,剑士转职,,10=0,10=0,10=0,0,2,,,,,10453=21,10455=21,,,1,1,1,1,1,1,1,,,,,,2|100009=1|21=145=17=122,,展示准剑士风范的时候到了，教训一下小混混,2|100010=1|21=145=17=122,,,,,,,,,,,,1,1=0=4=10453|1=0=7=100009=1=21=144.2=17=120.5=0|1=0=4=10454|1=0=7=100010=1=21=145.2=17=122.5=0|3=0=8=100010=1|3=0=8=100009=1|2=0=3=10455=21=144.6=17.3=120.3=14.1|2=0=3=10456=21=145.2=17.3=122.5=155|3=0=4=10455|3=0=4=10456,,,,1100350,用你的方式帮助卡普拉解围,帮助了卡普拉解围，向导师汇报,1001,Main_1001030_accept,Main_1001030_finish
1001040,1001020|1001030,,耐性烙印,三剑客之一表示，想看看你的实力，找了一个弱鸡跟你切磋……,1,1001,剑士转职,,10=0,10=0,10=0,0,2,,,,,1348=21,1348=21,,,1,1,1,1,1,1,1,,,,,,1|1348=21,Main_1001040_exec,向三剑客之一的莱德了解耐性烙印,,,,,,,,,,,,,2,,,,,1100360,向三剑客之一了解剑士的耐性,向三剑客之一了解剑士的耐性,1001,Main_1001040_accept,Main_1001040_finish
