MajorID,AwardID,SequenceId,GiftPackageName,,PackageShow,GiftPackageAtlas,GiftPackageIcon,Value,Cost,Tab,BuyLimitCondition,BuyLimitNum
400005,6272020,5,限定强化礼盒,限定强化礼盒,0,Shopping,UI_Shopping__icon_libao1.png,103=3730,103=1088,,,
400006,6272030,6,限定超强化礼盒,限定超强化礼盒,0,Shopping,UI_Shopping__icon_libao2.png,103=6880,103=1988,,,
400007,6272040,7,特色载具礼盒,特色载具礼盒,0,Shopping,UI_Shopping__icon_libao2.png,103=8600,103=3188,,,
400008,6272090,2,EP1.0限定登陆礼盒 ,,0,Shopping,UI_Shopping__icon_libao3.png,103=220,103=0,,,
400009,6272050,3,EP1.0饰品纪念礼盒,,0,Shopping,UI_Shopping__icon_libao6.png,103=1660,103=450,,,
400010,6272060,4,饰品强化礼盒,,0,Shopping,UI_Shopping__icon_libao5.png,103=1740,103=590,,,
400011,6272070,5,卡片纪念礼盒,,0,Shopping,UI_Shopping__icon_libao7.png,103=4970,103=1680,,,
400012,6272080,6,鲨鱼恶霸定制礼盒,,2,,,103=10200,103=2950,,,
400013,6272200,10,限定登陆礼盒,,0,Shopping,UI_Shopping__icon_libao3.png,103=160,103=0,,,
400014,6272210,60,头饰自选礼盒,,0,Shopping,UI_Shopping__icon_libao12.png,103=1240,103=420,,,
400015,6272220,30,装备速成礼盒,,0,Shopping,UI_Shopping__icon_libao9.png,103=2373,103=680,,,
400016,6272230,40,纪念卡片礼盒,,0,Shopping,UI_Shopping__icon_libao11.png,103=6280,103=1850,,,
400017,6272240,50,齿轮强化礼盒,,0,Shopping,UI_Shopping__icon_libao10.png,103=12390,103=3450,,,
400018,6272300,9,抗击新冠肺炎福利礼盒,,0,Shopping,UI_Shopping__icon_libao14.png,103=1000,102=1004,,,
400019,6272320,10,限定登陆礼盒,,0,Shopping,UI_Shopping_icon_libao15.png,103=325,103=0,,,
400020,6272330,20,85级1洞首饰自选盒,,0,Shopping,UI_Shopping_icon_libao16.png,103=2190,103=500,,,
400021,6272340,30,限定头饰礼盒,,0,Shopping,UI_Shopping_icon_libao17.png,103=1610,103=600,,,
400022,6272350,40,配饰精炼助力礼盒,,0,Shopping,UI_Shopping_icon_libao19.png,103=3370,103=1450,,,
400023,6272360,50,装备精炼助力礼盒,,0,Shopping,UI_Shopping_icon_libao18.png,103=5460,103=1550,,,
400024,6272370,60,90级装备助力礼盒,临时图标,0,Shopping,UI_Shopping__icon_libao10.png,103=6555,103=1850,,,
400025,6272380,70,新齿轮助力礼盒I,临时图标,0,Shopping,UI_Shopping__icon_libao10.png,103=10120,103=2450,,,
400026,6272390,80,装备精炼助力礼盒I,,0,Shopping,UI_Shopping_icon_libao18.png,103=5360,103=1550,,,
400027,6272400,90,80级装备助力礼盒,临时图标,0,Shopping,UI_Shopping__icon_libao10.png,103=6136,103=1750,,,
400028,6272410,17,装备速成礼盒II,,0,Shopping,UI_Shopping__icon_libao4.png,103=1495,103=500,,,
400029,6272420,110,装备精炼助力礼盒II,,0,Shopping,UI_Shopping_icon_libao18.png,103=5710,103=1550,,,
400030,6272430,120,纪念卡片礼盒II,,0,Shopping,UI_Shopping__icon_libao11.png,103=5960,103=1650,,,
400031,6272440,130,新齿轮助力礼盒II,,0,Shopping,UI_Shopping__icon_libao10.png,103=9620,103=2200,,,
400032,6272450,15,65级1洞首饰自选盒,,0,Shopping,UI_Shopping__icon_libao6.png,103=1700,103=450,,,
400033,6272610,150,限定提升礼盒,,0,Shopping,UI_Shopping__icon_libao2.png,103=9500,103=2850,,,
400034,6272030,160,限定超强化礼盒,,0,Shopping,UI_Shopping__icon_libao2.png,103=6880,103=2280,,,
400035,6272621,10,EP2.0登录礼盒,,0,Shopping,UI_Shopping__icon_libao15.png,103=302,103=0,,,
400036,6272631,20,齿轮增强礼盒,,0,Shopping,UI_Shopping__icon_libao16.png,103=2360,103=650,,,
400037,6272641,30,装备助力礼盒,,0,Shopping,UI_Shopping__icon_libao17.png,103=4265,103=1150,,,
400038,6272651,40,装备助力礼盒,,0,Shopping,UI_Shopping__icon_libao17.png,103=3350,103=1150,,,
400039,6272661,50,南瓜车载具礼盒,,0,Shopping,UI_Shopping__icon_libao18.png,103=7520,103=1650,,,
400040,6272671,60,EP2.0强化提升礼盒,,0,Shopping,UI_Shopping__icon_libao19.png,103=9400,103=2450,,,
400041,6272681,70,EP2.0强化提升礼盒,,0,Shopping,UI_Shopping__icon_libao20.png,103=9200,103=2350,,,
400042,6272691,45,装备速成礼盒,,0,Shopping,UI_Shopping__icon_libao9.png,103=2215,103=650,,,
400043,6272450,43,65级1洞首饰自选盒,,0,Shopping,UI_Shopping__icon_libao6.png,103=1700,103=450,,,
400044,6380110,2,单身快乐礼包,,0,Shopping,UI_Shopping__icon_libao21.png,103=413,102=11111,,,
400045,6380100,4,单身贵族礼包,,0,Shopping,UI_Shopping__icon_libao22.png,103=5494,103=1111,,,
400046,6272701,10,EP3.0前夕福利,,0,Shopping,UI_Shopping__icon_libao23.png,103=340,103=0,,,
400047,6272711,20,头饰材料礼盒,,0,Shopping,UI_Shopping__icon_libao25.png,103=1762,103=550,,,
400048,6272721,30,小型齿轮礼盒,,0,Shopping,UI_Shopping__icon_libao16.png,103=2650,103=750,,,
400049,6272731,40,装备护送礼盒,,0,Shopping,UI_Shopping__icon_libao24.png,103=4750,103=1450,,,
400050,6272741,50,装备护送礼盒,,0,Shopping,UI_Shopping__icon_libao24.png,103=4750,103=1450,,,
400051,6272751,60,超级卡片礼盒,,0,Shopping,UI_Shopping__icon_libao27.png,103=7860,103=2150,,,
400052,6272761,70,大型齿轮礼盒,,0,Shopping,UI_Shopping__icon_libao26.png,103=11080,103=2950,,,
400053,6272771,80,大型齿轮礼盒,,0,Shopping,UI_Shopping__icon_libao26.png,103=11080,103=2950,,,
400054,6272780,10,新年登陆礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe02.png,103=870,103=0,,,
400055,6272790,20,2021福利礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe03.png,103=2450,102=55000,,,
400056,6272800,30,装备强化礼包,,0,Shopping,UI_Shopping_icon_xinnianlihe04.png,103=5250,103=1250,,,
400057,6272810,40,急速成长礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe05.png,103=8600,103=1850,,,
400058,6272820,50,卡片强化礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe06.png,103=12550,103=2750,,,
400059,6272830,60,新服装备强化礼包,,0,Shopping,UI_Shopping_icon_xinnianlihe04.png,103=3232,103=750,,,
400060,6272840,70,新服急速成长礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe05.png,103=5500,103=1450,,,
400061,6272850,80,高级强化礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe06.png,103=7550,103=1850,,,
400062,6272860,10,二月登录礼盒,,0,Shopping,UI_Shopping__icon_libao28.png,103=505,103=0,,,
400063,6272870,20,春节登录礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe01.png,103=1190,103=0,,,
400064,6272880,30,战斗加强礼盒,,0,Shopping,UI_Shopping__icon_libao29.png,103=1612,102=75000,,,
400065,6272890,40,装备强化礼盒,,0,Shopping,UI_Shopping__icon_libao30.png,103=3920,103=850,,,
400066,6272900,50,改造强化礼盒,,0,Shopping,UI_Shopping__icon_libao31.png,103=7140,103=1450,,,
400067,6272910,60,装备制作礼盒,,0,Shopping,UI_Shopping__icon_libao31.png,103=4627,103=1450,,,
400068,6272920,70,齿轮成长礼盒,,0,Shopping,UI_Shopping__icon_libao32.png,103=8300,103=1850,,,
400069,6272930,80,附魔强化礼盒,,0,Shopping,UI_Shopping__icon_libao33.png,103=13130,103=2750,,,
400070,6272940,90,附魔强化礼盒,,0,Shopping,UI_Shopping__icon_libao33.png,103=13130,103=2750,,,
400071,6272950,100,附魔强化礼盒,,0,Shopping,UI_Shopping__icon_libao33.png,103=13142,103=2750,,,
400072,6273040,10,三月登录礼盒,,0,Shopping,UI_Shopping__icon_libao34.png,103=450,103=0,,,
400073,6273041,20,三月强化礼盒,,0,Shopping,UI_Shopping__icon_libao35.png,103=3420,103=650,,,
400074,6273042,30,三月卡片礼盒,,0,Shopping,UI_Shopping__icon_libao36.png,103=4100,103=950,,,
400075,6273043,40,三月齿轮增强礼盒I,,0,Shopping,UI_Shopping__icon_libao37.png,103=6760,103=1350,,,
400076,6273045,50,三月齿轮增强礼盒II,,0,Shopping,UI_Shopping__icon_libao37.png,103=6760,103=1350,,,
400077,6273044,60,三月配饰强化礼盒I,,0,Shopping,UI_Shopping__icon_libao38.png,103=11700,103=1950,,,
400078,6273046,70,三月配饰强化礼盒II,,0,Shopping,UI_Shopping__icon_libao38.png,103=11700,103=1950,,,
400079,6273100,10,四月登录礼盒,,0,Shopping,UI_Shopping_icon_chunlihe01.png,103=510,103=0,,,
400080,6273102,20,高级登录礼盒,,0,Shopping,UI_Shopping_icon_chunlihe02.png,103=456,103=0,,,
400081,6273104,30,愚人节礼盒,,0,Shopping,UI_Shopping_icon_chunlihe03.png,103=2910,102=85000,,,
400082,6273106,40,附魔增强礼盒Ⅰ,,0,Shopping,UI_Shopping_icon_chunlihe04.png,103=3033,103=500,,,
400083,6273108,50,齿轮改造增强礼盒Ⅰ,,0,Shopping,UI_Shopping_icon_chunlihe05.png,103=5490,103=850,,,
400084,6273110,60,大型强化加强礼盒,,0,Shopping,UI_Shopping_icon_chunlihe06.png,103=10834,103=1750,,,
400085,6273112,70,附魔增强礼盒Ⅱ,,0,Shopping,UI_Shopping_icon_chunlihe04.png,103=3033,103=500,,,
400086,6273114,80,齿轮改造增强礼盒Ⅱ,,0,Shopping,UI_Shopping_icon_chunlihe05.png,103=5490,103=850,,,
400087,6273116,90,大型强化加强礼盒,,0,Shopping,UI_Shopping_icon_chunlihe06.png,103=10834,103=1750,,,
400088,6273118,100,载具增强礼盒Ⅰ,,0,Shopping,UI_Shopping_icon_chunlihe04.png,103=3100,103=500,,,
400089,6273120,110,齿轮声望增强礼盒,,0,Shopping,UI_Shopping_icon_chunlihe05.png,103=5630,103=850,,,
400090,6273122,120,大型强化加强礼盒,,0,Shopping,UI_Shopping_icon_chunlihe06.png,103=10834,103=1750,,,
400091,6380240,10,五月登陆礼盒,,0,Shopping,UI_Shopping__icon_libao28.png,103=445,103=0,,,
400092,6380241,20,五月强化礼盒,,0,Shopping,UI_Shopping__icon_libao29.png,103=1296,103=250,,,
400093,6380242,30,五月精炼礼盒,,0,Shopping,UI_Shopping__icon_libao30.png,103=5130,103=850,,,
400094,6380243,40,五月齿轮强化礼盒,,0,Shopping,UI_Shopping__icon_libao31.png,103=7350,103=1150,,,
400095,6380244,50,五月卡片强化礼盒,,0,Shopping,UI_Shopping__icon_libao32.png,103=10500,103=1550,,,
400096,6380245,60,五月综合强化礼盒,,0,Shopping,UI_Shopping__icon_libao33.png,103=15500,103=2150,,,
400097,6380301,10,酷夏登录礼盒,,0,Shopping,UI_Shopping_icon_chunlihe01.png,103=480,103=0,,,
400098,6380302,20,酷夏小型礼盒,,0,Shopping,UI_Shopping_icon_chunlihe02.png,103=525,102=35000,,,
400099,6380303,30,酷夏超级礼盒,,0,Shopping,UI_Shopping_icon_chunlihe03.png,103=2190,103=600,,,
400101,6380304,50,酷夏大型礼盒,,0,Shopping,UI_Shopping_icon_chunlihe05.png,103=6110,103=1200,,,
400102,6380305,60,酷夏附魔礼盒,,0,Shopping,UI_Shopping_icon_chunlihe06.png,103=10050,103=1750,,,
400103,6380306,51,酷夏大型礼盒Ⅰ,,0,Shopping,UI_Shopping_icon_chunlihe05.png,103=6110,103=1100,,,
500000,6419999,9,限定登陆礼,,0,Shopping,UI_Shopping_icon_libao15.png,103=0,103=0,,,
500001,6420000,70,精炼加强礼盒Ⅱ,,0,Shopping,UI_Shopping_icon_xinnianlihe06.png,103=0,103=2800,,,
500002,6420001,60,齿轮加强礼盒Ⅱ,,0,Shopping,UI_Shopping_icon_xinnianlihe05.png,103=0,103=1500,,,
500003,6420002,50,精炼加强礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe04.png,103=0,103=800,,,
500004,6420003,30,卡片增强包,,0,Shopping,UI_Shopping_icon_xinnianlihe03.png,103=0,103=400,,,
500005,6420004,40,齿轮加强礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe03.png,103=0,103=480,,,
500006,6420005,20,装备加速礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe02.png,103=0,103=180,,,
500007,6420006,10,药水大礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe01.png,103=0,103=40,,,
500008,6420060,50,载具增强礼盒Ⅱ,,0,Shopping,UI_Shopping_icon_xinnianlihe04.png,103=0,103=980,,,
500009,6420061,20,载具增强礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe02.png,103=0,103=400,,,
500010,6420062,70,精炼加强礼盒Ⅳ,,0,Shopping,UI_Shopping_icon_xinnianlihe06.png,103=0,103=2500,,,
500011,6420063,40,精炼加强礼盒Ⅲ,,0,Shopping,UI_Shopping_icon_xinnianlihe03.png,103=0,103=980,,,
500012,6420064,30,装备加速礼盒Ⅱ,,0,Shopping,UI_Shopping_icon_xinnianlihe03.png,103=0,103=600,,,
500013,6420065,60,附魔加强礼盒Ⅱ,,0,Shopping,UI_Shopping_icon_xinnianlihe05.png,103=0,103=1600,,,
500014,6420066,10,附魔加强礼盒,,0,Shopping,UI_Shopping_icon_xinnianlihe01.png,103=0,103=200,,,
400104,6380352,10,庆典登陆礼盒,,0,Shopping1,UI_Shopping_icon_maomaolihe01.png,103=430,103=0,,,
400105,6380353,20,庆典回归礼盒,,0,Shopping1,UI_Shopping_icon_maomaolihe02.png,103=2970,102=50000,,,
400106,6380354,30,庆典附魔礼盒,,0,Shopping1,UI_Shopping_icon_maomaolihe03.png,103=5320,103=750,,,
400107,6380355,40,庆典齿轮礼盒,,0,Shopping1,UI_Shopping_icon_maomaolihe04.png,103=6450,103=1250,,,
400108,6380356,50,庆典成长礼盒,,0,Shopping1,UI_Shopping_icon_maomaolihe05.png,103=19400,103=1850,,,
400109,6380380,10,八月登录礼盒,,,Shopping,UI_Shopping_icon_chunlihe01.png,103=460,103=0,,,
400110,6380381,20,八月精炼礼盒,,,Shopping,UI_Shopping_icon_chunlihe02.png,103=3580,102=50000,,,
400111,6380382,30,八月载具礼盒,,,Shopping,UI_Shopping_icon_chunlihe03.png,103=4510,103=550,,,
400112,6380383,40,八月强化礼盒,,,Shopping,UI_Shopping_icon_chunlihe05.png,103=7400,103=950,,,
400113,6380384,50,八月卡片礼盒,,,Shopping,UI_Shopping_icon_chunlihe06.png,103=12500,103=1650,,,
400114,6380385,60,八月齿轮礼盒,,,Shopping1,UI_Shopping_icon_maomaolihe06.png,103=19000,103=2150,,,
