ID,ResolveAmount,ExpendZeny
9336108,2034011=90=95,101=50000
9336208,2034011=90=95,101=50000
2336305,2034008=50=55,101=50000
2336307,2034010=70=75,101=50000
2336308,2034011=90=95,101=50000
2336405,2034008=50=55,101=50000
2336407,2034010=70=75,101=50000
2336408,2034011=90=95,101=50000
2336505,2034008=50=55,101=50000
2336507,2034010=70=75,101=50000
2336508,2034011=90=95,101=50000
2336605,2034008=50=55,101=50000
2336607,2034010=70=75,101=50000
2336608,2034011=90=95,101=50000
2336707,2034010=70=75,101=50000
2336708,2034011=90=95,101=50000
2336807,2034010=70=75,101=50000
2336808,2034011=90=95,101=50000
2336908,2034011=90=95,101=50000
1337005,2034008=50=55,101=50000
1337007,2034010=70=75,101=50000
1337008,2034011=90=95,101=50000
1337105,2034008=50=55,101=50000
1337107,2034010=70=75,101=50000
1337108,2034011=90=95,101=50000
1337207,2034010=70=75,101=50000
1337208,2034011=90=95,101=50000
1337307,2034010=70=75,101=50000
1337308,2034011=90=95,101=50000
1337408,2034011=90=95,101=50000
6337505,2034008=50=55,101=50000
6337507,2034010=70=75,101=50000
6337508,2034011=90=95,101=50000
6337605,2034008=50=55,101=50000
6337607,2034010=70=75,101=50000
6337608,2034011=90=95,101=50000
6337705,2034008=50=55,101=50000
6337707,2034010=70=75,101=50000
6337708,2034011=90=95,101=50000
6337807,2034010=70=75,101=50000
6337808,2034011=90=95,101=50000
6337907,2034010=70=75,101=50000
6337908,2034011=90=95,101=50000
6338007,2034010=70=75,101=50000
6338008,2034011=90=95,101=50000
6338107,2034010=70=75,101=50000
6338108,2034011=90=95,101=50000
6338208,2034011=90=95,101=50000
5338305,2034008=50=55,101=50000
5338307,2034010=70=75,101=50000
5338308,2034011=90=95,101=50000
5338405,2034008=50=55,101=50000
5338407,2034010=70=75,101=50000
5338408,2034011=90=95,101=50000
5338507,2034010=70=75,101=50000
5338508,2034011=90=95,101=50000
5338607,2034010=70=75,101=50000
5338608,2034011=90=95,101=50000
5338708,2034011=90=95,101=50000
12228803,2034005=2=3,101=15000
12238804,2034005=6=7,101=15000
12238805,2034005=18=20,101=50000
12238806,2034005=30=32,101=50000
12238807,2034005=50=52,101=50000
12238808,2034005=120=122,101=50000
12228903,2034005=2=3,101=15000
12238904,2034005=6=7,101=15000
12238905,2034005=18=20,101=50000
12238906,2034005=30=32,101=50000
12238907,2034005=50=52,101=50000
12238908,2034005=120=122,101=50000
13229003,2034005=2=3,101=15000
13239004,2034005=6=7,101=15000
13239005,2034005=18=20,101=50000
13239006,2034005=30=32,101=50000
13239007,2034005=50=52,101=50000
13239008,2034005=120=122,101=50000
13229103,2034005=2=3,101=15000
13239104,2034005=6=7,101=15000
13239105,2034005=18=20,101=50000
13239106,2034005=30=32,101=50000
13239107,2034005=50=52,101=50000
13239108,2034005=120=122,101=50000
4229203,2034005=2=3,101=15000
4239204,2034005=6=7,101=15000
4239205,2034005=18=20,101=50000
4239206,2034005=30=32,101=50000
4239207,2034005=50=52,101=50000
4239208,2034005=120=122,101=50000
4229303,2034005=2=3,101=15000
4239304,2034005=6=7,101=15000
4239305,2034005=18=20,101=50000
4239306,2034005=30=32,101=50000
4239307,2034005=50=52,101=50000
4239308,2034005=120=122,101=50000
4229403,2034005=2=3,101=15000
4239404,2034005=6=7,101=15000
4239405,2034005=18=20,101=50000
4239406,2034005=30=32,101=50000
4239407,2034005=50=52,101=50000
4239408,2034005=120=122,101=50000
9229503,2034005=2=3,101=15000
9239504,2034005=6=7,101=15000
9239505,2034005=18=20,101=50000
9239506,2034005=30=32,101=50000
9239507,2034005=50=52,101=50000
9239508,2034005=120=122,101=50000
2229603,2034005=2=3,101=15000
2239604,2034005=6=7,101=15000
2239605,2034005=18=20,101=50000
2239606,2034005=30=32,101=50000
2239607,2034005=50=52,101=50000
2239608,2034005=120=122,101=50000
1229703,2034005=2=3,101=15000
1239704,2034005=6=7,101=15000
1239705,2034005=18=20,101=50000
1239706,2034005=30=32,101=50000
1239707,2034005=50=52,101=50000
1239708,2034005=120=122,101=50000
6229803,2034005=2=3,101=15000
6239804,2034005=6=7,101=15000
6239805,2034005=18=20,101=50000
6239806,2034005=30=32,101=50000
6239807,2034005=50=52,101=50000
6239808,2034005=120=122,101=50000
6229903,2034005=2=3,101=15000
6239904,2034005=6=7,101=15000
6239905,2034005=18=20,101=50000
6239906,2034005=30=32,101=50000
6239907,2034005=50=52,101=50000
6239908,2034005=120=122,101=50000
5230003,2034005=2=3,101=15000
5240004,2034005=6=7,101=15000
5240005,2034005=18=20,101=50000
5240006,2034005=30=32,101=50000
5240007,2034005=50=52,101=50000
5240008,2034005=120=122,101=50000
5230103,2034005=2=3,101=15000
5240104,2034005=6=7,101=15000
5240105,2034005=18=20,101=50000
5240106,2034005=30=32,101=50000
5240107,2034005=50=52,101=50000
5240108,2034005=120=122,101=50000
7330205,2034008=20=25,101=50000
7330207,2034010=30=35,101=50000
7330208,2034011=40=45,101=50000
7330305,2034008=20=25,101=50000
7330307,2034010=30=35,101=50000
7330308,2034011=40=45,101=50000
7330405,2034008=20=25,101=50000
7330407,2034010=30=35,101=50000
7330408,2034011=40=45,101=50000
7330505,2034008=20=25,101=50000
7330507,2034010=30=35,101=50000
7330508,2034011=40=45,101=50000
7330605,2034008=20=25,101=50000
7330607,2034010=30=35,101=50000
7330608,2034011=40=45,101=50000
7330705,2034008=20=25,101=50000
7330707,2034010=30=35,101=50000
7330708,2034011=40=45,101=50000
7330805,2034008=20=25,101=50000
7330807,2034010=30=35,101=50000
7330808,2034011=40=45,101=50000
7330905,2034008=20=25,101=50000
7330907,2034010=30=35,101=50000
7330908,2034011=40=45,101=50000
7331005,2034008=20=25,101=50000
7331007,2034010=30=35,101=50000
7331008,2034011=40=45,101=50000
8331105,2034008=20=25,101=50000
8331107,2034010=30=35,101=50000
8331108,2034011=40=45,101=50000
8331205,2034008=20=25,101=50000
8331207,2034010=30=35,101=50000
8331208,2034011=40=45,101=50000
8331305,2034008=20=25,101=50000
8331307,2034010=30=35,101=50000
8331308,2034011=40=45,101=50000
8331405,2034008=20=25,101=50000
8331407,2034010=30=35,101=50000
8331408,2034011=40=45,101=50000
8331505,2034008=20=25,101=50000
8331507,2034010=30=35,101=50000
8331508,2034011=40=45,101=50000
8331605,2034008=20=25,101=50000
8331607,2034010=30=35,101=50000
8331608,2034011=40=45,101=50000
11331705,2034008=20=25,101=50000
11331707,2034010=30=35,101=50000
11331708,2034011=40=45,101=50000
11331805,2034008=20=25,101=50000
11331807,2034010=30=35,101=50000
11331808,2034011=40=45,101=50000
11331905,2034008=20=25,101=50000
11331907,2034010=30=35,101=50000
11331908,2034011=40=45,101=50000
11332005,2034008=20=25,101=50000
11332007,2034010=30=35,101=50000
11332008,2034011=40=45,101=50000
11332105,2034008=20=25,101=50000
11332107,2034010=30=35,101=50000
11332108,2034011=40=45,101=50000
11332205,2034008=20=25,101=50000
11332207,2034010=30=35,101=50000
11332208,2034011=40=45,101=50000
7332308,2034011=40=45,101=50000
8332408,2034011=40=45,101=50000
11332508,2034011=40=45,101=50000
7332608,2034011=40=45,101=50000
8332708,2034011=40=45,101=50000
11332808,2034011=40=45,101=50000
7332908,2034011=40=45,101=50000
11333008,2034011=40=45,101=50000
8333108,2034011=40=45,101=50000
7333208,2034011=40=45,101=50000
8333308,2034011=40=45,101=50000
11333408,2034011=40=45,101=50000
7333508,2034011=40=45,101=50000
8333608,2034011=40=45,101=50000
11333708,2034011=40=45,101=50000
3333805,2034008=20=25,101=50000
3333807,2034010=30=35,101=50000
3333808,2034011=40=45,101=50000
3333905,2034008=20=25,101=50000
3333907,2034010=30=35,101=50000
3333908,2034011=40=45,101=50000
3334005,2034008=20=25,101=50000
3334007,2034010=30=35,101=50000
3334008,2034011=40=45,101=50000
3334105,2034008=20=25,101=50000
3334107,2034010=30=35,101=50000
3334108,2034011=40=45,101=50000
3334205,2034008=20=25,101=50000
3334207,2034010=30=35,101=50000
3334208,2034011=40=45,101=50000
3334308,2034011=40=45,101=50000
3334405,2034008=20=25,101=50000
3334407,2034010=30=35,101=50000
3334408,2034011=40=45,101=50000
3334505,2034008=20=25,101=50000
3334507,2034010=30=35,101=50000
3334508,2034011=40=45,101=50000
3334605,2034008=20=25,101=50000
3334607,2034010=30=35,101=50000
3334608,2034011=40=45,101=50000
3334708,2034011=40=45,101=50000
7234803,2034005=2=3,101=15000
7234804,2034005=6=7,101=15000
7234805,2034005=18=20,101=50000
7234806,2034005=30=32,101=50000
7234807,2034005=50=52,101=50000
7234808,2034005=120=122,101=50000
7234903,2034005=2=3,101=15000
7234904,2034005=6=7,101=15000
7234905,2034005=18=20,101=50000
7234906,2034005=30=32,101=50000
7234907,2034005=50=52,101=50000
7234908,2034005=120=122,101=50000
7235003,2034005=2=3,101=15000
7235004,2034005=6=7,101=15000
7235005,2034005=18=20,101=50000
7235006,2034005=30=32,101=50000
7235007,2034005=50=52,101=50000
7235008,2034005=120=122,101=50000
8235103,2034005=2=3,101=15000
8235104,2034005=6=7,101=15000
8235105,2034005=18=20,101=50000
8235106,2034005=30=32,101=50000
8235107,2034005=50=52,101=50000
8235108,2034005=120=122,101=50000
8235203,2034005=2=3,101=15000
8235204,2034005=6=7,101=15000
8235205,2034005=18=20,101=50000
8235206,2034005=30=32,101=50000
8235207,2034005=50=52,101=50000
8235208,2034005=120=122,101=50000
8235303,2034005=2=3,101=15000
8235304,2034005=6=7,101=15000
8235305,2034005=18=20,101=50000
8235306,2034005=30=32,101=50000
8235307,2034005=50=52,101=50000
8235308,2034005=120=122,101=50000
11235403,2034005=2=3,101=15000
11235404,2034005=6=7,101=15000
11235405,2034005=18=20,101=50000
11235406,2034005=30=32,101=50000
11235407,2034005=50=52,101=50000
11235408,2034005=120=122,101=50000
11235503,2034005=2=3,101=15000
11235504,2034005=6=7,101=15000
11235505,2034005=18=20,101=50000
11235506,2034005=30=32,101=50000
11235507,2034005=50=52,101=50000
11235508,2034005=120=122,101=50000
11235603,2034005=2=3,101=15000
11235604,2034005=6=7,101=15000
11235605,2034005=18=20,101=50000
11235606,2034005=30=32,101=50000
11235607,2034005=50=52,101=50000
11235608,2034005=120=122,101=50000
3235703,2034005=2=3,101=15000
3235704,2034005=6=7,101=15000
3235705,2034005=18=20,101=50000
3235706,2034005=30=32,101=50000
3235707,2034005=50=52,101=50000
3235708,2034005=120=122,101=50000
3235803,2034005=2=3,101=15000
3235804,2034005=6=7,101=15000
3235805,2034005=18=20,101=50000
3235806,2034005=30=32,101=50000
3235807,2034005=50=52,101=50000
3235808,2034005=120=122,101=50000
3235903,2034005=2=3,101=15000
3235904,2034005=6=7,101=15000
3235905,2034005=18=20,101=50000
3235906,2034005=30=32,101=50000
3235907,2034005=50=52,101=50000
3235908,2034005=120=122,101=50000
10326002,101=20000=20001,101=15000
10326003,101=20000=20001,101=15000
10326102,101=20000=20001,101=15000
10326204,2034006=9=11,101=15000
10336204,2034006=9=11,101=15000
10326304,2034006=9=11,101=15000
10336304,2034006=9=11,101=15000
10326404,2034006=9=11,101=15000
10336404,2034006=9=11,101=15000
10326504,2034006=9=11,101=15000
10336504,2034006=9=11,101=15000
10326605,2034006=9=11,101=15000
10336605,2034006=9=11,101=15000
10326706,2034006=9=11,101=15000
10336706,2034006=19=21,101=50000
10346706,2034006=19=21,101=50000
10326806,2034006=9=11,101=15000
10336806,2034006=19=21,101=50000
10346806,2034006=19=21,101=50000
10326906,2034006=9=11,101=15000
10336906,2034006=19=21,101=50000
10346906,2034006=19=21,101=50000
10327006,2034006=9=11,101=15000
10337006,2034006=19=21,101=50000
10347006,2034006=19=21,101=50000
10327106,2034006=9=11,101=15000
10337106,2034006=19=21,101=50000
10347106,2034006=19=21,101=50000
10327206,2034006=19=21,101=50000
10337206,2034006=19=21,101=50000
10347206,2034006=19=21,101=50000
10327306,2034006=19=21,101=50000
10337306,2034006=19=21,101=50000
10347306,2034006=19=21,101=50000
10327407,2034006=19=21,101=50000
10337407,2034006=19=21,101=50000
10347407,2034006=19=21,101=50000
10327507,2034006=19=21,101=50000
10337507,2034006=19=21,101=50000
10347507,2034006=19=21,101=50000
10327607,2034006=39=41,101=50000
10337607,2034006=39=41,101=50000
10347607,2034006=39=41,101=50000
10327707,2034006=19=21,101=50000
10337707,2034006=19=21,101=50000
10347707,2034006=19=21,101=50000
10327807,2034006=19=21,101=50000
10337807,2034006=19=21,101=50000
10347807,2034006=19=21,101=50000
10327907,2034006=19=21,101=50000
10337907,2034006=19=21,101=50000
10347907,2034006=19=21,101=50000
10328007,2034006=19=21,101=50000
10338007,2034006=19=21,101=50000
10348007,2034006=19=21,101=50000
10328108,2034006=39=41,101=50000
10338108,2034006=39=41,101=50000
10348108,2034006=39=41,101=50000
10328208,2034006=39=41,101=50000
10338208,2034006=39=41,101=50000
10348208,2034006=39=41,101=50000
10328308,2034006=39=41,101=50000
10338308,2034006=39=41,101=50000
10348308,2034006=39=41,101=50000
10328408,2034006=39=41,101=50000
10338408,2034006=39=41,101=50000
10348408,2034006=39=41,101=50000
10328508,2034006=39=41,101=50000
10338508,2034006=39=41,101=50000
10348508,2034006=39=41,101=50000
10328608,2034006=39=41,101=50000
10338608,2034006=39=41,101=50000
10348608,2034006=39=41,101=50000
10328708,2034006=39=41,101=50000
10338708,2034006=39=41,101=50000
10348708,2034006=39=41,101=50000
4348805,2034008=50=55,101=50000
4348807,2034010=70=75,101=50000
4358808,2034011=90=95,101=50000
4348905,2034008=50=55,101=50000
4348907,2034010=70=75,101=50000
4358908,2034011=90=95,101=50000
5349007,2034010=70=75,101=50000
5359008,2034011=90=95,101=50000
6349105,2034008=50=55,101=50000
6349107,2034010=70=75,101=50000
6359108,2034011=90=95,101=50000
10329207,2034006=19=21,101=50000
10339207,2034006=19=21,101=50000
10349207,2034006=19=21,101=50000
10329304,2034006=9=11,101=15000
10329306,2034006=19=21,101=50000
10329308,2034006=39=41,101=50000
12333509,2034012=126=126,101=50000
12333609,2034012=126=126,101=50000
12333709,2034012=126=126,101=50000
12333809,2034012=189=189,101=50000
12333909,2034012=189=189,101=50000
13334009,2034012=189=189,101=50000
13334109,2034012=189=189,101=50000
13334409,2034012=189=189,101=50000
4334509,2034012=126=126,101=50000
4334609,2034012=126=126,101=50000
4334709,2034012=126=126,101=50000
4334809,2034012=126=126,101=50000
4335109,2034012=189=189,101=50000
4335209,2034012=126=126,101=50000
4335409,2034012=126=126,101=50000
4335509,2034012=189=189,101=50000
4335709,2034012=189=189,101=50000
9335909,2034012=189=189,101=50000
9336009,2034012=189=189,101=50000
9336109,2034012=189=189,101=50000
9336209,2034012=189=189,101=50000
2336309,2034012=126=126,101=50000
2336509,2034012=126=126,101=50000
2336709,2034012=126=126,101=50000
2336809,2034012=126=126,101=50000
2336909,2034012=126=126,101=50000
1337009,2034012=126=126,101=50000
1337109,2034012=126=126,101=50000
1337209,2034012=126=126,101=50000
1337309,2034012=126=126,101=50000
1337409,2034012=126=126,101=50000
6337609,2034012=189=189,101=50000
6337809,2034012=189=189,101=50000
6337909,2034012=189=189,101=50000
6338109,2034012=189=189,101=50000
6338209,2034012=189=189,101=50000
5338309,2034012=189=189,101=50000
5338509,2034012=189=189,101=50000
5338609,2034012=189=189,101=50000
5338709,2034012=126=126,101=50000
12238809,2034005=130=130,101=50000
12238909,2034005=130=130,101=50000
13239009,2034005=130=130,101=50000
13239109,2034005=130=130,101=50000
4239209,2034005=130=130,101=50000
4239309,2034005=130=130,101=50000
4239409,2034005=130=130,101=50000
9239509,2034005=130=130,101=50000
2239609,2034005=130=130,101=50000
1239709,2034005=130=130,101=50000
6239809,2034005=130=130,101=50000
6239909,2034005=130=130,101=50000
5240009,2034005=130=130,101=50000
5240109,2034005=130=130,101=50000
7332309,2034012=91=91,101=50000
8332409,2034012=91=91,101=50000
11332509,2034012=91=91,101=50000
7332609,2034012=91=91,101=50000
8332709,2034012=91=91,101=50000
11332809,2034012=91=91,101=50000
7332909,2034012=91=91,101=50000
11333009,2034012=91=91,101=50000
8333109,2034012=91=91,101=50000
7333209,2034012=91=91,101=50000
8333309,2034012=91=91,101=50000
11333409,2034012=91=91,101=50000
7333509,2034012=91=91,101=50000
8333609,2034012=91=91,101=50000
11333709,2034012=91=91,101=50000
3333809,2034012=63=63,101=50000
3333909,2034012=63=63,101=50000
3334009,2034012=63=63,101=50000
3334109,2034012=63=63,101=50000
3334209,2034012=63=63,101=50000
3334309,2034012=63=63,101=50000
3334409,2034012=63=63,101=50000
3334509,2034012=63=63,101=50000
3334609,2034012=63=63,101=50000
3334709,2034012=63=63,101=50000
7234809,2034005=130=130,101=50000
7234909,2034005=130=130,101=50000
7235009,2034005=130=130,101=50000
8235109,2034005=130=130,101=50000
8235209,2034005=130=130,101=50000
8235309,2034005=130=130,101=50000
11235409,2034005=130=130,101=50000
11235509,2034005=130=130,101=50000
11235609,2034005=130=130,101=50000
3235709,2034005=130=130,101=50000
3235809,2034005=130=130,101=50000
3235909,2034005=130=130,101=50000
4348809,2034012=126=126,101=50000
4348909,2034012=126=126,101=50000
5349009,2034012=189=189,101=50000
6349109,2034012=189=189,101=50000
12349309,2034012=189=189,101=50000
12349409,2034012=189=189,101=50000
13349509,2034012=189=189,101=50000
4349609,2034012=189=189,101=50000
4349709,2034012=126=126,101=50000
14349805,2034008=49=49,101=50000
14349807,2034010=63=63,101=50000
14349808,2034011=84=84,101=50000
14349809,2034012=126=126,101=50000
14349905,2034008=49=49,101=50000
14349907,2034010=63=63,101=50000
14349908,2034011=84=84,101=50000
14349909,2034012=126=126,101=50000
14350005,2034008=49=49,101=50000
14350007,2034010=63=63,101=50000
14350008,2034011=84=84,101=50000
14350107,2034010=63=63,101=50000
14350108,2034011=84=84,101=50000
14350109,2034012=126=126,101=50000
14350207,2034010=63=63,101=50000
14350208,2034011=84=84,101=50000
14350209,2034012=126=126,101=50000
14350308,2034011=84=84,101=50000
14350309,2034012=126=126,101=50000
14350409,2034012=126=126,101=50000
4350509,2034012=126=126,101=50000
4350609,2034012=189=189,101=50000
4350709,2034012=189=189,101=50000
7340809,2034012=91=91,101=50000
8340909,2034012=91=91,101=50000
11341009,2034012=63=63,101=50000
10351109,2034006=45=45,101=50000
10351209,2034006=45=45,101=50000
14251303,2034005=2=3,101=50000
14251304,2034005=6=7,101=50000
14251305,2034005=18=20,101=50000
14251306,2034005=30=32,101=50000
14251307,2034005=50=52,101=50000
14251308,2034005=120=122,101=50000
14251309,2034005=130=130,101=50000
10332409,2034006=48=52,101=50000
10342409,2034006=68=72,101=50000
10352409,2034006=88=92,101=50000
10332509,2034006=48=52,101=50000
10342509,2034006=68=72,101=50000
10352509,2034006=88=92,101=50000
10332609,2034006=48=52,101=50000
10342609,2034006=68=72,101=50000
10352609,2034006=88=92,101=50000
10332709,2034006=48=52,101=50000
10342709,2034006=68=72,101=50000
10352709,2034006=88=92,101=50000
10332809,2034006=48=52,101=50000
10342809,2034006=68=72,101=50000
10352809,2034006=88=92,101=50000
10332909,2034006=48=52,101=50000
10342909,2034006=68=72,101=50000
10352909,2034006=88=92,101=50000
10333009,2034006=48=52,101=50000
10343009,2034006=68=72,101=50000
10353009,2034006=88=92,101=50000
10333109,2034006=48=52,101=50000
10343109,2034006=68=72,101=50000
10353109,2034006=88=92,101=50000
10333209,2034006=48=52,101=50000
10343209,2034006=68=72,101=50000
10353209,2034006=88=92,101=50000
10333306,2034006=19=21,101=50000
3341405,2034008=21=21,101=50000
3341407,2034010=28=28,101=50000
3341408,2034011=42=42,101=50000
3341409,2034012=63=63,101=50000
3341505,2034008=21=21,101=50000
3341507,2034010=28=28,101=50000
3341508,2034011=42=42,101=50000
3341509,2034012=63=63,101=50000
3341605,2034008=21=21,101=50000
3341607,2034010=28=28,101=50000
3341608,2034011=42=42,101=50000
3341609,2034012=63=63,101=50000
3341709,2034012=63=63,101=50000
13351805,2034008=49=49,101=50000
13351807,2034010=63=63,101=50000
13351808,2034011=84=84,101=50000
13351809,2034012=126=126,101=50000
13351905,2034008=60=60,101=50000
13351907,2034010=75=75,101=50000
13351908,2034011=100=100,101=50000
13351909,2034012=140=140,101=50000
13352005,2034008=49=49,101=50000
13352007,2034010=63=63,101=50000
13352008,2034011=84=84,101=50000
13352009,2034012=126=126,101=50000
13352107,2034010=63=63,101=50000
13352108,2034011=84=84,101=50000
13352109,2034012=126=126,101=50000
13352208,2034011=100=100,101=50000
13352209,2034012=140=140,101=50000
13352309,2034012=126=126,101=50000
12333510,2034013=189=189,101=50000
12333610,2034013=189=189,101=50000
12333710,2034013=189=189,101=50000
12333810,2034013=280=280,101=50000
12333910,2034013=280=280,101=50000
13334010,2034013=280=280,101=50000
13334110,2034013=280=280,101=50000
13334410,2034013=280=280,101=50000
4334510,2034013=189=189,101=50000
4334610,2034013=189=189,101=50000
4334710,2034013=189=189,101=50000
4334810,2034013=189=189,101=50000
4335110,2034013=280=280,101=50000
4335210,2034013=189=189,101=50000
4335410,2034013=189=189,101=50000
4335510,2034013=280=280,101=50000
4335710,2034013=280=280,101=50000
9335910,2034013=280=280,101=50000
9336010,2034013=280=280,101=50000
9336110,2034013=280=280,101=50000
9336210,2034013=280=280,101=50000
2336310,2034013=189=189,101=50000
2336510,2034013=189=189,101=50000
2336710,2034013=189=189,101=50000
2336810,2034013=189=189,101=50000
2336910,2034013=189=189,101=50000
1337010,2034013=189=189,101=50000
1337110,2034013=189=189,101=50000
1337210,2034013=189=189,101=50000
1337310,2034013=189=189,101=50000
1337410,2034013=189=189,101=50000
6337610,2034013=280=280,101=50000
6337810,2034013=280=280,101=50000
6337910,2034013=280=280,101=50000
6338110,2034013=280=280,101=50000
6338210,2034013=280=280,101=50000
5338310,2034013=280=280,101=50000
5338510,2034013=280=280,101=50000
5338610,2034013=280=280,101=50000
5338710,2034013=189=189,101=50000
7332310,2034013=133=133,101=50000
8332410,2034013=133=133,101=50000
11332510,2034013=133=133,101=50000
7332610,2034013=133=133,101=50000
8332710,2034013=133=133,101=50000
11332810,2034013=133=133,101=50000
7332910,2034013=133=133,101=50000
11333010,2034013=133=133,101=50000
8333110,2034013=133=133,101=50000
7333210,2034013=133=133,101=50000
8333310,2034013=133=133,101=50000
11333410,2034013=133=133,101=50000
7333510,2034013=133=133,101=50000
8333610,2034013=133=133,101=50000
11333710,2034013=133=133,101=50000
3333810,2034013=91=91,101=50000
3333910,2034013=91=91,101=50000
3334010,2034013=91=91,101=50000
3334110,2034013=91=91,101=50000
3334210,2034013=91=91,101=50000
3334310,2034013=91=91,101=50000
3334410,2034013=91=91,101=50000
3334510,2034013=91=91,101=50000
3334610,2034013=91=91,101=50000
3334710,2034013=91=91,101=50000
4348810,2034013=280=280,101=50000
4348910,2034013=280=280,101=50000
5349010,2034013=280=280,101=50000
6349110,2034013=280=280,101=50000
12349310,2034013=280=280,101=50000
12349410,2034013=280=280,101=50000
13349510,2034013=280=280,101=50000
4349610,2034013=280=280,101=50000
4349710,2034013=189=189,101=50000
14349810,2034013=280=280,101=50000
14349910,2034013=280=280,101=50000
14350110,2034013=280=280,101=50000
14350210,2034013=280=280,101=50000
14350310,2034013=280=280,101=50000
14350410,2034013=280=280,101=50000
5350510,2034013=189=189,101=50000
9350610,2034013=280=280,101=50000
6350710,2034013=280=280,101=50000
7340810,2034013=133=133,101=50000
8340910,2034013=133=133,101=50000
11341010,2034013=133=133,101=50000
10351110,2034013=91=91,101=50000
10351210,2034013=91=91,101=50000
3341410,2034013=189=189,101=50000
3341510,2034013=189=189,101=50000
3341610,2034013=189=189,101=50000
3341710,2034013=189=189,101=50000
13351810,2034013=189=189,101=50000
13351910,2034013=280=280,101=50000
13352010,2034013=189=189,101=50000
13352110,2034013=189=189,101=50000
13352210,2034013=280=280,101=50000
13352310,2034013=189=189,101=50000
13353410,2034013=280=280,101=50000
1353510,2034013=189=189,101=50000
4353610,2034013=280=280,101=50000
6353710,2034013=280=280,101=50000
5353810,2034013=280=280,101=50000
2353910,2034013=189=189,101=50000
14354010,2034013=280=280,101=50000
1354105,2034008=49=49,101=50000
1354107,2034010=63=63,101=50000
1354108,2034011=84=84,101=50000
1354109,2034012=126=126,101=50000
1354110,2034013=189=189,101=50000
1354205,2034008=49=49,101=50000
1354207,2034010=63=63,101=50000
1354208,2034011=84=84,101=50000
1354209,2034012=126=126,101=50000
1354210,2034013=189=189,101=50000
1354307,2034010=63=63,101=50000
1354308,2034011=84=84,101=50000
1354309,2034012=126=126,101=50000
1354310,2034013=189=189,101=50000
1354408,2034011=84=84,101=50000
1354409,2034012=126=126,101=50000
1354410,2034013=189=189,101=50000
1354508,2034011=84=84,101=50000
1354509,2034012=126=126,101=50000
1354510,2034013=189=189,101=50000
1354609,2034012=126=126,101=50000
1354610,2034013=189=189,101=50000
16355908,2034011=126=126,101=50000
16355909,2034012=189=189,101=50000
16355910,2034013=280=280,101=50000
16356005,2034008=70=70,101=50000
16356007,2034010=91=91,101=50000
16356008,2034011=126=126,101=50000
16356009,2034012=189=189,101=50000
16356010,2034013=280=280,101=50000
16356107,2034010=91=91,101=50000
16356108,2034011=126=126,101=50000
16356109,2034012=189=189,101=50000
16356110,2034013=280=280,101=50000
