Id,EnchantId,Text,Property,BindProperty,PropertyDec,Quality,Pro,RandomType,SortId,TypeId,TypeScore,profession,LimitTime
71,3,90级武器库,0=14=10,,2011,1,50,5=6=500|6=7=400|7=8=100,71,2,30,2000|5000|6000|3201,
72,3,90级武器库,0=16=10,,2012,1,50,5=6=500|6=7=400|7=8=100,72,2,30,3000|4000,
73,3,90级武器库,0=18=10,,2013,1,50,5=6=500|6=7=400|7=8=100,73,2,30,2000|5000|6000|7000|3201,
74,3,90级武器库,0=20=10,,2014,1,50,5=6=500|6=7=400|7=8=100,74,2,30,3000|4000|7000,
75,3,90级武器库,0=27=55,,2002,1,50,15=29=500|29=37=400|37=43=100,75,3,30,2000|5000|6000|7000|3201,
76,3,90级武器库,0=36=55,,2001,1,50,15=29=500|29=37=400|37=43=100,76,3,30,3000|4000,
77,3,90级武器库,0=28=600,,2000,1,50,200=340=500|340=420=400|420=480=100,77,3,30,2000|5000|6000|7000|3201,
78,3,90级武器库,0=37=600,,2112,1,50,200=340=500|340=420=400|420=480=100,78,3,30,3000|4000,
79,3,90级武器库,0=71=600,,2113,1,50,200=340=500|340=420=400|420=480=100,79,3,30,2000|5000|6000|7000|3201,
80,3,90级武器库,0=14=10,,2011,2,50,8=10=100|10=11=20,80,2,30,2000|5000|6000|3201,
81,3,90级武器库,0=16=10,,2012,2,50,8=10=100|10=11=20,81,2,30,3000|4000,
82,3,90级武器库,0=18=10,,2013,2,50,8=10=100|10=11=20,82,2,30,2000|5000|6000|7000|3201,
83,3,90级武器库,0=20=10,,2014,2,50,8=10=100|10=11=20,83,2,30,3000|4000|7000,
84,3,90级武器库,0=27=55,,2002,2,50,43=47=100|47=56=20,84,3,60,2000|5000|6000|7000|3201,
85,3,90级武器库,0=36=55,,2001,2,50,43=47=100|47=56=20,85,3,60,3000|4000,
86,3,90级武器库,0=28=600,,2000,2,50,480=520=100|520=601=20,86,3,60,2000|5000|6000|7000|3201,
87,3,90级武器库,0=37=600,,2112,2,50,480=520=100|520=601=20,87,3,60,3000|4000,
88,3,90级武器库,0=71=600,,2113,2,50,480=520=100|520=601=20,88,3,60,2000|5000|6000|7000|3201,
89,3,90级武器库,1=710014001=0,,2022,3,512,1=1=1,89,1,60,2000|5000|6000|3201,
90,3,90级武器库,1=710014102=0,,2022,3,256,1=1=1,90,1,60,2000|5000|6000|3201,100
91,3,90级武器库,1=710014203=0,,2022,3,128,1=1=1,91,1,60,2000|5000|6000|3201,200
92,3,90级武器库,1=710014304=0,,2022,3,64,1=1=1,92,1,60,2000|5000|6000|3201,500
93,3,90级武器库,1=710015011=0,,2029,3,512,1=1=1,93,1,60,3000|4000,
94,3,90级武器库,1=710015112=0,,2029,3,256,1=1=1,94,1,60,3000|4000,100
95,3,90级武器库,1=710015213=0,,2029,3,128,1=1=1,95,1,60,3000|4000,200
96,3,90级武器库,1=710015314=0,,2029,3,64,1=1=1,96,1,60,3000|4000,500
97,3,90级武器库,1=710016021=0,,2036,3,512,1=1=1,97,1,60,7000,
98,3,90级武器库,1=710016122=0,,2036,3,256,1=1=1,98,1,60,7000,100
99,3,90级武器库,1=710016223=0,,2036,3,128,1=1=1,99,1,60,7000,200
100,3,90级武器库,1=710016324=0,,2036,3,64,1=1=1,100,1,60,7000,500
101,3,90级武器库,1=710023091=0,,2043,3,512,1=1=1,101,1,60,2000|5000|6000|7000|3201,
102,3,90级武器库,1=710023192=0,,2043,3,256,1=1=1,102,1,60,2000|5000|6000|7000|3201,100
103,3,90级武器库,1=710023293=0,,2043,3,128,1=1=1,103,1,60,2000|5000|6000|7000|3201,200
104,3,90级武器库,1=710023394=0,,2043,3,64,1=1=1,104,1,60,2000|5000|6000|7000|3201,500
105,3,90级武器库,1=710017031=0,,2050,3,512,1=1=1,105,1,60,3000|4000,
106,3,90级武器库,1=710017132=0,,2050,3,256,1=1=1,106,1,60,3000|4000,100
107,3,90级武器库,1=710017233=0,,2050,3,128,1=1=1,107,1,60,3000|4000,200
108,3,90级武器库,1=710017334=0,,2050,3,64,1=1=1,108,1,60,3000|4000,500
111,4,100级武器库,0=14=12,,2011,1,50,5=7=500|7=8=400|8=9=100,111,2,30,2000|5000|6000|3201,
112,4,100级武器库,0=16=12,,2012,1,50,5=7=500|7=8=400|8=9=100,112,2,30,3000|4000,
113,4,100级武器库,0=18=12,,2013,1,30,5=7=500|7=8=400|8=9=100,113,2,30,2000|5000|6000|7000|3201,
114,4,100级武器库,0=20=12,,2014,1,40,5=7=500|7=8=400|8=9=100,114,2,30,3000|4000|7000,
115,4,100级武器库,0=27=70,,2002,1,50,20=38=500|38=48=400|48=55=100,115,3,30,2000|5000|6000|7000|3201,
116,4,100级武器库,0=36=70,,2001,1,50,20=38=500|38=48=400|48=55=100,116,3,30,3000|4000,
117,4,100级武器库,0=28=700,,2000,1,35,200=340=500|340=440=400|440=520=80,117,3,30,2000|5000|6000|7000|3201,
118,4,100级武器库,0=37=700,,2112,1,35,200=340=500|340=440=400|440=520=80,118,3,30,3000|4000,
119,4,100级武器库,0=71=700,,2113,1,25,200=340=500|340=440=400|440=520=80,119,3,30,2000|5000|6000|7000|3201,
120,4,100级武器库,0=14=12,,2011,2,50,9=10=100|10=11=60|11=12=15|12=13=5,120,2,60,2000|5000|6000|3201,
121,4,100级武器库,0=16=12,,2012,2,50,9=10=100|10=11=60|11=12=15|12=13=5,121,2,60,3000|4000,
122,4,100级武器库,0=18=12,,2013,2,30,9=10=100|10=11=60|11=12=15|12=13=5,122,2,60,2000|5000|6000|7000|3201,
123,4,100级武器库,0=20=12,,2014,2,40,9=10=100|10=11=60|11=12=15|12=13=5,123,2,60,3000|4000|7000,
124,4,100级武器库,0=27=70,,2002,2,50,55=65=100|65=71=20,124,3,60,2000|5000|6000|7000|3201,
125,4,100级武器库,0=36=70,,2001,2,50,55=65=100|65=71=20,125,3,60,3000|4000,
126,4,100级武器库,0=28=700,,2000,2,35,520=610=100|610=701=15,126,3,60,2000|5000|6000|7000|3201,
127,4,100级武器库,0=37=700,,2112,2,35,520=610=100|610=701=15,127,3,60,3000|4000,
128,4,100级武器库,0=71=700,,2113,2,25,520=610=100|610=701=15,128,3,60,2000|5000|6000|7000|3201,
129,4,100级武器库,1=710014102=0,,2024,3,160,1=1=1,129,1,60,2000|5000|6000|3201,
130,4,100级武器库,1=710014203=0,,2024,3,85,1=1=1,130,1,60,2000|5000|6000|3201,100
131,4,100级武器库,1=710014304=0,,2024,3,35,1=1=1,131,1,60,2000|5000|6000|3201,200
132,4,100级武器库,1=710014405=0,,2024,3,15,1=1=1,132,1,60,2000|5000|6000|3201,500
133,4,100级武器库,1=710014506=0,,2024,3,5,1=1=1,133,1,60,2000|5000|6000|3201,850
134,4,100级武器库,1=710015112=0,,2031,3,160,1=1=1,134,1,60,3000|4000,
135,4,100级武器库,1=710015213=0,,2031,3,85,1=1=1,135,1,60,3000|4000,100
136,4,100级武器库,1=710015314=0,,2031,3,35,1=1=1,136,1,60,3000|4000,200
137,4,100级武器库,1=710015415=0,,2031,3,15,1=1=1,137,1,60,3000|4000,500
138,4,100级武器库,1=710015516=0,,2031,3,5,1=1=1,138,1,60,3000|4000,850
139,4,100级武器库,1=710016122=0,,2038,3,160,1=1=1,139,1,60,7000,
140,4,100级武器库,1=710016223=0,,2038,3,85,1=1=1,140,1,60,7000,100
141,4,100级武器库,1=710016324=0,,2038,3,35,1=1=1,141,1,60,7000,200
142,4,100级武器库,1=710016425=0,,2038,3,15,1=1=1,142,1,60,7000,500
143,4,100级武器库,1=710016526=0,,2038,3,5,1=1=1,143,1,60,7000,850
144,4,100级武器库,1=710023192=0,,2045,3,160,1=1=1,144,1,60,2000|5000|6000|7000|3201,
145,4,100级武器库,1=710023293=0,,2045,3,85,1=1=1,145,1,60,2000|5000|6000|7000|3201,100
146,4,100级武器库,1=710023394=0,,2045,3,35,1=1=1,146,1,60,2000|5000|6000|7000|3201,200
147,4,100级武器库,1=710023495=0,,2045,3,15,1=1=1,147,1,60,2000|5000|6000|7000|3201,500
148,4,100级武器库,1=710023596=0,,2045,3,5,1=1=1,148,1,60,2000|5000|6000|7000|3201,850
149,4,100级武器库,1=710017132=0,,2052,3,160,1=1=1,149,1,60,3000|4000,
150,4,100级武器库,1=710017233=0,,2052,3,85,1=1=1,150,1,60,3000|4000,100
151,4,100级武器库,1=710017334=0,,2052,3,35,1=1=1,151,1,60,3000|4000,200
152,4,100级武器库,1=710017435=0,,2052,3,15,1=1=1,152,1,60,3000|4000,500
153,4,100级武器库,1=710017536=0,,2052,3,5,1=1=1,153,1,60,3000|4000,850
156,5,70级饰品库,0=18=6,,2013,1,50,1=2=500|2=3=400|3=4=100,156,2,60,2000|5000|6000|7000|3201,
157,5,70级饰品库,0=20=6,,2014,1,50,1=2=500|2=3=400|3=4=100,157,2,60,3000|4000|7000,
158,5,70级饰品库,0=27=40,,2002,1,50,1=14=500|14=22=400|22=28=100,158,3,60,2000|5000|6000|7000|3201,
159,5,70级饰品库,0=36=40,,2001,1,50,1=14=500|14=22=400|22=28=100,159,3,60,3000|4000,
160,5,70级饰品库,0=28=400,,2000,1,50,4=140=500|140=220=400|220=280=100,160,3,60,2000|5000|6000|7000|3201,
161,5,70级饰品库,0=37=400,,2112,1,50,4=140=500|140=220=400|220=280=100,161,3,60,3000|4000,
162,5,70级饰品库,0=55=5,,2003,1,50,1=2=500|2=3=400|3=4=100,162,3,60,,
163,5,70级饰品库,0=51=9,,2004,1,50,1=2=500|2=4=400|4=6=100,163,3,60,,
164,5,70级饰品库,0=18=6,,2013,2,50,4=5=100|5=7=20,164,2,60,2000|5000|6000|7000|3201,
165,5,70级饰品库,0=20=6,,2014,2,50,4=5=100|5=7=20,165,2,60,3000|4000|7000,
166,5,70级饰品库,0=27=40,,2002,2,50,28=32=100|32=41=20,166,3,60,2000|5000|6000|7000|3201,
167,5,70级饰品库,0=36=40,,2001,2,50,28=32=100|32=41=20,167,3,60,3000|4000,
168,5,70级饰品库,0=28=400,,2000,2,50,280=320=100|320=401=20,168,3,60,2000|5000|6000|7000|3201,
169,5,70级饰品库,0=37=400,,2112,2,50,280=320=100|320=401=20,169,3,60,3000|4000,
170,5,70级饰品库,0=55=5,,2003,2,50,4=5=100|5=6=20,170,3,60,,
171,5,70级饰品库,0=51=9,,2004,2,50,6=8=100|8=10=20,171,3,60,,
172,5,70级饰品库,1=710014001=0,,2021,3,512,1=1=1,172,1,60,2000|5000|6000|3201,
173,5,70级饰品库,1=710014102=0,,2021,3,256,1=1=1,173,1,60,2000|5000|6000|3201,
174,5,70级饰品库,1=710014203=0,,2021,3,128,1=1=1,174,1,60,2000|5000|6000|3201,
175,5,70级饰品库,1=710015011=0,,2028,3,512,1=1=1,175,1,60,3000|4000,
176,5,70级饰品库,1=710015112=0,,2028,3,256,1=1=1,176,1,60,3000|4000,
177,5,70级饰品库,1=710015213=0,,2028,3,128,1=1=1,177,1,60,3000|4000,
178,5,70级饰品库,1=710016021=0,,2035,3,512,1=1=1,178,1,60,7000,
179,5,70级饰品库,1=710016122=0,,2035,3,256,1=1=1,179,1,60,7000,
180,5,70级饰品库,1=710016223=0,,2035,3,128,1=1=1,180,1,60,7000,
181,5,70级饰品库,1=710023091=0,,2042,3,512,1=1=1,181,1,60,2000|5000|6000|7000|3201,
182,5,70级饰品库,1=710023192=0,,2042,3,256,1=1=1,182,1,60,2000|5000|6000|7000|3201,
183,5,70级饰品库,1=710023293=0,,2042,3,128,1=1=1,183,1,60,2000|5000|6000|7000|3201,
184,5,70级饰品库,1=710017031=0,,2049,3,512,1=1=1,184,1,60,3000|4000,
185,5,70级饰品库,1=710017132=0,,2049,3,256,1=1=1,185,1,60,3000|4000,
186,5,70级饰品库,1=710017233=0,,2049,3,128,1=1=1,186,1,60,3000|4000,
187,6,80级饰品库,0=18=8,,2013,1,50,3=4=500|4=5=400|5=6=100,187,2,60,2000|5000|6000|7000|3201,
188,6,80级饰品库,0=20=8,,2014,1,50,3=4=500|4=5=400|5=6=100,188,2,60,3000|4000|7000,
189,6,80级饰品库,0=27=50,,2002,1,50,10=24=500|24=32=400|32=38=100,189,3,60,2000|5000|6000|7000|3201,
190,6,80级饰品库,0=36=50,,2001,1,50,10=24=500|24=32=400|32=38=100,190,3,60,3000|4000,
191,6,80级饰品库,0=28=500,,2000,1,50,100=240=500|240=320=400|320=380=100,191,3,60,2000|5000|6000|7000|3201,
192,6,80级饰品库,0=37=500,,2112,1,50,100=240=500|240=320=400|320=380=100,192,3,60,3000|4000,
193,6,80级饰品库,0=55=6,,2003,1,50,1=2=500|2=3=400|3=5=100,193,3,60,,
194,6,80级饰品库,0=51=10,,2004,1,50,2=3=500|3=5=400|5=7=100,194,3,60,,
195,6,80级饰品库,0=18=8,,2013,2,50,6=7=100|7=9=20,195,2,60,2000|5000|6000|7000|3201,
196,6,80级饰品库,0=20=8,,2014,2,50,6=7=100|7=9=20,196,2,60,3000|4000|7000,
197,6,80级饰品库,0=27=50,,2002,2,50,38=42=100|42=46=20,197,3,60,2000|5000|6000|7000|3201,
198,6,80级饰品库,0=36=50,,2001,2,50,38=42=100|42=46=20,198,3,60,3000|4000,
199,6,80级饰品库,0=28=500,,2000,2,50,380=420=100|420=451=20,199,3,60,2000|5000|6000|7000|3201,
200,6,80级饰品库,0=37=500,,2112,2,50,380=420=100|420=451=20,200,3,60,3000|4000,
201,6,80级饰品库,0=55=6,,2003,2,50,5=6=100|6=7=20,201,3,60,,
202,6,80级饰品库,0=51=10,,2004,2,50,7=9=100|9=11=20,202,3,60,,
203,6,80级饰品库,1=710014001=0,,2021,3,512,1=1=1,203,1,60,2000|5000|6000|3201,
204,6,80级饰品库,1=710014102=0,,2021,3,256,1=1=1,204,1,60,2000|5000|6000|3201,
205,6,80级饰品库,1=710014203=0,,2021,3,128,1=1=1,205,1,60,2000|5000|6000|3201,
206,6,80级饰品库,1=710015011=0,,2028,3,512,1=1=1,206,1,60,3000|4000,
207,6,80级饰品库,1=710015112=0,,2028,3,256,1=1=1,207,1,60,3000|4000,
208,6,80级饰品库,1=710015213=0,,2028,3,128,1=1=1,208,1,60,3000|4000,
209,6,80级饰品库,1=710016021=0,,2035,3,512,1=1=1,209,1,60,7000,
210,6,80级饰品库,1=710016122=0,,2035,3,256,1=1=1,210,1,60,7000,
211,6,80级饰品库,1=710016223=0,,2035,3,128,1=1=1,211,1,60,7000,
212,6,80级饰品库,1=710023091=0,,2042,3,512,1=1=1,212,1,60,2000|5000|6000|7000|3201,
213,6,80级饰品库,1=710023192=0,,2042,3,256,1=1=1,213,1,60,2000|5000|6000|7000|3201,
214,6,80级饰品库,1=710023293=0,,2042,3,128,1=1=1,214,1,60,2000|5000|6000|7000|3201,
215,6,80级饰品库,1=710017031=0,,2049,3,512,1=1=1,215,1,60,3000|4000,
216,6,80级饰品库,1=710017132=0,,2049,3,256,1=1=1,216,1,60,3000|4000,
217,6,80级饰品库,1=710017233=0,,2049,3,128,1=1=1,217,1,60,3000|4000,
218,7,90级饰品库,0=18=10,,2013,1,50,5=6=500|6=7=400|7=8=100,218,2,60,2000|5000|6000|7000|3201,
219,7,90级饰品库,0=20=10,,2014,1,50,5=6=500|6=7=400|7=8=100,219,2,60,3000|4000|7000,
220,7,90级饰品库,0=27=55,,2002,1,50,15=29=500|29=37=400|37=43=100,220,3,60,2000|5000|6000|7000|3201,
221,7,90级饰品库,0=36=55,,2001,1,50,15=29=500|29=37=400|37=43=100,221,3,60,3000|4000,
222,7,90级饰品库,0=28=600,,2000,1,50,200=340=500|340=420=400|420=480=100,222,3,60,2000|5000|6000|7000|3201,
223,7,90级饰品库,0=37=600,,2112,1,50,200=340=500|340=420=400|420=480=100,223,3,60,3000|4000,
224,7,90级饰品库,0=55=7,,2003,1,50,2=3=500|3=4=400|4=6=100,224,3,60,,
225,7,90级饰品库,0=51=12,,2004,1,50,4=5=500|5=6=400|6=9=100,225,3,60,,
226,7,90级饰品库,0=18=10,,2013,2,50,8=9=100|9=11=20,226,2,60,2000|5000|6000|7000|3201,
227,7,90级饰品库,0=20=10,,2014,2,50,8=9=100|9=11=20,227,2,60,3000|4000|7000,
228,7,90级饰品库,0=27=55,,2002,2,50,43=47=100|47=56=20,228,3,60,2000|5000|6000|7000|3201,
229,7,90级饰品库,0=36=55,,2001,2,50,43=47=100|47=56=20,229,3,60,3000|4000,
230,7,90级饰品库,0=28=600,,2000,2,50,480=520=100|520=601=20,230,3,60,2000|5000|6000|7000|3201,
231,7,90级饰品库,0=37=600,,2112,2,50,480=520=100|520=601=20,231,3,60,3000|4000,
232,7,90级饰品库,0=55=7,,2003,2,50,6=7=100|7=8=20,232,3,60,,
233,7,90级饰品库,0=51=12,,2004,2,50,9=11=100|11=13=20,233,3,60,,
234,7,90级饰品库,1=710014001=0,,2022,3,512,1=1=1,234,1,60,2000|5000|6000|3201,
235,7,90级饰品库,1=710014102=0,,2022,3,256,1=1=1,235,1,60,2000|5000|6000|3201,100
236,7,90级饰品库,1=710014203=0,,2022,3,128,1=1=1,236,1,60,2000|5000|6000|3201,200
237,7,90级饰品库,1=710014304=0,,2022,3,64,1=1=1,237,1,60,2000|5000|6000|3201,500
238,7,90级饰品库,1=710015011=0,,2029,3,512,1=1=1,238,1,60,3000|4000,
239,7,90级饰品库,1=710015112=0,,2029,3,256,1=1=1,239,1,60,3000|4000,100
240,7,90级饰品库,1=710015213=0,,2029,3,128,1=1=1,240,1,60,3000|4000,200
241,7,90级饰品库,1=710015314=0,,2029,3,64,1=1=1,241,1,60,3000|4000,500
242,7,90级饰品库,1=710016021=0,,2036,3,512,1=1=1,242,1,60,7000,
243,7,90级饰品库,1=710016122=0,,2036,3,256,1=1=1,243,1,60,7000,100
244,7,90级饰品库,1=710016223=0,,2036,3,128,1=1=1,244,1,60,7000,200
245,7,90级饰品库,1=710016324=0,,2036,3,64,1=1=1,245,1,60,7000,500
246,7,90级饰品库,1=710023091=0,,2043,3,512,1=1=1,246,1,60,2000|5000|6000|7000|3201,
247,7,90级饰品库,1=710023192=0,,2043,3,256,1=1=1,247,1,60,2000|5000|6000|7000|3201,100
248,7,90级饰品库,1=710023293=0,,2043,3,128,1=1=1,248,1,60,2000|5000|6000|7000|3201,200
249,7,90级饰品库,1=710023394=0,,2043,3,64,1=1=1,249,1,60,2000|5000|6000|7000|3201,500
250,7,90级饰品库,1=710017031=0,,2050,3,512,1=1=1,250,1,60,3000|4000,
251,7,90级饰品库,1=710017132=0,,2050,3,256,1=1=1,251,1,60,3000|4000,100
252,7,90级饰品库,1=710017233=0,,2050,3,128,1=1=1,252,1,60,3000|4000,200
253,7,90级饰品库,1=710017334=0,,2050,3,64,1=1=1,253,1,60,3000|4000,500
254,8,100级饰品库,0=18=12,,2013,1,30,5=7=500|7=8=400|8=9=100,254,2,60,2000|5000|6000|7000|3201,
255,8,100级饰品库,0=20=12,,2014,1,40,5=7=500|7=8=400|8=9=100,255,2,60,3000|4000|7000,
256,8,100级饰品库,0=27=70,,2002,1,50,20=38=500|38=48=400|48=55=100,256,3,60,2000|5000|6000|7000|3201,
257,8,100级饰品库,0=36=70,,2001,1,50,20=38=500|38=48=400|48=55=100,257,3,60,3000|4000,
258,8,100级饰品库,0=28=700,,2000,1,35,200=340=500|340=440=400|440=520=80,258,3,60,2000|5000|6000|7000|3201,
259,8,100级饰品库,0=37=700,,2112,1,35,200=340=500|340=440=400|440=520=80,259,3,60,3000|4000,
260,8,100级饰品库,0=55=8,,2003,1,50,2=4=500|4=5=400|5=7=100,260,3,60,,
261,8,100级饰品库,0=51=14,,2004,1,50,4=6=500|6=8=400|8=11=100,261,3,60,,
262,8,100级饰品库,0=18=12,,2013,2,30,9=10=100|10=11=60|11=12=15|12=13=5,262,2,60,2000|5000|6000|7000|3201,
263,8,100级饰品库,0=20=12,,2014,2,40,9=10=100|10=11=60|11=12=15|12=13=5,263,2,60,3000|4000|7000,
264,8,100级饰品库,0=27=70,,2002,2,50,55=65=100|65=71=20,264,3,60,2000|5000|6000|7000|3201,
265,8,100级饰品库,0=36=70,,2001,2,50,55=65=100|65=71=20,265,3,60,3000|4000,
