ID,AwardId,ItemIds
285,1102850,201|202
286,1102860,201|202|2035002|101
287,1102870,201|202|2035002|101
288,1102880,201|202
289,1102890,201|202
290,1102900,201|202
291,1102910,201|202
292,1102920,201|202
293,1102930,201|202
294,1102940,201|202
295,1102950,
296,1102960,
297,1102970,2090011
298,1102980,1070016
299,1102990,1070031
300,1103000,1070051
301,1200010,201|202
302,1200020,201|202
303,1200030,201|202
304,1200040,201|202
305,1200050,201|202
306,1200060,201|202|101|3054001
307,1200070,201|202
308,1200080,201|202
309,1200090,201|202
310,1200100,201|202
311,1200110,201|202|3023001
312,1200120,201|202|101|3054001|3060425
313,1200130,201|202
314,1200140,201|202
315,1200150,201|202
316,1200160,201|202
317,1200170,201|202
318,1200180,201|202|101|3054001
319,1200190,201|202
320,1200200,201|202
321,1200210,201|202
322,1200220,201|202
323,1200230,201|202
324,1200240,201|202
325,1200250,201|202|101|2035002|2090022
326,1200260,201|202
327,1200270,201|202
328,1200280,201|202
329,1200290,201|202
330,1200300,201|202
331,1200310,201|202
332,1200320,201|202
333,1200330,201|202|101|2035002|2090022
334,1200340,201|202
335,1200350,
336,1200360,201|202
337,1200370,201|202
338,1200380,201|202
339,1200390,201|202
340,1200400,201|202
341,1200410,201|202
342,1200420,201|202
343,1200430,201|202
344,1200440,
345,1200450,201|202
346,1200460,201|202|101|2035002|2090023
347,1200470,201|202
348,1200480,201|202
349,1200490,201|202
350,1200500,201|202
351,1200510,
352,1200520,201|202
353,1200530,201|202
354,1200540,201|202
355,1200550,201|202
356,1200560,201|202
357,1200570,201|202
358,1200580,201|202
359,1200590,201|202|101|2035002|2090023
360,1200600,201|202
361,1200610,201|202
362,1200620,201|202
363,1200630,201|202
364,1200640,201|202
365,1200650,201|202|101|2035002|2090023
366,1200660,201|202
367,1200670,201|202
368,1200680,201|202
369,1200690,201|202
370,1200700,201|202|101|2035002|2090023
371,1200710,201|202
372,1200720,201|202
373,1200730,201|202
374,1200740,201|202
375,1200750,201|202
376,1200760,201|202
377,1200770,
378,1200780,201|202|101|2035002|2090023
379,1200790,201|202|101|2035002|2090023
380,1200800,201|202
381,1200810,201|202
382,1200820,201|202
383,1200830,201|202
384,1200840,201|202
385,1200850,201|202
386,1200860,201|202
387,1200870,201|202|101|2035002|2090024
388,1200880,201|202
389,1200890,201|202
390,1200900,201|202
391,1200910,201|202
392,1200920,201|202
393,1200930,201|202
394,1200940,201|202|101|2035002|2090024
395,1200950,201|202
396,1200960,201|202
397,1200970,201|202
398,1200980,201|202
399,1200990,201|202
400,1201000,201|202
401,1201010,201|202|101|2035002|2090024
402,1201020,201|202
403,1201030,201|202
404,1201040,201|202
405,1201050,201|202
406,1201060,201|202
407,1201070,201|202
408,1201080,201|202
409,1201090,201|202|101|2035002|2090024
410,1201100,201|202
411,1201110,201|202
412,1201120,201|202
413,1201130,201|202
414,1201140,201|202
415,1201150,201|202
416,1201160,201|202|101|2035002|2090024
417,1201170,201|202
418,1201180,201|202
419,1201190,201|202
420,1201200,201|202
421,1201210,201|202
422,1201220,201|202
423,1201230,201|202
424,1201240,201|202
425,1201250,201|202|101|2035002|2090024
426,1201260,201|202
427,1201270,201|202
428,1201280,201|202
429,1201290,201|202
430,1201300,201|202
431,1201310,201|202
432,1201320,201|202|101|2035002|2090024
433,1201330,201|202
434,1201340,201|202
435,1201350,201|202
436,1201360,201|202
437,1201370,201|202
438,1201380,201|202
439,1201390,201|202|101|2035002|2090024
440,1201400,201|202
441,1201410,201|202
442,1201420,201|202
443,1201430,201|202
444,1201440,201|202
445,1201450,201|202
446,1201460,201|202
447,1201470,201|202
448,1201480,201|202|101|2035002|2090024
449,1201490,201|202
450,1201500,201|202
451,1201510,201|202
452,1201520,201|202
453,1201530,201|202
454,1201540,201|202
455,1201550,201|202
456,1201560,201|202|101|2035002|2090024
457,1201570,201|202
458,1201580,201|202
459,1201590,201|202
460,1201600,201|202
461,1201610,201|202
462,1201620,201|202
463,1201630,201|202
464,1201640,201|202|101|2035002|2090024
465,1201650,201|202
466,1201660,201|202
467,1201670,201|202
468,1201680,201|202
469,1201690,201|202
470,1201700,201|202
471,1201710,201|202
472,1201720,201|202
473,1201730,201|202|101|2035002|2090024
474,1201740,201|202
475,1201750,201|202
476,1201760,201|202
477,1201770,201|202
478,1201780,201|202
479,1201790,201|202
480,1201800,201|202
481,1201810,201|202
482,1201820,201|202|101|2035002|2090024
483,1201830,201|202
484,1201840,201|202
485,1201850,201|202
486,1201860,201|202
487,1201870,201|202
488,1201880,201|202
489,1201890,201|202|101|2035002|2090024
490,1201900,201|202
491,1201910,201|202
492,1201920,201|202
493,1201930,201|202
494,1201940,201|202
495,1201950,201|202|2090019
496,1201960,201|202
497,1201970,201|202
498,1201980,201|202
499,1201990,201|202
500,1202000,201|202
501,1202010,201|202|2090019
502,1202020,201|202
503,1202030,201|202
504,1202040,201|202
505,1202050,201|202
506,1202060,201|202
507,1202070,201|202
508,1202080,201|202|2090019
509,1202090,
510,1202100,
511,1202110,
512,1202120,
513,1202130,
514,1202140,
515,1202150,
516,1202160,
517,1202170,
518,1202180,
519,1202190,
520,1202200,
521,1202210,
522,1202220,
523,1202230,
524,1202240,
525,1202250,
526,1202260,
527,1202270,
528,1202280,
529,1202290,
530,1202300,4010008
531,1300010,201|202
532,1300020,201|202
533,1300030,201|202|2034003|101
534,1300040,201|202
535,1300050,201|202
536,1300060,201|202|2034003|101
537,1300070,201|202
538,1300080,201|202
539,1300090,201|202|2034003|101
540,1300100,201|202
541,1300110,201|202
542,1300120,201|202|2034003|101
543,1300130,201|202
544,1300140,201|202
545,1300150,201|202|2034003|101
546,1300160,201|202
547,1300170,201|202|2034003|101
548,1300180,201|202
549,1300190,201|202
550,1300200,201|202|2034003|101
551,1300210,201|202
552,1300220,201|202
553,1300230,201|202|2034003|101
554,1300240,201|202
555,1300250,201|202
556,1300260,201|202|2034003|101
557,1300270,201|202
558,1300280,201|202
559,1300290,201|202
560,1300300,201|202|2034003|101
561,1300310,201|202
562,1300320,201|202
563,1300330,201|202|2034003|101
564,1300340,201|202
565,1300350,201|202
566,1300360,201|202|2034003|101
567,1300370,201|202
568,1300380,201|202|2034003|101
569,1300390,201|202
570,1300400,201|202|2034003|101
571,1300410,201|202
572,1300420,201|202
573,1300430,201|202
574,1300440,201|202|2034003|101
575,1300450,201|202
576,1300460,201|202
577,1300470,201|202|2034003|101
578,1300480,201|202
579,1300490,201|202
580,1300500,201|202|2034003|101
581,1300510,201|202
582,1300520,201|202
583,1300530,201|202|2034003|101
584,1300540,201|202
585,1300550,201|202|2034003|101
586,1300560,201|202
587,1300570,201|202
588,1300580,201|202|2034003|101
589,1300590,201|202
590,1300600,201|202
591,1300610,201|202
592,1300620,201|202|2034003|101
593,1300630,201|202
594,1300640,201|202
595,1300650,201|202|2034003|101
596,1300660,201|202
597,1300670,201|202
598,1300680,201|202|2034003|101
599,1300690,201|202
600,1300700,201|202|2034003|101
601,1300710,201|202
602,1300720,201|202
603,1300730,201|202|2034003|101
604,1300740,201|202
605,1300750,201|202
606,1300760,201|202
607,1300770,201|202|2034003|101
608,1300780,201|202
609,1300790,201|202
610,1300800,201|202
611,1300810,201|202|2034003|101
612,1300820,201|202
613,1300830,201|202
614,1300840,201|202|2034003|101
615,1300850,201|202
616,1300860,201|202
617,1300870,201|202|2034003|101
618,1300880,201|202
619,1300890,201|202
620,1300900,201|202
621,1300910,201|202|2034003|101
622,1300920,201|202
623,1300930,201|202
624,1300940,201|202
625,1300950,201|202
626,1300960,201|202|2034003|101
627,1300970,201|202
628,1300980,201|202
629,1300990,201|202|2034003|101
630,1301000,201|202
631,1301010,201|202
632,1301020,201|202
633,1301030,201|202|2034003|101
634,1301040,
635,1301050,
636,1301060,
637,1301070,
638,1301080,
639,1301090,
640,1301100,
641,1301110,
642,1301120,
643,1301130,
644,1301140,
645,1301150,
646,1301160,
647,1301170,
648,1301180,
649,1301190,
650,1301200,
651,1301210,
652,1301220,
653,1301230,
654,1301240,
655,1301250,
656,1301260,
657,1301270,
658,1400010,
659,1400020,
660,1400030,3027001|3027002
661,1400040,
662,1400050,
663,1400060,3027001|3027002
664,1400070,
665,1400080,
666,1400090,3027001|3027002
667,1400100,3027001|3027002
668,1400110,3027001
669,1400120,
670,1400130,
671,1400140,3027001|3027002
672,1400150,
673,1400160,
674,1400170,3027001|3027002
675,1400180,
676,1400190,
677,1400200,3027001|3027002
678,1400210,3027002
679,1400220,3027002
680,1400230,3027002
681,1400240,3027002
682,1400250,3027002
683,1400260,3027002
684,1400270,
685,1400280,
686,1400290,
687,1400300,
688,1400310,
689,1500010,
690,1500020,201|202
691,1500030,201|202
692,1500040,201|202
693,1500050,201|202|2034001|101
694,1500060,201|202
695,1500070,201|202
696,1500080,201|202
697,1500090,201|202
698,1500100,201|202|2034001|101
699,1500110,201|202
700,1500120,201|202
701,1500130,201|202|2034001|101
702,1500140,201|202
703,1500150,201|202
704,1500160,201|202|2034001|101
705,1500170,201|202
706,1500180,201|202
707,1500190,201|202|2034001|101
708,1500200,201|202
709,1500210,201|202
710,1500220,201|202
711,1500230,201|202|2034001|101
712,1500240,201|202
713,1500250,201|202
714,1500260,201|202
715,1500270,201|202|2034001|101
716,1500280,201|202
717,1500290,201|202
718,1500300,201|202
719,1500310,201|202|2034001|101
720,1500320,201|202
721,1500330,201|202
722,1500340,201|202|2034001|101
723,1500350,201|202
724,1500360,201|202
725,1500370,201|202
726,1500380,201|202
727,1500390,201|202|2034001|101
728,1500400,201|202
729,1500410,201|202
730,1500420,201|202|2034001|101
731,1500430,201|202
732,1500440,201|202
733,1500450,201|202
734,1500460,201|202|2034001|101
735,1500470,201|202
736,1500480,201|202
737,1500490,201|202|2034001|101
738,1500500,201|202
739,1500510,201|202
740,1500520,201|202
741,1500530,201|202|2034001|101
742,1500540,201|202
743,1500550,201|202
744,1500560,201|202
745,1500570,201|202|2034001|101
746,1600010,201|202|2034003|2034001|101
747,1600020,201|202|2034003|2034001|101
748,1600030,201|202|2034003|2034001|101
749,1600040,
750,1600050,
751,1600060,
752,1600070,
753,1600080,
754,1600090,
755,1600100,
756,1600110,
757,1600120,
758,1600130,
759,1600140,
760,1600150,
761,1600160,
762,1600170,
763,1600180,
764,1600190,
765,1600200,
766,1600210,
767,1600220,201|202|2034003|2034001|101
768,1600230,201|202|2034003|2034001|101
769,1600240,
770,1600250,
771,1600260,
772,1600270,201|202|2034001|101|3060425
773,1600280,
774,1600290,
775,1600300,
776,1600310,
777,1600320,201|202|2034001|101|3060425
778,1600330,
779,1600340,
780,1600350,
781,1600360,201|202|2034001|101|3060425
782,1600370,201|202|501
783,2100010,
784,2100020,
785,2100030,2060009|2060010|3020003|3020004|2034003|1270007|3021001|3020001|3020002|3023001|2090020|2090019|2034001|2033002|101|401
786,2100040,401|101
787,2100050,
788,2100060,
789,2100070,
790,2100080,
791,2100090,1270010|3023002|1270007|1270008|1270009|2034002|2034001|2034003
792,2100100,1270001|1270002|2034001|3020001|3020002|1270010|101
793,2100110,4010001|4010002|4010043|4010050|4010059|4020008|4030001|4030004|4030005|4030008|4050001|4050006|4060006|4070001|4010003|4010034|4020001|4020005|4020006|4020009|4020013|4020015|4030009|4030017|4060002|4060004|4060009|4060010|4060011|4060012|4060013|4060014|4060022|4070003|4070004|4070010|4030002|4030003|4030010|4030018|4040005|4050003|4050005|4050007|4060003|4060007|4010005|4010012|4010014|4010036|4010039|4010042|4010044|4010048|4010049|4010051|4030014|4040002|4040011|4040012|4040013|4040018|4040019|4040020|4040022|4050008|4050012|4060001|4010009|4010019|4010045|4020007|4020011|4020012|4020014|4020016|4030011|4040001|4040007|4040009|4040015|4040023|4050002|4050004|4060008|4060015|4060017|4060018|4060020|4060024|4060026|4070011|4070014|4040016|4060027|4060028|4010004|4010006|4010007|4010013|4010015|4010033|4010035|4010038|4010047|4010055
794,2100120,4010005|4010012|4010014|4010036|4010039|4010042|4010044|4010048|4010049|4010051|4030014|4040002|4040011|4040012|4040013|4040018|4040019|4040020|4040022|4050008|4050012|4060001|4010009|4010019|4010045|4020007|4020011|4020012|4020014|4020016|4030011|4040001|4040007|4040009|4040015|4040023|4050002|4050004|4060008|4060015|4060017|4060018|4060020|4060024|4060026|4070011|4070014|4040016|4060027|4060028|4010004|4010006|4010007|4010013|4010015|4010033|4010035|4010038|4010047|4010055|4010010|4010025|4010026|4010027|4010028|4010029|4010030|4010031|4010032|4010040|4010046|4010052|4010056|4020003|4020010|4030012|4030013|4030015|4030016|4030020|4030021|4040017|4040021|4060016|4060021|4060023|4060025|4070002|4070005|4070008|4070013
795,2100130,
796,2100140,
797,2100150,
798,2100160,
799,2100170,
800,2100190,1010013|1010014
801,2100200,1010011|1010012
802,2100210,1010007|1010008
803,2100220,101
804,2100230,501|101|1270007|1270006|1270012|2090025|1270008|3023002|3090008|2090020|3090003|3090001|3090005|3090002
805,2100240,501|101|3020003|3020004|1270002|2090019|1270001|3023001|3090008|2090020|3090003|3090001|3090005|3090002
806,2100250,
807,2100260,
808,2100270,
809,2100280,
810,2100290,
811,2100300,
812,2100310,
813,2100320,
814,2100330,1070016|1070031|1070051
815,2100340,
816,2100350,
817,2100360,
818,2100370,
819,2100380,
820,2100390,
821,2100400,
822,2100410,
823,2100420,103
824,2100430,103
825,2100440,103
826,2100450,103
827,2100460,103
828,2100470,103
829,2100480,
830,2100490,
831,2100500,
832,2100510,
833,2100520,
834,2100530,
835,2100540,
836,2100550,
837,2100560,
838,2100570,
839,2100580,
840,2100590,
841,2100600,
842,2100610,
843,2100620,
844,2100630,
845,2100640,
846,2100650,
847,2100660,
848,2100670,
849,2100680,
850,2100690,
851,2100700,
852,2100710,
853,2100720,102
854,2100730,101
855,2100740,101
856,2100750,3054001|3054101|3054201|3054301|3054401|3054501|3054601
857,2100760,3054002|3054102|3054202|3054302|3054402|3054502|3054602
858,2100770,3054003|3054103|3054203|3054303|3054403|3054503|3054603
859,2100780,102
860,2100790,3020003|3020004
861,2100800,1070016|1070031|1070051|1070002|1070034|1070035|1070036|1070040|1070061|1070037|1070007|1070013|1070015|1070017|1070018|1070014|1070020|1070024|1070026|1070043|1070044|1070045|1070046|1080019|1070053|1070055|1070056|1070058|1070059|1070060|1070065|1070066|1070144|1072001|1070003|1070005|1070011|1070012|1070030|1070032|1070038|1070039|1070041|1070052|1070054|1070057|1070062|1070063|1070064|1070068|1070070|1070142|1070143|1070145|1070146|1070147|1070149|1070151|1070153|1070154|1070155|1070156|1070001|1070006|1070008|1070009|1070019|1070021|1070022|1070023|1070025|1070027|1070028|1070029|1070033|1070042|1070049|1070067|1070072|1070148|1070150|1070152|1080010|1080014|1080015|1080016|1080018|1080001|1080003|1080005|1080013|1080002|1090001|1090003|1080004|1080017|1090002|1090004|1090005|1090006|1090009|1090007|1090013|1090008|1090010|1090011|1090012|1100001|1100002|1100003|1100004|1010001|1010002|1010009|1010010|1010007|1010008
862,2100810,1180008|1180009|1200003|1200005|1170032
863,2100820,3023003|3020011|3021003
864,2100830,1270009|1270012|3020010|3020008|3020009
865,2100840,1270008|1270010|2060109|2060011|101
866,2100850,3020007|1270006|1270007|2060009|2060010|101
867,2100860,101
868,2100870,302
869,2100880,1170036|1170039|1170038|1170006|1170037|1170041
870,2100890,
871,2100900,
872,2100910,
873,2100920,
874,2100930,
875,2100940,
876,2100950,1010005
877,2100960,1010006
878,2100970,
879,2100980,
880,2100990,
881,2101010,1010005|1010006
882,2101020,101
883,2101030,
884,2101040,1020004|1020008|1020009|1020013
885,2101050,
886,2101060,
887,2101070,
888,2101080,
889,2101330,401|3023001|1270002|1270001|2090019|2035002|3020001|3020002|3020007|1270006|1270007|2060009|2060010|2031004|2034003|2034001
890,2101340,3020007|1270006|1270007|2060009|2060010|3023002|2090025|3027004|1270008|1270010|2060109|2060011|2035002|1270009|1270012|3020010|3020008|3020009|2034002|2034001
891,2101350,3023001|1270002|1270001|2090019|2035002|3020001|3020002|3020007|1270006|1270007|2060009|2060010|2031004|2034003|2034001|401
892,2101360,1290004|1290013|1290014|1290015|1290016|1290017
893,2101370,1290018|1290007|1290009|1290010|1290003|1290011|1290012|1290008
894,2101380,1290001|1290002|1290005|1290006|1280007|1280008|1280004|1280011|1280009|1280003|1280006
895,2101390,1280012|1280001|1280002|1280010|1280005
896,3100010,601|2010005|2031003|2031002|3020005|3020003|2035002
897,3100020,602|2010005|2031003|2031002|3020005|3020003|2035002
898,3100030,603|2010005|2031003|2031002|3020005|3020003|2035002
899,3100040,604|2010005|2031003|2031002|3020005|3020003|2035002
900,3100050,605|2010005|2031003|2031002|3020005|3020003|2035002
901,3100060,606|2010005|2031003|2031002|3020005|3020003|2035002
902,3100070,607|2010005|2031003|2031002|3020005|3020003|2035002
903,3100080,608|2010005|2031003|2031002|3020005|3020003|2035002
904,3100090,609|2010005|2031003|2031002|3020005|3020003|2035002
905,3110010,601|2010005|2031003|2031002|3020005|3020003|2035002
906,3110020,602|2010005|2031003|2031002|3020005|3020003|2035002
907,3110030,603|2010005|2031003|2031002|3020005|3020003|2035002
908,3110040,604|2010005|2031003|2031002|3020005|3020003|2035002
909,3110050,605|2010005|2031003|2031002|3020005|3020003|2035002
910,3110060,606|2010005|2031003|2031002|3020005|3020003|2035002
911,3110070,607|2010005|2031003|2031002|3020005|3020003|2035002
912,3110080,608|2010005|2031003|2031002|3020005|3020003|2035002
913,3110090,609|2010005|2031003|2031002|3020005|3020003|2035002
914,3120010,3020006|3020005|2060011|2060109|1270010|1270008|3027004|3023002|3020007|1270006|1270007|2060009|2060010|3024004|3020003|3020004|2090019|3021001|3023001|1270002|1270001
915,3120020,
916,3120030,
917,3120040,101
918,3120050,2090021
919,3120060,2090003
920,3120070,2090021
921,3130010,1270009|1270012|2090003|3024005|3020006|3020005|2060011|2060109|1270010|1270008|3027004|3023002|3020007|1270006|1270007|2060009|2060010|3024004|3023001|3020003|3020004
922,3130020,606|2035002
923,3140010,601
924,3140020,602
925,3140030,603
926,3140040,604
927,3140050,605
928,3140060,606
929,3140070,607
930,3140080,608
931,3140090,609
932,3140100,2035002|101
933,3200010,2091017|3022001|2090019|1270002|2031004|101
934,3200020,2091018|3022002|2090019|1270001|2031004|101
935,3200030,2091019|3022003|2090019|1270002|2031004|101
936,3200040,2091019|3022003|2090019|3021001|2031004|101
937,3200050,2091020|3022012|2090019|3021001|2031004|101
938,3200060,2091020|3022020|2090019|3021001|2031004|101
939,3200070,2091021|3022013|2090019|3021001|2031004|101
940,3210010,2034007
941,3210020,10131903|10132003|10132103|10132203|10132303|10132403|2091017|2091001|2091009|10131904|10132004|10132104|10132204|10132304|10132404|2091018|2091002|2091010|10131905|10132005|10132105|10132205|10132305|10132405|10132505|10132605|10132705|10132805|10132905|10133005|10133105|10133205|2091019|2091003|2091011|10131906|10132006|10132106|10132206|10132306|10132406|10132506|10132606|10132706|10132806|10132906|10133006|10133106|10133206|2091020|2091004|2091012|10131907|10132007|10132107|10132207|10132307|10132407|10132507|10132607|10132707|10132807|10132907|10133007|10133107|10133207|2091021|2091005|2091013|10131908|10132008|10132108|10132208|10132308|10132408|10132508|10132608|10132708|10132808|10132908|10133008|10133108|10133208|2091022|2091006|2091014
942,3210030,3023001|1270002|1270001|2090019|3020007|1270006|1270007|2060009|2060010|1270008|1270010|2060109|2060011|3020003|3020004|3021001|3022001|3022002|3022011|3022019|3022003|3022012|3022020|3022013|3022021|3022014|3022022
943,3210040,2090021|2031004|2010009|2010012|2031002|2031003|2010014
944,3210050,
945,3210060,2034007
946,3210070,10131903|10132003|10132103|10132203|10132303|10132403|2091017|2091001|2091009|10131904|10132004|10132104|10132204|10132304|10132404|2091018|2091002|2091010|10131905|10132005|10132105|10132205|10132305|10132405|10132505|10132605|10132705|10132805|10132905|10133005|10133105|10133205|2091019|2091003|2091011|10131906|10132006|10132106|10132206|10132306|10132406|10132506|10132606|10132706|10132806|10132906|10133006|10133106|10133206|2091020|2091004|2091012|10131907|10132007|10132107|10132207|10132307|10132407|10132507|10132607|10132707|10132807|10132907|10133007|10133107|10133207|2091021|2091005|2091013|10131908|10132008|10132108|10132208|10132308|10132408|10132508|10132608|10132708|10132808|10132908|10133008|10133108|10133208|2091022|2091006|2091014|10131909|10132009|10132109|10132209|10132309|10132409|10132509|10132609|10132709|10132809|10132909|10133009|10133109|10133209|2091023|2091007|2091015
947,3210080,1270009|1270012|3020010|3020008|3020009|3020007|1270006|1270007|2060009|2060010|1270008|1270010|2060109|2060011|3020003|3020004|3021001|3022002|3022011|3022019|3022003|3022012|3022020|3022004|3022013|3022021|3022005|3022014|3022022
948,3210090,2090021|2031004|2010009|2010012|2031002|2031003|2010014
949,3210100,
950,3300010,3022002|3020001|3020002|2034001|1290013|1290014|1290015|1290016|1290017|1290018|1290007|1290008|1290009|1290010|1290011|1290012|2031004|2010008|101|2090021|2090020
951,3300020,3022002|3020001|3020002|2034001|1290013|1290014|1290015|1290016|1290017|1290018|1290007|1290008|1290009|1290010|1290011|1290012|2031004|2010008|101|2090021|2090020
952,3300030,3022002|2090003|1290013|1290014|1290015|1290016|1290017|1290018|1290007|1290008|1290009|1290010|1290011|1290012|2031004|2010008|101|2090021|2090020|2034001|3024022|3024023|3024024
953,3300040,3022002|3020001|3020002|2034001|1290013|1290014|1290015|1290016|1290017|1290018|1290007|1290008|1290009|1290010|1290011|1290012|2031004|2010008|101|2090021|2090020
