MajorId,PackId,SystemId,RedDotId,Name,GachaponType,Sort,TimeLimit,ServerDaylLimit,LevelLimit,JobLimit,GenderLimit,RefreshLimitNum,ConsumeType,ConsumeOnceNum,RefreshOnceType,ConsumeOnceFirst,ConsumeTenNum,RefreshTenType,ConsumeTenFirst,ScoresNum,ShopId,ScoresItemID,UIType,Texture,ShowItem,showaction,PreviewItem,SkillPreviewWheelIDs,Label,Txt,MallID,ProbabilityID,ToggleAtlas,ToggleOffImage,ToggleOnImage
1024,100035,19942,,小恶魔之翼高级奖池,0,75,,1=9,11=999,,2,0=-1,5|0,60640011=1|103=150,,,60640011=10|103=1500,,,,,,1,,1100004,2=10=10,1100004=1,,1100004=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1025,100045,19943,,天使波利眼罩高级奖池,0,85,,17=23,11=999,,2,0=-1,5|0,60640011=1|103=150,,,60640011=10|103=1500,,,,,,1,,1080037,2=10=11,1080037=1,,1080037=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1026,100055,19944,,瓦尔基里头盔高级奖池,0,95,,24=30,11=999,,2,0=-1,5|0,60640011=1|103=150,,,60640011=10|103=1500,,,,,,1,,1070111,2=10=10,1070111=1,,1070111=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1027,100065,19945,,鲨鱼恶霸高级奖池,0,105,,1=31,65=999,,2,0=-1,5|0,60640021=1|103=150,,,60640021=10|103=1500,,,,,,5,,1020024,,1020024=1,,1020024=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1028,100075,19946,,恶魔派对高级奖池,0,115,,1=17,11=999,,2,0=-1,5|0,60640001=1|103=150,,,60640001=10|103=1500,,,,,,2,,1010005|1010006,2=10=21,1010005=1|1010006=1,,1010005=2=PICK_UP|1010006=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1029,100080,19947,,超萌学院普通奖池,0,110,,18=34,11=999,,2,0=-1,5|0,60640000=1|103=50,,,60640000=10|103=500,,,,,,2,,1010019|1010020,2=10=21,1010019=1|1010020=1,,1010019=2=PICK_UP|1010020=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1030,100085,19948,,超萌学院高级奖池,0,115,,18=34,11=999,,2,0=-1,5|0,60640001=1|103=150,,,60640001=10|103=1500,,,,,,2,,1010019|1010020,2=10=21,1010019=1|1010020=1,,1010019=2=PICK_UP|1010020=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1031,100090,19949,1993,夏日外观扭蛋,0,5,2001,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035020=1,171,2035020,2,,1010061|1010062|1070193,2=10=21,1020003|1010053|1010054|1010061|1010062|1070193,,1020003=2=PICK_UP|1010053=2=PICK_UP|1010054=2=PICK_UP|1010061=2=PICK_UP|1010062=2=PICK_UP|1070193=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1032,100110,19950,1994,夏日外观扭蛋Ⅱ,0,5,2002,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035022=1,173,2035020|2035022,2,,1010033|1010034,2=10=21,1021046|1021041|1010074|1010075|1010033|1010034,,1021046=2=PICK_UP|1021041=2=PICK_UP|1010074=2=PICK_UP|1010075=2=PICK_UP|1010033=2=PICK_UP|1010034=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1033,100120,19951,1995,夏日外观扭蛋Ⅲ,0,5,2003,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035023=1,174,2035020|2035022|2035023,2,,1010068|1010069|1090064,2=10=21,1020031|1020030|1010068|1010069|1090064,,1020031=2=PICK_UP|1020030=2=PICK_UP|1010068=2=PICK_UP|1010069=2=PICK_UP|1090064=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1034,100130,19952,1996,夏日外观扭蛋Ⅳ,0,5,2004,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035024=1,175,2035020|2035022|2035023|2035024,2,,1010059|1010060|1100021,2=10=21,1021047|1010005|1010006|1010059|1010060|1100021,,1021047=2=PICK_UP|1010005=2=PICK_UP|1010006=2=PICK_UP|1010059=2=PICK_UP|1010060=2=PICK_UP|1100021=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
