ID,ItemID,,ServerLevelLimit,Enable,DelaySellTime,ChooseNumberRange,MoneyType,BasePrice,PriceLimit,LocalizationArea
22,1290054,珊瑚,0,1,180=600,2000=5000,101,500,5000=15000,
23,1290001,腐烂绷带,0,1,180=600,2000=5000,101,500,5000=15000,
24,1290005,亡者遗物,0,1,180=600,2000=5000,101,500,5000=15000,
25,1290069,葡萄,0,1,180=600,2000=5000,101,500,5000=15000,
26,1290070,苹果,0,1,180=600,2000=5000,101,500,5000=15000,
27,1290083,红色领巾,0,1,180=600,2000=5000,101,500,5000=15000,
28,1290084,圆形外皮,0,1,180=600,2000=5000,101,500,5000=15000,
29,1290085,红色蜡烛,0,1,180=600,2000=5000,101,500,5000=15000,
30,1290095,冰块一角,0,1,180=600,2000=5000,101,500,5000=15000,
31,1290096,青苹果,0,1,180=600,2000=5000,101,500,5000=15000,
32,1290097,柠檬,0,1,180=600,2000=5000,101,500,5000=15000,
33,1290101,触须,0,1,180=600,2000=5000,101,500,5000=15000,
34,1290102,菠萝,0,1,180=600,2000=5000,101,500,5000=15000,
35,1290103,甜瓜,0,1,180=600,2000=5000,101,500,5000=15000,
36,1290042,酒精,0,0,180=600,2000=5000,101,2500,5000=15000,
37,1280004,玻璃珠,0,1,180=600,2000=5000,101,2500,5000=15000,
38,1280007,光粒,0,1,180=600,2000=5000,101,2500,5000=15000,
39,1280011,慧眼,0,1,180=600,2000=5000,101,2500,5000=15000,
40,1280002,布里刊,0,1,180=600,2000=5000,101,2500,5000=15000,
41,1290002,黄玉碎片,0,1,180=600,2000=5000,101,2500,5000=15000,
42,1290006,赛依伐,0,1,180=600,2000=5000,101,2500,5000=15000,
43,1290043,蜂蜜,0,1,180=600,2000=5000,101,2500,5000=15000,
44,1280008,巨大杰勒比结晶,0,1,180=600,2000=5000,101,2500,5000=15000,
45,1290053,透明之布,0,1,180=600,2000=5000,101,2500,5000=15000,
46,1290058,羽毛,0,1,180=600,2000=5000,101,2500,5000=15000,
47,1290062,破旧书页,0,1,180=600,2000=5000,101,2500,5000=15000,
48,1290057,植物梗,0,1,180=600,2000=5000,101,2500,5000=15000,
49,1290059,硬角,0,1,180=600,2000=5000,101,2500,5000=15000,
50,1290061,锐利鳞片,0,1,180=600,2000=5000,101,2500,5000=15000,
51,1290056,巨大雪勒结晶,0,1,180=600,2000=5000,101,2500,5000=15000,
52,1290060,石心,0,1,180=600,2000=5000,101,2500,5000=15000,
53,1290063,冰碎块,0,1,180=600,2000=5000,101,2500,5000=15000,
54,1290064,冰结晶,0,1,180=600,2000=5000,101,2500,5000=15000,
55,1290065,熊掌,0,1,180=600,2000=5000,101,2500,5000=15000,
56,1290066,螳螂臂,0,1,180=600,2000=5000,101,2500,5000=15000,
57,1290067,人鱼鳞片,0,1,180=600,2000=5000,101,2500,5000=15000,
58,1290068,背鳍,0,1,180=600,2000=5000,101,2500,5000=15000,
59,1290079,老旧汤匙,0,1,180=600,2000=5000,101,2500,5000=15000,
60,1290080,行刑者手套,0,1,180=600,2000=5000,101,2500,5000=15000,
61,1290081,白云母,0,1,180=600,2000=5000,101,2500,5000=15000,
62,1290082,黑云母,0,1,180=600,2000=5000,101,2500,5000=15000,
63,1290092,红色流苏,0,1,180=600,2000=5000,101,2500,5000=15000,
64,1290093,结实的藤,0,1,180=600,2000=5000,101,2500,5000=15000,
65,1290094,西纳雷叶子,0,1,180=600,2000=5000,101,2500,5000=15000,
66,1290098,蛤蜊肉,0,1,180=600,2000=5000,101,2500,5000=15000,
67,1290099,蛤蜊外壳,0,1,180=600,2000=5000,101,2500,5000=15000,
68,1290100,螃蟹外壳,0,1,180=600,2000=5000,101,2500,5000=15000,
69,1290036,大嘴鸟之羽,0,1,180=600,2000=5000,101,50000,5000=15000,
70,1290041,柔软的羽毛,0,1,180=600,2000=5000,101,50000,5000=15000,
71,3090006,青绿宝石,0,1,180=600,2000=5000,101,50000,5000=15000,
72,3090001,白宝石,0,1,180=600,2000=5000,101,50000,5000=15000,
73,1270008,小恶魔翅膀,0,1,180=600,2000=5000,101,50000,5000=15000,
74,1270007,欧拉欧拉,0,1,180=600,2000=5000,101,50000,5000=15000,
75,1290037,怀表,0,1,180=600,2000=5000,101,50000,5000=15000,
76,1290039,蜜饯香蕉,0,1,180=600,2000=5000,101,50000,5000=15000,
77,1290029,蜂胶,0,1,180=600,2000=5000,101,50000,5000=15000,
78,1290031,围兜兜,0,1,180=600,2000=5000,101,50000,5000=15000,
79,1280010,诅咒红宝石,0,1,180=600,2000=5000,101,50000,5000=15000,
80,1270003,紫宝石,0,1,180=600,2000=5000,101,50000,5000=15000,
81,1270009,永恒玫瑰,0,1,180=600,2000=5000,101,50000,5000=15000,
82,3090004,黄宝石,0,1,180=600,2000=5000,101,50000,5000=15000,
83,1280006,兽人战士之证,0,1,180=600,2000=5000,101,50000,5000=15000,
84,3090008,天蓝宝石,0,1,180=600,2000=5000,101,50000,5000=15000,
85,1290030,发亮鳞片,0,1,180=600,2000=5000,101,50000,5000=15000,
86,3090002,绿宝石,0,1,180=600,2000=5000,101,50000,5000=15000,
87,1280005,黑猫娃娃,0,1,180=600,2000=5000,101,50000,5000=15000,
88,1290035,恶魔角,0,1,180=600,2000=5000,101,50000,5000=15000,
89,1280001,神之手,0,1,180=600,2000=5000,101,50000,5000=15000,
90,1290071,人鱼之牙,0,1,180=600,2000=5000,101,50000,5000=15000,
91,1290072,年老的树枝,0,1,180=600,2000=5000,101,50000,5000=15000,
92,1290077,回忆书签,0,1,180=600,2000=5000,101,50000,5000=15000,
93,1290078,红色相框,0,1,180=600,2000=5000,101,50000,5000=15000,
94,1290090,魔女之星沙,0,1,180=600,2000=5000,101,50000,5000=15000,
95,1290091,老旧魔法图,0,1,180=600,2000=5000,101,50000,5000=15000,
96,1290104,辉石,0,1,180=600,2000=5000,101,50000,5000=15000,
97,1290026,天地树芽,0,1,180=600,2000=5000,101,500000,5000=15000,
98,1270011,四叶幸运草,0,1,180=600,2000=5000,101,500000,5000=15000,
99,1290028,超坚硬外皮,0,1,180=600,2000=5000,101,500000,5000=15000,
100,1270004,珍珠,0,1,180=600,2000=5000,101,500000,5000=15000,
101,1290025,忠诚之证,0,1,180=600,2000=5000,101,500000,5000=15000,
102,1270012,黄金,0,1,180=600,2000=5000,101,500000,5000=15000,
103,1290024,海利翁之眼,0,1,180=600,2000=5000,101,500000,5000=15000,
104,1290027,圣殿士面具,0,1,180=600,2000=5000,101,500000,5000=15000,
105,1290023,燃烧的马蹄铁,0,1,180=600,2000=5000,101,500000,5000=15000,
106,1290022,狮鹫兽的指甲,0,1,180=600,2000=5000,101,500000,5000=15000,
107,1290075,黄水晶,0,1,180=600,2000=5000,101,500000,5000=15000,
108,1290076,古城亡者的牙齿,0,1,180=600,2000=5000,101,500000,5000=15000,
109,1290088,古魔法书,0,1,180=600,2000=5000,101,500000,5000=15000,
110,1290089,指针,0,1,180=600,2000=5000,101,500000,5000=15000,
111,1290105,龙牙,0,1,180=600,2000=5000,101,500000,5000=15000,
112,1270005,断柄之刃,0,1,180=600,2000=5000,101,1000000,5000=15000,
113,1280012,泯灭之心,0,1,180=600,2000=5000,101,1000000,5000=15000,
114,1290021,噩梦之石,0,1,180=600,2000=5000,101,1000000,5000=15000,
115,1290020,兽人英雄之证,0,1,180=600,2000=5000,101,1000000,5000=15000,
116,1290019,虎掌,0,1,180=600,2000=5000,101,1000000,5000=15000,
117,1290073,老旧剑柄,0,1,180=600,2000=5000,101,1000000,5000=15000,
118,1290074,玫瑰石英,0,1,180=600,2000=5000,101,1000000,5000=15000,
119,1290086,时间结晶,0,1,180=600,2000=5000,101,1000000,5000=15000,
120,1290087,卡仑之牙,0,1,180=600,2000=5000,101,1000000,5000=15000,
121,1290106,宝石原石,0,1,180=600,2000=5000,101,1000000,5000=15000,
122,3046001,短剑置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
123,3046002,斧头置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
124,3046003,钝器置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
125,3046004,长矛置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
126,3046005,长剑置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
127,3046006,双手剑置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
128,3046007,拳刃置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
129,3046008,拳套置换器,0,1,180=600,2000=5000,102,185000,5000=15000,
130,3078011,力量药剂1星,0,1,180=600,2000=5000,102,50000,5000=15000,
131,3078014,智力药剂1星,0,1,180=600,2000=5000,102,50000,5000=15000,
132,3078017,敏捷药剂1星,0,1,180=600,2000=5000,102,50000,5000=15000,
133,3078020,灵巧药剂1星,0,1,180=600,2000=5000,102,50000,5000=15000,
134,3078023,体质药剂1星,0,1,180=600,2000=5000,102,50000,5000=15000,
135,3078026,幸运药剂1星,0,1,180=600,2000=5000,102,50000,5000=15000,
136,3054001,蒸蟹螯1星,0,1,180=600,2000=5000,102,50000,5000=15000,
137,3054101,口感爽滑的面1星,0,1,180=600,2000=5000,102,50000,5000=15000,
138,3054201,鲜虾汁1星,0,1,180=600,2000=5000,102,50000,5000=15000,
139,3054301,什锦饭团1星,0,1,180=600,2000=5000,102,50000,5000=15000,
140,3054401,热炒蛤蜊1星,0,1,180=600,2000=5000,102,50000,5000=15000,
141,3054501,蟹肉棒1星,0,1,180=600,2000=5000,102,50000,5000=15000,
142,3054601,金枪鱼串烧1星,0,1,180=600,2000=5000,102,50000,5000=15000,
143,3054701,鱼子酱1星,0,1,180=600,2000=5000,102,50000,5000=15000,
144,3054801,鲜贝粥1星,0,1,180=600,2000=5000,102,50000,5000=15000,
