Id,ProfessionId,SkillName,SkillQuality,BuffId,Attrdec,SkillLimit,BornWeight,ComposeWeight,TimesLimit
66,7000,灵巧Lv.1,1,7100301,灵巧+1,1,0,0,0
67,2000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
68,3000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
69,4000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
70,5000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
71,6000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
72,7000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
73,2000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
74,3000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
75,4000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
76,5000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
77,6000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
78,7000,灵巧Lv.2,1,7100302,灵巧+2,2,0,0,0
79,2000,灵巧Lv.3,2,7100303,灵巧+3,3,0,0,0
80,3000,灵巧Lv.3,2,7100303,灵巧+3,3,0,0,0
81,4000,灵巧Lv.3,2,7100303,灵巧+3,3,0,0,0
82,5000,灵巧Lv.3,2,7100303,灵巧+3,3,0,0,0
83,6000,灵巧Lv.3,2,7100303,灵巧+3,3,0,0,0
84,7000,灵巧Lv.3,2,7100303,灵巧+3,3,0,0,0
85,2000,灵巧Lv.4,2,7100304,灵巧+4,4,0,0,0
86,3000,灵巧Lv.4,2,7100304,灵巧+4,4,0,0,0
87,4000,灵巧Lv.4,2,7100304,灵巧+4,4,0,0,0
88,5000,灵巧Lv.4,2,7100304,灵巧+4,4,0,0,0
89,6000,灵巧Lv.4,2,7100304,灵巧+4,4,0,0,0
90,7000,灵巧Lv.4,2,7100304,灵巧+4,4,0,0,0
91,2000,物理攻击Lv.1,1,7100401,物理攻击+2,1,0,0,0
92,3000,物理攻击Lv.1,1,7100401,物理攻击+2,1,0,0,0
93,4000,物理攻击Lv.1,1,7100401,物理攻击+2,1,0,0,0
94,5000,物理攻击Lv.1,1,7100401,物理攻击+2,1,0,0,0
95,6000,物理攻击Lv.1,1,7100401,物理攻击+2,1,0,0,0
96,7000,物理攻击Lv.1,1,7100401,物理攻击+2,1,0,0,0
97,2000,物理攻击Lv.2,1,7100402,物理攻击+4,2,0,0,0
98,3000,物理攻击Lv.2,1,7100402,物理攻击+4,2,0,0,0
99,4000,物理攻击Lv.2,1,7100402,物理攻击+4,2,0,0,0
100,5000,物理攻击Lv.2,1,7100402,物理攻击+4,2,0,0,0
101,6000,物理攻击Lv.2,1,7100402,物理攻击+4,2,0,0,0
102,7000,物理攻击Lv.2,1,7100402,物理攻击+4,2,0,0,0
103,2000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
104,3000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
105,4000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
106,5000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
107,6000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
108,7000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
109,2000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
110,3000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
111,4000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
112,5000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
113,6000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
114,7000,物理攻击Lv.3,1,7100403,物理攻击+6,3,0,0,0
115,2000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
116,3000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
117,4000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
118,5000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
119,6000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
120,7000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
121,2000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
122,3000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
123,4000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
124,5000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
125,6000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
126,7000,物理攻击Lv.4,2,7100404,物理攻击+8,4,0,0,0
127,2000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
128,3000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
129,4000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
130,5000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
131,6000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
132,7000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
133,2000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
134,3000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
135,4000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
136,5000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
137,6000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
138,7000,物理攻击Lv.5,2,7100405,物理攻击+10,5,0,0,0
139,2000,物理攻击Lv.6,2,7100406,物理攻击+12,6,0,0,0
140,3000,物理攻击Lv.6,2,7100406,物理攻击+12,6,0,0,0
141,4000,物理攻击Lv.6,2,7100406,物理攻击+12,6,0,0,0
142,5000,物理攻击Lv.6,2,7100406,物理攻击+12,6,0,0,0
143,6000,物理攻击Lv.6,2,7100406,物理攻击+12,6,0,0,0
144,7000,物理攻击Lv.6,2,7100406,物理攻击+12,6,0,0,0
145,2000,物理攻击Lv.7,3,7100407,物理攻击+14,7,0,0,0
146,3000,物理攻击Lv.7,3,7100407,物理攻击+14,7,0,0,0
147,4000,物理攻击Lv.7,3,7100407,物理攻击+14,7,0,0,0
148,5000,物理攻击Lv.7,3,7100407,物理攻击+14,7,0,0,0
149,6000,物理攻击Lv.7,3,7100407,物理攻击+14,7,0,0,0
150,7000,物理攻击Lv.7,3,7100407,物理攻击+14,7,0,0,0
151,2000,魔法攻击Lv.1,1,7100501,魔法攻击+2,1,0,0,0
152,3000,魔法攻击Lv.1,1,7100501,魔法攻击+2,1,0,0,0
153,4000,魔法攻击Lv.1,1,7100501,魔法攻击+2,1,0,0,0
154,5000,魔法攻击Lv.1,1,7100501,魔法攻击+2,1,0,0,0
155,6000,魔法攻击Lv.1,1,7100501,魔法攻击+2,1,0,0,0
156,7000,魔法攻击Lv.1,1,7100501,魔法攻击+2,1,0,0,0
157,2000,魔法攻击Lv.2,1,7100502,魔法攻击+4,2,0,0,0
158,3000,魔法攻击Lv.2,1,7100502,魔法攻击+4,2,0,0,0
159,4000,魔法攻击Lv.2,1,7100502,魔法攻击+4,2,0,0,0
160,5000,魔法攻击Lv.2,1,7100502,魔法攻击+4,2,0,0,0
161,6000,魔法攻击Lv.2,1,7100502,魔法攻击+4,2,0,0,0
162,7000,魔法攻击Lv.2,1,7100502,魔法攻击+4,2,0,0,0
163,2000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
164,3000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
165,4000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
166,5000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
167,6000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
168,7000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
169,2000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
170,3000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
171,4000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
172,5000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
173,6000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
174,7000,魔法攻击Lv.3,1,7100503,魔法攻击+6,3,0,0,0
175,2000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
176,3000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
177,4000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
178,5000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
179,6000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
180,7000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
181,2000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
182,3000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
183,4000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
184,5000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
185,6000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
186,7000,魔法攻击Lv.4,2,7100504,魔法攻击+8,4,0,0,0
187,2000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
188,3000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
189,4000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
190,5000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
191,6000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
192,7000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
193,2000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
194,3000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
195,4000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
196,5000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
197,6000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
198,7000,魔法攻击Lv.5,2,7100505,魔法攻击+10,5,0,0,0
199,2000,魔法攻击Lv.6,2,7100506,魔法攻击+12,6,0,0,0
200,3000,魔法攻击Lv.6,2,7100506,魔法攻击+12,6,0,0,0
201,4000,魔法攻击Lv.6,2,7100506,魔法攻击+12,6,0,0,0
202,5000,魔法攻击Lv.6,2,7100506,魔法攻击+12,6,0,0,0
203,6000,魔法攻击Lv.6,2,7100506,魔法攻击+12,6,0,0,0
204,7000,魔法攻击Lv.6,2,7100506,魔法攻击+12,6,0,0,0
205,2000,魔法攻击Lv.7,3,7100507,魔法攻击+14,7,0,0,0
206,3000,魔法攻击Lv.7,3,7100507,魔法攻击+14,7,0,0,0
207,4000,魔法攻击Lv.7,3,7100507,魔法攻击+14,7,0,0,0
208,5000,魔法攻击Lv.7,3,7100507,魔法攻击+14,7,0,0,0
209,6000,魔法攻击Lv.7,3,7100507,魔法攻击+14,7,0,0,0
210,7000,魔法攻击Lv.7,3,7100507,魔法攻击+14,7,0,0,0
211,2000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
212,3000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
213,4000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
214,5000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
215,6000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
216,7000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
217,2000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
218,3000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
219,4000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
220,5000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
221,6000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
222,7000,物理防御Lv.2,1,7100602,物理防御+4,2,0,0,0
223,2000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
224,3000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
225,4000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
226,5000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
227,6000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
228,7000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
229,2000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
230,3000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
231,4000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
232,5000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
233,6000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
234,7000,物理防御Lv.3,1,7100603,物理防御+6,3,0,0,0
235,2000,物理防御Lv.4,2,7100604,物理防御+8,4,0,0,0
236,3000,物理防御Lv.4,2,7100604,物理防御+8,4,0,0,0
237,4000,物理防御Lv.4,2,7100604,物理防御+8,4,0,0,0
238,5000,物理防御Lv.4,2,7100604,物理防御+8,4,0,0,0
239,6000,物理防御Lv.4,2,7100604,物理防御+8,4,0,0,0
240,7000,物理防御Lv.4,2,7100604,物理防御+8,4,0,0,0
241,2000,物理防御Lv.5,2,7100605,物理防御+10,5,0,0,0
242,3000,物理防御Lv.5,2,7100605,物理防御+10,5,0,0,0
243,4000,物理防御Lv.5,2,7100605,物理防御+10,5,0,0,0
244,5000,物理防御Lv.5,2,7100605,物理防御+10,5,0,0,0
245,6000,物理防御Lv.5,2,7100605,物理防御+10,5,0,0,0
246,7000,物理防御Lv.5,2,7100605,物理防御+10,5,0,0,0
247,2000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
248,3000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
249,4000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
250,5000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
251,6000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
252,7000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
253,2000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
254,3000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
255,4000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
256,5000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
257,6000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
258,7000,魔法防御Lv.3,1,7100703,魔法防御+3,3,0,0,0
259,2000,魔法防御Lv.4,2,7100704,魔法防御+4,4,0,0,0
260,3000,魔法防御Lv.4,2,7100704,魔法防御+4,4,0,0,0
261,4000,魔法防御Lv.4,2,7100704,魔法防御+4,4,0,0,0
262,5000,魔法防御Lv.4,2,7100704,魔法防御+4,4,0,0,0
263,6000,魔法防御Lv.4,2,7100704,魔法防御+4,4,0,0,0
264,7000,魔法防御Lv.4,2,7100704,魔法防御+4,4,0,0,0
265,2000,魔法防御Lv.5,2,7100705,魔法防御+5,5,0,0,0
266,3000,魔法防御Lv.5,2,7100705,魔法防御+5,5,0,0,0
267,4000,魔法防御Lv.5,2,7100705,魔法防御+5,5,0,0,0
268,5000,魔法防御Lv.5,2,7100705,魔法防御+5,5,0,0,0
269,6000,魔法防御Lv.5,2,7100705,魔法防御+5,5,0,0,0
270,7000,魔法防御Lv.5,2,7100705,魔法防御+5,5,0,0,0
271,2000,治疗效果Lv.1,1,7100801,治疗效果+1%,1,0,0,0
272,3000,治疗效果Lv.1,1,7100801,治疗效果+1%,1,0,0,0
273,4000,治疗效果Lv.1,1,7100801,治疗效果+1%,1,0,0,0
274,5000,治疗效果Lv.1,1,7100801,治疗效果+1%,1,0,0,0
275,6000,治疗效果Lv.1,1,7100801,治疗效果+1%,1,0,0,0
276,7000,治疗效果Lv.1,1,7100801,治疗效果+1%,1,0,0,0
277,2000,治疗效果Lv.2,1,7100802,治疗效果+2%,2,0,0,0
278,3000,治疗效果Lv.2,1,7100802,治疗效果+2%,2,0,0,0
279,4000,治疗效果Lv.2,1,7100802,治疗效果+2%,2,0,0,0
280,5000,治疗效果Lv.2,1,7100802,治疗效果+2%,2,0,0,0
281,6000,治疗效果Lv.2,1,7100802,治疗效果+2%,2,0,0,0
282,7000,治疗效果Lv.2,1,7100802,治疗效果+2%,2,0,0,0
283,2000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
284,3000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
285,4000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
286,5000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
287,6000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
288,7000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
289,2000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
290,3000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
291,4000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
292,5000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
293,6000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
294,7000,治疗效果Lv.3,2,7100803,治疗效果+3%,3,0,0,0
295,2000,治疗效果Lv.4,2,7100804,治疗效果+4%,4,0,0,0
296,3000,治疗效果Lv.4,2,7100804,治疗效果+4%,4,0,0,0
297,4000,治疗效果Lv.4,2,7100804,治疗效果+4%,4,0,0,0
298,5000,治疗效果Lv.4,2,7100804,治疗效果+4%,4,0,0,0
299,6000,治疗效果Lv.4,2,7100804,治疗效果+4%,4,0,0,0
300,7000,治疗效果Lv.4,2,7100804,治疗效果+4%,4,0,0,0
301,2000,治疗效果Lv.5,3,7100805,治疗效果+5%,5,0,0,0
302,3000,治疗效果Lv.5,3,7100805,治疗效果+5%,5,0,0,0
303,4000,治疗效果Lv.5,3,7100805,治疗效果+5%,5,0,0,0
304,5000,治疗效果Lv.5,3,7100805,治疗效果+5%,5,0,0,0
305,6000,治疗效果Lv.5,3,7100805,治疗效果+5%,5,0,0,0
306,7000,治疗效果Lv.5,3,7100805,治疗效果+5%,5,0,0,0
307,2000,动物克星Lv.2,2,7100902,受到动物种族伤害减免+2%,2,0,0,0
308,3000,动物克星Lv.2,2,7100902,受到动物种族伤害减免+2%,2,0,0,0
309,4000,动物克星Lv.2,2,7100902,受到动物种族伤害减免+2%,2,0,0,0
310,5000,动物克星Lv.2,2,7100902,受到动物种族伤害减免+2%,2,0,0,0
311,6000,动物克星Lv.2,2,7100902,受到动物种族伤害减免+2%,2,0,0,0
312,7000,动物克星Lv.2,2,7100902,受到动物种族伤害减免+2%,2,0,0,0
313,2000,动物克星Lv.3,1,7100903,受到动物种族伤害减免+3%,3,0,0,0
314,3000,动物克星Lv.3,1,7100903,受到动物种族伤害减免+3%,3,0,0,0
315,4000,动物克星Lv.3,1,7100903,受到动物种族伤害减免+3%,3,0,0,0
316,5000,动物克星Lv.3,1,7100903,受到动物种族伤害减免+3%,3,0,0,0
317,6000,动物克星Lv.3,1,7100903,受到动物种族伤害减免+3%,3,0,0,0
318,7000,动物克星Lv.3,1,7100903,受到动物种族伤害减免+3%,3,0,0,0
319,2000,人形克星Lv.2,2,7101002,受到人形种族伤害减免+2%,2,0,0,0
320,3000,人形克星Lv.2,2,7101002,受到人形种族伤害减免+2%,2,0,0,0
321,4000,人形克星Lv.2,2,7101002,受到人形种族伤害减免+2%,2,0,0,0
322,5000,人形克星Lv.2,2,7101002,受到人形种族伤害减免+2%,2,0,0,0
323,6000,人形克星Lv.2,2,7101002,受到人形种族伤害减免+2%,2,0,0,0
324,7000,人形克星Lv.2,2,7101002,受到人形种族伤害减免+2%,2,0,0,0
325,2000,人形克星Lv.3,2,7101003,受到人形种族伤害减免+3%,3,0,0,0
326,3000,人形克星Lv.3,2,7101003,受到人形种族伤害减免+3%,3,0,0,0
327,4000,人形克星Lv.3,2,7101003,受到人形种族伤害减免+3%,3,0,0,0
328,5000,人形克星Lv.3,2,7101003,受到人形种族伤害减免+3%,3,0,0,0
329,6000,人形克星Lv.3,2,7101003,受到人形种族伤害减免+3%,3,0,0,0
330,7000,人形克星Lv.3,2,7101003,受到人形种族伤害减免+3%,3,0,0,0
331,2000,恶魔克星Lv.2,2,7101102,受到恶魔种族伤害减免+2%,2,0,0,0
332,3000,恶魔克星Lv.2,2,7101102,受到恶魔种族伤害减免+2%,2,0,0,0
333,4000,恶魔克星Lv.2,2,7101102,受到恶魔种族伤害减免+2%,2,0,0,0
334,5000,恶魔克星Lv.2,2,7101102,受到恶魔种族伤害减免+2%,2,0,0,0
335,6000,恶魔克星Lv.2,2,7101102,受到恶魔种族伤害减免+2%,2,0,0,0
336,7000,恶魔克星Lv.2,2,7101102,受到恶魔种族伤害减免+2%,2,0,0,0
337,2000,恶魔克星Lv.3,1,7101103,受到恶魔种族伤害减免+3%,3,0,0,0
338,3000,恶魔克星Lv.3,1,7101103,受到恶魔种族伤害减免+3%,3,0,0,0
339,4000,恶魔克星Lv.3,1,7101103,受到恶魔种族伤害减免+3%,3,0,0,0
340,5000,恶魔克星Lv.3,1,7101103,受到恶魔种族伤害减免+3%,3,0,0,0
341,6000,恶魔克星Lv.3,1,7101103,受到恶魔种族伤害减免+3%,3,0,0,0
342,7000,恶魔克星Lv.3,1,7101103,受到恶魔种族伤害减免+3%,3,0,0,0
343,2000,植物克星Lv.2,2,7101202,受到植物种族伤害减免+2%,2,0,0,0
344,3000,植物克星Lv.2,2,7101202,受到植物种族伤害减免+2%,2,0,0,0
345,4000,植物克星Lv.2,2,7101202,受到植物种族伤害减免+2%,2,0,0,0
346,5000,植物克星Lv.2,2,7101202,受到植物种族伤害减免+2%,2,0,0,0
347,6000,植物克星Lv.2,2,7101202,受到植物种族伤害减免+2%,2,0,0,0
348,7000,植物克星Lv.2,2,7101202,受到植物种族伤害减免+2%,2,0,0,0
349,2000,植物克星Lv.3,1,7101203,受到植物种族伤害减免+3%,3,0,0,0
350,3000,植物克星Lv.3,1,7101203,受到植物种族伤害减免+3%,3,0,0,0
351,4000,植物克星Lv.3,1,7101203,受到植物种族伤害减免+3%,3,0,0,0
352,5000,植物克星Lv.3,1,7101203,受到植物种族伤害减免+3%,3,0,0,0
353,6000,植物克星Lv.3,1,7101203,受到植物种族伤害减免+3%,3,0,0,0
354,7000,植物克星Lv.3,1,7101203,受到植物种族伤害减免+3%,3,0,0,0
355,2000,不死克星Lv.2,2,7101302,受到不死种族伤害减免+2%,2,0,0,0
356,3000,不死克星Lv.2,2,7101302,受到不死种族伤害减免+2%,2,0,0,0
357,4000,不死克星Lv.2,2,7101302,受到不死种族伤害减免+2%,2,0,0,0
358,5000,不死克星Lv.2,2,7101302,受到不死种族伤害减免+2%,2,0,0,0
359,6000,不死克星Lv.2,2,7101302,受到不死种族伤害减免+2%,2,0,0,0
360,7000,不死克星Lv.2,2,7101302,受到不死种族伤害减免+2%,2,0,0,0
361,2000,不死克星Lv.3,1,7101303,受到不死种族伤害减免+3%,3,0,0,0
362,3000,不死克星Lv.3,1,7101303,受到不死种族伤害减免+3%,3,0,0,0
