ID,Name,ETime,Edamage_Per,Etime_Normal,Edamage_Per_Normal,Etime_Hard,Edamage_Per_Hard
9809,哥布灵首领,8,1000,8,1000,8,1000
9810,弓箭哥布灵,12,1500,12,1500,15,1100
9811,大斧哥布灵,12,1500,12,1500,15,1100
9812,克瑞米,1.2,700,1.2,700,1.2,700
9813,疯兔,1,700,1,700,1,700
9814,森灵,1,700,1,700,1,700
5251,小恶魔,3,500,3,500,3,500
5252,腐尸,3,800,3,800,3,300
5253,绿腐尸,2,500,2,500,2,500
5254,巨大白幽灵,3,800,3,800,3,300
5255,小恶魔,3,800,3,800,3,800
5256,风魔巫师,12,2000,12,2000,20,2000
5257,死灵,90,2500,90,2500,90,2500
5401,蚁后,90,2800,90,2800,90,2800
5405,黑蚁,2,150,2,150,2,150
5406,白蚁,1.5,300,1.5,300,1.5,300
5407,工蚁,2.5,200,2.5,200,2.5,200
5408,狂暴蚁后,30,1800,30,1800,45,1800
5409,黑蚁,2,300,2,300,2,300
5410,白蚁,1.5,300,1.5,300,1.5,300
5411,工蚁,2.5,500,2.5,500,2.5,500
5416,黑蚁窝,30,30,30,30,30,30
5417,白蚁窝,30,30,30,30,30,30
5424,黑蚁窝,30,30,30,30,30,30
5425,白蚁窝,30,30,30,30,30,30
5430,白蚁,2,300,2,300,20,600
5432,兵蚁,3,1000,3,1000,5,1000
9154,毕莱特,4,1500,4,1500,4,1500
9155,木乃伊,3,800,3,800,3,800
9156,木乃伊,3,400,3,400,3,400
9160,狂暴木乃伊,15,1200,15,1200,25,1200
9161,俄塞里斯,90,2000,90,2000,135,2000
9165,狂暴木乃伊,15,1200,15,1200,25,1200
9169,缠绕绷带,2.5,500,2.5,500,2.5,500
9174,金字塔守护者,20,1500,12,1500,30,1500
9172,木乃伊,10,1000,10,1000,10,1000
9173,毕莱特,2.5,700,2.5,700,2.5,700
5481,梦罗克的邪骸士兵,1.5,500,1.5,500,1.5,500
5482,梦罗克的邪骸兽人,15,1500,15,1500,15,1500
5465,梦罗克的亡灵战俘,4,3000,4,3000,4,3000
5462,梦罗克的恶灵,10,2000,10,2000,15,2000
5480,梦罗克的邪骸弓箭手,2,800,2,800,2,800
5458,梦罗克的南瓜魂,2,500,2,500,2,500
5460,魔神的影子,5,800,5,800,5,800
5463,梦罗克的米洛斯,20,5000,20,5000,20,5000
5461,魔神的影子,5,800,5,800,5,800
5464,梦罗克的魔法师,30,2200,30,2200,30,2200
5452,达纳托斯的憎恨,40,2000,40,2000,65,2000
5454,达纳托斯的悲哀,40,2500,40,2500,65,2500
5453,达纳托斯的绝望,40,2500,40,2500,65,2500
2003531,词缀：逝者之碑邪骸弓箭手,0.667,100,0.667,100,0.667,100
2003532,词缀：逝者之碑邪骸士兵,1,120,1,120,1,120
2003533,词缀：逝者之碑邪骸兽人,1,120,1,120,1,120
8801,毕尤,300,1600,150,1600,200,1600
8802,深渊骑士,120,1600,80,1600,100,1600
8803,暗盾祭司,60,1200,60,1200,60,1200
8804,传送柱,20,100,20,100,28,100
8805,传送柱,30,100,30,100,45,100
8808,幽灵剑士,6,500,6,500,3,600
8809,卡利斯格,4,1000,4,1000,3,900
8810,傀儡娃娃,3,800,3,800,3,900
8832,小女孩,6,100,6,100,6,100
8833,学者,3,100,3,100,3,100
8834,造型师,3,100,3,100,3,100
8835,头饰商人,3,100,3,100,3,100
8844,幽灵剑士,6,500,6,500,4,600
8845,卡利斯格,4,1000,4,1000,4,900
8846,暗盾祭司,20,1500,20,1500,25,2000
8951,梦罗克幼体,300,1600,110,1600,150,1600
8952,梦罗克,400,1600,180,1600,300,1600
8953,魔神的影子,6,800,6,500,8,500
8954,魔神的影子,10,800,10,500,12,500
8955,陨石H,100,1600,100,1600,100,1600
8956,陨石召唤兽H,100,1600,100,1600,100,1600
8957,小陨石H,100,1600,100,1600,100,1600
8958,小陨石召唤兽H,100,1600,100,1600,100,1600
29262,利格鲁德,200,1600,450,1600,450,1200
29263,刺刀哥布灵,5,500,12,500,8,300
29264,刺锤哥布灵,5,500,12,500,8,300
29265,大斧哥布灵,5,500,12,500,8,300
29266,链锤哥布灵,90,1200,150,1200,150,800
29267,榔头哥布灵,90,1200,100,1200,100,800
29268,弓箭哥布灵,5,500,12,500,10,350
29269,刺刀哥布灵精英,120,1500,300,1500,300,900
29270,刺刀哥布灵精英,120,1500,300,1500,300,900
29271,链锤哥布灵,5,500,15,500,10,350
29272,弓箭哥布灵,5,500,15,500,10,350
29273,榔头哥布灵,5,500,15,500,10,350
29286,阿修罗机械战士,120,1500,120,1200,120,700
29297,阿修罗机械战士,120,1500,120,1200,120,700
29298,阿修罗机械战士,120,1500,120,1200,120,700
29299,哥布灵通信兵,20,1200,25,1200,15,700
23001,霍普,800,4000,800,4000,600,1600
23002,被诅咒的尤达,500,3000,500,2000,400,1200
23003,蝙蝠弓箭手,60,1200,60,1200,30,700
23004,爱丽丝女仆,20,600,20,600,15,450
23005,霍普,800,4000,800,4000,600,1600
23006,霍普,800,4000,800,4000,600,1600
23007,霍普,800,4000,800,4000,600,1600
23008,霍普,800,4000,800,4000,600,1600
23009,暗神官,20,600,20,600,15,450
23010,暗神官领袖,200,1600,200,1600,200,900
23011,爱丽丝女仆长,240,1600,240,1600,200,900
23012,爱丽丝女仆,20,600,20,600,15,450
23013,暗神官领袖,60,600,60,600,30,500
9820,凯斯利亚斯,36,900,36,900,36,900
9821,狂暴疯兔,0.6,420,0.6,420,0.6,420
9822,教国士兵,6,900,6,900,7.2,900
9823,狂暴克瑞米,0.48,420,0.48,420,0.48,420
9824,狂暴疯兔,0.4,420,0.4,420,0.4,420
9825,狂暴森灵,0.4,420,0.4,420,0.4,420
8401,魔菇,0.8,120,0.8,120,0.8,120
8432,蜘蛛守卫,1.2,300,1.2,300,2,480
8405,蜘蛛守卫队长,4,480,4,480,8,900
8406,莫古尔,36,900,36,900,36,900
8410,毒魔菇孢子,0.4,120,0.4,120,0.4,120
8408,毒魔菇孢子,0.4,120,0.4,120,0.4,120
8409,剧毒魔菇,0.4,120,0.4,120,0.4,120
7727,海盗之王：污染水域Con,9999,1080,9999,1080,9999,1320
7728,海盗之王：污染水域Mob,9999,1080,9999,1080,9999,1320
7729,海盗之王：海浪冲击Single,9999,1080,9999,1080,9999,1320
7745,海盗之王：海浪冲击Multi,9999,1080,9999,1080,9999,1320
7730,亡者召唤召唤兽,0.9,180,0.9,180,0.9,180
7731,死去的海盗,0.9,180,0.9,180,0.9,180
7732,死去的法师,9,1080,9,1080,10,1200
7733,死去的刺客,1.5,600,1.5,600,1.5,600
7734,死去的弓箭手,1.2,300,1.2,300,1.2,300
7735,帕纳迦,4.8,300,4.8,300,4.8,300
7736,死去的俘虏,3,1800,3,1800,3,1800
7737,白幽灵,0.6,180,0.6,180,0.6,180
7726,德雷克,54,1080,54,1080,54,1320
7741,Boss召唤：死去的俘虏,1.8,3000,1.8,2100,1.8,2100
7742,Boss召唤：死去的海盗,0.6,480,1.8,480,0.6,480
7743,Boss召唤：死去的法师,1.2,180,1.2,180,1.2,180
7744,Boss召唤：死去的弓箭手,0.6,180,0.6,90,0.6,90
7746,Boss召唤：白幽灵,0.36,180,0.36,180,0.36,180
7738,坏血病区域召唤兽,9999,1080,9999,1080,9999,1320
7739,死去的俘虏,9999,1080,9999,1080,9999,1320
7740,死去的帕纳迦,9999,1080,9999,1080,9999,1320
8451,小恶魔,1.2,300,1.2,300,1.2,300
8452,腐尸,1.2,480,1.2,480,1.2,180
8453,绿腐尸,0.8,300,0.8,300,0.8,300
8454,巨大白幽灵,1.2,480,1.2,480,1.2,180
8456,风魔巫师,4.8,1200,4.8,1200,8,1200
8457,多普勒,36,1500,36,1500,36,1500
5439,玛雅,36,1680,36,1680,36,1680
5440,黑蚁,0.8,90,0.8,90,0.8,90
5441,白蚁,0.6,180,0.6,180,0.6,180
5442,玛雅之子,12,1080,12,1080,18,1080
5443,黑蚁,0.8,180,0.8,180,0.8,180
5444,白蚁,0.6,180,0.6,180,0.6,180
5445,黑蚁窝,30,30,30,30,30,30
5446,白蚁窝,30,30,30,30,30,30
5447,蚂蚁幼虫,0.6,180,0.6,180,0.6,180
8464,毕莱特,1,420,1,420,1,420
8465,木乃伊,1.2,480,1.2,480,1.2,480
8470,狂暴木乃伊,6,720,6,720,10,720
8475,狂暴木乃伊,6,720,6,720,10,720
8471,荷鲁斯,36,1200,36,1200,54,1200
8482,木乃伊,4,600,4,600,4,600
8484,金字塔守护者,8,900,4.8,900,12,900
5801,达纳托斯的憎恨,16,1200,16,1200,26,1200
5802,达纳托斯的绝望,16,1500,16,1500,26,1500
5803,达纳托斯的悲哀,16,1500,16,1500,26,1500
5804,梦罗克的南瓜魂,2,500,2,500,2,500
5805,诅咒魔书,1.6,1800,1.6,1800,1.6,1800
5806,魔神的影子（近战）,2,480,2,480,2,480
5807,魔神的影子（远程）,2,480,2,480,2,480
5808,梦罗克的恶灵,4,1200,4,1200,6,1200
5809,梦罗克的米洛斯,8,3000,8,3000,8,3000
5810,梦罗克的魔法师,12,1320,12,1320,12,1320
5811,梦罗克的亡灵战俘,1.6,1800,1.6,1800,1.6,1800
5813,梦罗克的邪骸弓箭手,1.6,480,1.6,480,1.6,480
5814,梦罗克的邪骸士兵,2,500,2,500,2,500
5815,梦罗克的邪骸兽人,6,900,6,900,6,900
