Position,IntensifyLevel,IntensifyAttr,IntensifyCost,IntensifyLimit
装备部位,强化等级,强化属性(0=属性id=0=value）,强化消耗,强化上限（Base等级的系数）
3,9,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,10,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,11,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,12,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,13,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,14,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,15,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,16,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,17,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,18,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,19,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,20,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,21,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,22,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,23,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,24,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,25,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,26,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,27,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,28,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,29,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,30,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,31,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,32,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,33,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,34,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,35,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,36,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,37,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,38,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,39,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,40,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,41,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,42,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,43,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,44,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,45,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,46,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,47,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,48,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,49,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,50,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,0,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,1,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,2,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,3,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,4,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,5,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,6,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,7,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,8,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,9,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,10,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,11,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,12,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,13,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,14,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,15,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,16,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,17,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,18,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,19,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,20,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,21,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,22,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,23,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,24,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,25,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,26,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,27,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,28,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,29,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,30,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,31,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,32,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,33,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,34,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,35,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,36,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,37,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,38,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,39,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,40,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,41,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,42,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,43,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,44,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,45,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,46,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,47,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,48,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,49,0=53=0=2|0=67=0=2,300300=5|101=10000,2
4,50,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,0,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,1,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,2,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,3,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,4,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,5,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,6,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,7,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,8,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,9,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,10,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,11,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,12,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,13,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,14,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,15,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,16,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,17,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,18,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,19,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,20,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,21,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,22,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,23,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,24,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,25,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,26,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,27,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,28,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,29,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,30,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,31,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,32,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,33,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,34,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,35,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,36,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,37,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,38,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,39,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,40,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,41,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,42,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,43,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,44,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,45,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,46,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,47,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,48,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,49,0=53=0=2|0=67=0=2,300300=5|101=10000,2
5,50,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,0,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,1,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,2,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,3,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,4,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,5,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,6,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,7,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,8,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,9,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,10,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,11,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,12,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,13,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,14,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,15,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,16,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,17,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,18,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,19,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,20,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,21,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,22,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,23,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,24,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,25,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,26,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,27,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,28,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,29,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,30,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,31,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,32,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,33,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,34,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,35,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,36,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,37,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,38,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,39,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,40,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,41,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,42,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,43,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,44,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,45,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,46,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,47,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,48,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,49,0=53=0=2|0=67=0=2,300300=5|101=10000,2
6,50,0=53=0=2|0=67=0=2,300300=5|101=10000,2
