Setting,Comment,Value
GuildUpgradingNotice,公会升级公告,62013|62014|62016|62021|62022
GuildBankrollDayLimit,公会资金每日获取上限,1=26000000|2=28000000|3=32000000|4=37000000|5=41000000
GuildShopBuildingId,公会贩卖机建筑ID,2
GuildNewsTypeAtlasName,公会新闻图集,CommonIcon
GuildNewsTypeIconName,公会新闻类型图标（1|2|3）,UI_CommonIcon_GuildNews_Icon_01|UI_CommonIcon_GuildNews_Icon_02|UI_CommonIcon_GuildNews_Icon_03
GuildEquipRefineLevNotice,装备精炼进公会事件等级,8
GuildNoticeMailLimit,公会群发邮件字数限制,100
GuildNoticeMailCost,公会群发邮件元气消耗,100
GuildNoticeMailId,公会群发邮件ID,1004
GuildInvitedTime,邀请入会时间（秒）,10
CrystalWeekLimit,水晶升级每周限购数,1000
CrystalExpPrice,水晶升级经验单次购买价格,103=100
CrystalExpNum,水晶升级单次购买获得经验,10000
CrystalBlessingCost,水晶祈福铜币消耗,101=100000
CrystalBlessingContributionCost,水晶祈福使用贡献的消耗,101=50000|401=50
CrystalSpecifiedBlessingCost,指定祈福消耗倍率,2
CrystalBlessingEffectTime,祈福生效时间（小时）,48
CrystalChargeEffectTime,水晶充能生效时间（分钟）,20
CrystalChargeCost,水晶充能喵喵果实消耗,50
CrystalChargeEffect,水晶充能效果提升（百分比）,20
CrystalChargeRefreshCD,水晶充能刷新cd（秒）,5
CrystalExpPerTime,华丽水晶研究经验每X分钟涨一次,10
CrystalChargeMaxNum,水晶充能随机个数及概率,1=80|2=15|3=5
CrystalBlessingMaxNum,祈福获得属性条目最大个数,2
CrystalBlessingMinAttrProportion,祈福随机属性上限的最小值（百分比）,25
CrystalBuffID,华丽水晶祈福BuffID,610014001
ChairmanOffineTimeLimit,系统弹劾的会长下线时间（天）,10
NewChairmanOnlineTime,新任会长的上线时间（天）,3
GuildGiftBoxId,公会礼盒道具ID,2050002
GuildGiftBoxSpecialPack,公会礼盒打开稀有包PackId,2050002
GuildGiftBoxMessage,公会礼盒打开稀有道具信息,62034
GuildGiftBoxOpenCost,公会礼盒打开消耗,401=50
TalkActiveValuePerMounts,发言值每X条发言增加1点,5
TalkActiveValuePerWords,1条发言的有效字符数,10
RedPackActiveValue,1条红包的发言值,5
RedPackActiveValueLimit,红包获得发言值的上限,20
TalkActiveValueLimit,发言获得发言值的上限,40
SendBoxTimeLimit,加入公会未满X天的成员无法被发放礼盒,5
GiftBoxMailID,礼盒邮件ID,1005
CrystalNoticeMailId,水晶升级停止邮件,1007
WarehouseLevelLimit,公会仓库操作的公会等级限制,2
WarehouseTimeLimit,公会仓库操作的成员加入时间限制（天）,5
AuctionStartTime,系统生成拍卖清单时间,6=20=00
AuctionEndTime,系统清算拍卖时间,7=22=00
AuctionMinQuantity,系统生成拍卖最小数量限制,10
AuctionMaxQuantity,系统生成拍卖最大数量限制,15
AuctionRandomQuantity,仓库数大于最大数量时的随机生成数量,15=15
AuctionStartNoticeMailId,关注物品拍卖开始提醒邮件id,1008
AuctionChangeBiddingCd,拍卖修改竞价cd（秒）,600
AuctionCancelBiddingCd,拍卖取消竞拍cd（秒）,600
AuctionWinningBidderMailId,竞拍成功收到的邮件id,1009
AuctionFailedBidderMailId,竞拍失败收到的邮件id,1010
AuctionAbnormalMailId,拍卖非正常关闭的贡献返回邮件的id,1011
AucitonSelfRecordAmount,拍卖个人记录存储个数上限,100
AucitonGuildRecordAmount,拍卖公会记录存储个数上限,100
GuildKickNoticeMailId,被请离公会收到的通知邮件id,1012
GuildManualListDisplay,公会组织手册贡献列表展示玩家数,20
ActiveImpeachChairmanOffineTimeLimit,主动弹劾条件：会长离线时间限制,5
ActiveImpeachChairmanWeekNum,主动弹劾条件：会长连续周贡献周数限制,2
ActiveImpeachWeekContribution,主动弹劾条件：会长周贡献数值限制,350
ActiveImpeachJoinDay,主动弹劾条件：发起人弹劾判断加入公会天数,7
ActiveImpeachMoney,主动弹劾花费，格式：道具id=数量（如果需要更换货币类型，需要通知服务器，要改代码的）,103=300
ActiveImpeachOnlineDayNum,主动弹劾召集成员数量计算，上线人数天数限制,7
ActiveImpeachOnlineScale,主动弹劾召集成员数量计算，上线公会成员数量百分比（单位%）,50
ActiveImpeachTotalScale,主动弹劾召集成员数量计算，公会总人数数量百分比（单位%）,30
ActiveImpeachTime,主动弹劾召集成员响应时间限制（单位min）,120
ActiveImpeachCD,主动弹劾CD时间（单位h）,72
GuildRecommendNumLimit,公会列表筛选限制（格式：总数|步骤1|步骤2）（步骤3可以通过前3个数据算出来）,5|2|2
GuildRecommendRankNum,公会列表筛选步骤3排行前n名,5
GuildRecommendActivation,公会列表筛选步骤1和步骤2上周活跃度限制数量（格式：低活跃值|高活跃值）,20000|50000
GuildDescriptionId,公会说明在GameTipsTable中的ID,31
GuildWeekActivationEvaluation,公会周活跃评级区间,91000|35000|7000
GuildDissolutionWeekLimit,公会解散条件，连续n周公会活跃评级为非常不活跃,2
GuildSalary,公会管理的额外工资百分比，乘以公会成员消耗喵果总数再转成等额水晶(1=会长 2=副会长 3=理事 4=执事 5=魅力宝贝 6=指挥),1=8|2=5|3=2|4=2|5=2|6=4
GuildMemberSalaryAct,公会成员个人贡献程度的标准，以活跃度计，<=第二个值为B，>=第一个值为S，在中间为A,650|450
GuildSalaryAct,公会工资公会修正系数判定的标准，<=第二个值为0.8，>=第一个值为1，在中间为1.2,91000|35000
GuildSalaryCalculation,公会发展程度判定标准，以每周增加公会资金计算，<=第二个值为B，>=第一个值为S，在中间为A,4500000|1500000
GuildSalaryScratchPercent,领公会工资时刮刮卡刮掉多少比例后整个消失（百分比）,40
GuildSalaryNormalTxt,领公会工资时普通玩家的明信片文本内容,SalaryNormalText
GuildSalaryManagerTxt,领公会工资时有额外工资的管理层的明信片文本内容,SalaryAdminText
GuildManualStandard,管理周报中组织贡献度达标标准值,500
GuildRatio,达标玩家与公会玩家比例分档（%）,80|50
GuildPerformanceRatingNum,管理绩效评定第一条个人贡献达标值,500
GuildWeeklyItemID ,管理周报道具ID,2040101
GuildWeeklyPlayerNum,周报显示表现良好玩家数量,3
GuildSalaryRatioPlayer,公会工资计算公式中玩家的活跃修正（百分比），S对应第一个值，A对应第二个值，B对应第三个值,80|100|120
GuildSalaryRatioGuild,公会工资计算公式中公会的活跃修正，S对应第一个值，A对应第二个值，B对应第三个值,2000|5000|8000
GuildAuthorityText,公会管理权限本地化文本内容,GuildAuthorityText1|GuildAuthorityText2|GuildAuthorityText3|GuildAuthorityText4|GuildAuthorityText5|GuildAuthorityText6|GuildAuthorityText7|GuildAuthorityText8
GuildAppointDescriptionId,公会管理说明在GameTipsTable中的ID,32
GuildSalaryType,公会工资类型，第一个是基础工资，第二个是额外工资,101|102
GuildWeeklyAudio,第一个是打开界面，第二个是刮刮卡，第三个是领取,6102|6103|6104
MaxJoinGuildTipsNum,每日弹加公会提示次数上限,5
