ID,ProfessionID,NeedJobLvl,AwardAttribute,AwardIconAtlas,AwardIconSprite
ID,职业ID,奖励所需等级,奖励具体内容(  0.固定属性 1.Buff= 14.力量 16.智力 18.敏捷 20.灵巧 22.体质 24.幸运 = Value）,奖励图标图集,奖励图标sprite
59,3102,15,0=18=3|0=22=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
60,3102,20,0=16=3|0=18=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
61,3102,25,0=18=3|0=22=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
62,3102,30,0=14=3|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
63,3102,35,0=14=4|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
64,3102,40,0=16=3|0=18=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
65,3201,5,0=14=2|0=20=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
66,3201,10,0=18=1|0=22=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
67,3201,15,0=18=2|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
68,3201,20,0=16=2|0=22=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
69,3201,25,0=14=2|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
70,3201,30,0=14=2|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
71,3201,35,0=14=2|0=24=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
72,3201,40,0=20=2|0=22=3,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
73,3202,5,0=16=2|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
74,3202,10,0=14=3|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
75,3202,15,0=16=2|0=24=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
76,3202,20,0=14=3|0=18=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
77,3202,25,0=16=3|0=22=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
78,3202,30,0=14=3|0=18=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
79,3202,35,0=18=3|0=20=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
80,3202,40,0=20=4|0=22=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
81,4000,5,0=16=1|0=22=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
82,4000,10,0=16=1|0=22=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
83,4000,15,0=16=1|0=20=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
84,4000,20,0=16=1|0=18=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
85,4000,25,0=16=1|0=20=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
86,4000,30,0=16=1|0=24=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
87,4000,35,0=16=1|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
88,4000,40,0=16=1|0=24=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
89,4101,5,0=18=1|0=20=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
90,4101,10,0=16=2|0=18=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
91,4101,15,0=16=1|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
92,4101,20,0=16=1|0=18=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
93,4101,25,0=16=2|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
94,4101,30,0=16=2|0=22=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
95,4101,35,0=16=3|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
96,4101,40,0=16=3|0=18=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
97,4102,5,0=18=2|0=20=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
98,4102,10,0=18=3|0=22=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
99,4102,15,0=14=3|0=16=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
100,4102,20,0=16=3|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
101,4102,25,0=16=3|0=18=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
102,4102,30,0=16=3|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
103,4102,35,0=16=3|0=22=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
104,4102,40,0=16=3|0=24=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
105,5000,5,0=20=1|0=24=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
106,5000,10,0=14=1|0=20=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
107,5000,15,0=18=1|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
108,5000,20,0=16=1|0=20=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
109,5000,25,0=14=1|0=18=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
110,5000,30,0=18=1|0=24=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
111,5000,35,0=14=2|0=24=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
112,5000,40,0=18=1|0=22=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
113,5101,5,0=18=2|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
114,5101,10,0=14=2|0=16=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
115,5101,15,0=16=2|0=18=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
116,5101,20,0=18=2|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
117,5101,25,0=16=1|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
118,5101,30,0=18=2|0=22=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
119,5101,35,0=14=2|0=18=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
120,5101,40,0=14=2|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
121,5102,5,0=14=3|0=24=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
122,5102,10,0=18=3|0=20=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
123,5102,15,0=20=2|0=24=3,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
124,5102,20,0=18=3|0=22=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
125,5102,25,0=14=3|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
126,5102,30,0=18=3|0=24=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
127,5102,35,0=18=3|0=20=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
128,5102,40,0=14=3|0=18=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
129,6000,5,0=20=1|0=22=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
130,6000,10,0=14=1|0=16=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
131,6000,15,0=14=1|0=22=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
132,6000,20,0=20=1|0=24=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
133,6000,25,0=14=1|0=22=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
134,6000,30,0=18=1|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
135,6000,35,0=20=2|0=22=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
136,6000,40,0=14=2|0=24=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
137,6101,5,0=14=2|0=20=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
138,6101,10,0=20=1|0=22=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
139,6101,15,0=20=1|0=24=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
140,6101,20,0=14=1|0=22=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
141,6101,25,0=16=2|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
142,6101,30,0=20=2|0=22=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
143,6101,35,0=14=3|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
144,6101,40,0=18=2|0=20=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
145,6102,5,0=16=3|0=18=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
146,6102,10,0=20=3|0=24=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
147,6102,15,0=18=2|0=24=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
148,6102,20,0=14=3|0=22=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Vit.png
149,6102,25,0=20=3|0=24=3,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
150,6102,30,0=16=3|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
151,6102,35,0=20=3|0=22=3,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
152,6102,40,0=14=3|0=18=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
153,6201,5,0=18=1|0=20=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
154,6201,10,0=14=1|0=16=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
155,6201,15,0=18=2|0=20=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
156,6201,20,0=22=1|0=16=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Int.png
157,6201,25,0=22=2|0=20=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Dex.png
158,6201,30,0=14=2|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
159,6201,35,0=14=2|0=18=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
160,6201,40,0=16=3|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
161,6202,5,0=14=2|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
162,6202,10,0=18=2|0=16=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Int.png
163,6202,15,0=22=3|0=24=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
164,6202,20,0=14=2|0=20=4,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
165,6202,25,0=18=2|0=24=4,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
166,6202,30,0=16=4|0=24=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
167,6202,35,0=20=3|0=24=3,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
168,6202,40,0=18=2|0=20=4,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
169,7000,5,0=14=1|0=20=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
170,7000,10,0=14=1|0=18=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
171,7000,15,0=16=1|0=20=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
172,7000,20,0=14=1|0=20=1,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
173,7000,25,0=18=1|0=22=1,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
174,7000,30,0=16=1|0=24=1,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
175,7000,35,0=18=1|0=20=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
176,7000,40,0=20=2|0=24=1,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
177,7101,5,0=14=1|0=20=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
178,7101,10,0=18=1|0=22=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Vit.png
179,7101,15,0=14=1|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
180,7101,20,0=20=1|0=24=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
181,7101,25,0=20=2|0=24=2,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Luk.png
182,7101,30,0=16=2|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
183,7101,35,0=14=2|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
184,7101,40,0=16=2|0=18=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Agi.png
185,7102,5,0=16=3|0=22=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
186,7102,10,0=18=3|0=24=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
187,7102,15,0=16=3|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
188,7102,20,0=14=4|0=16=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
189,7102,25,0=22=3|0=24=3,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
190,7102,30,0=20=3|0=22=3,Icon_Function01,UI_Icon_Dex.png=UI_Icon_Vit.png
191,7102,35,0=16=3|0=22=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Vit.png
192,7102,40,0=22=3|0=24=3,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
193,7201,5,0=14=1|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
194,7201,10,0=16=1|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
195,7201,15,0=18=1|0=24=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
196,7201,20,0=14=1|0=16=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
197,7201,25,0=18=2|0=20=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
198,7201,30,0=16=2|0=24=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
199,7201,35,0=18=2|0=20=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
200,7201,40,0=22=3|0=20=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Dex.png
201,7202,5,0=18=3|0=16=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Int.png
202,7202,10,0=14=2|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
203,7202,15,0=18=3|0=24=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
204,7202,20,0=22=2|0=20=4,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Dex.png
205,7202,25,0=16=3|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
206,7202,30,0=14=2|0=18=4,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
207,7202,35,0=14=4|0=24=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Luk.png
208,7202,40,0=18=2|0=20=4,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
209,7211,5,0=14=1|0=18=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
210,7211,10,0=16=1|0=20=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
211,7211,15,0=18=1|0=24=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
212,7211,20,0=14=1|0=16=2,Icon_Function01,UI_Icon_Str.png=UI_Icon_Int.png
213,7211,25,0=18=2|0=24=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
214,7211,30,0=16=2|0=24=2,Icon_Function01,UI_Icon_Int.png=UI_Icon_Luk.png
215,7211,35,0=18=2|0=20=3,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
216,7211,40,0=22=3|0=24=2,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Luk.png
217,7212,5,0=18=3|0=16=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Int.png
218,7212,10,0=14=2|0=20=3,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
219,7212,15,0=18=3|0=24=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Luk.png
220,7212,20,0=22=2|0=20=4,Icon_Function01,UI_Icon_Vit.png=UI_Icon_Dex.png
221,7212,25,0=16=3|0=20=3,Icon_Function01,UI_Icon_Int.png=UI_Icon_Dex.png
222,7212,30,0=14=2|0=18=4,Icon_Function01,UI_Icon_Str.png=UI_Icon_Agi.png
223,7212,35,0=18=4|0=20=2,Icon_Function01,UI_Icon_Agi.png=UI_Icon_Dex.png
224,7212,40,0=14=2|0=20=4,Icon_Function01,UI_Icon_Str.png=UI_Icon_Dex.png
