CardId,CardName,UpgradeCost,UpgradeId
402001802,2星兽牙怪卡片,402001802=2,402001803
402001902,2星弑神者卡片,402001902=2,402001903
403000102,2星波利卡片,403000102=2,403000103
403000202,2星虫蛹卡片,403000202=2,403000203
403000402,2星盗虫卡片,403000402=2,403000403
403001102,2星大嘴鸟卡片,403001102=2,403001103
403001702,2星绿苍蝇卡片,403001702=2,403001703
403000902,2星野猪卡片,403000902=2,403000903
403001502,2星泥人卡片,403001502=2,403001503
403000602,2星幽灵波利卡片,403000602=2,403000603
403001602,2星帕莎纳卡片,403001602=2,403001603
403002702,2星暗神官卡片,403002702=2,403002703
404000502,2星秃鹰卡片,404000502=2,404000503
404000902,2星龙蝇卡片,404000902=2,404000903
404000102,2星蓝疯兔卡片,404000102=2,404000103
404000602,2星巧克猴卡片,404000602=2,404000603
404001102,2星蚯蚓卡片,404001102=2,404001103
404000202,2星猎蝇卡片,404000202=2,404000203
404000802,2星小巴风特卡片,404000802=2,404000802
404002202,2星傀儡娃娃卡片,404002202=2,404002203
404002402,2星幽灵剑士卡片,404002402=2,404002403
404002502,2星朽魔卡片,404002502=2,404002503
405000102,2星苍蝇卡片,405000102=2,405000103
405000502,2星腐尸卡片,405000502=2,405000503
405000602,2星玛勒盗虫卡片,405000602=2,405000603
405000702,2星转转蛋卡片,405000702=2,405000703
405000202,2星木乃伊犬卡片,405000202=2,405000203
405000302,2星人鱼士兵卡片,405000302=2,405000303
405000802,2星鬼女卡片,405000802=2,405000803
405001202,2星狂暴野猫卡片,405001202=2,405001203
405001302,2星地狱梦魇卡片,405001302=2,405001303
405001502,2星腐尸战俘卡片,405001502=2,405001503
406000402,2星魔菇卡片,406000402=2,406000403
406000702,2星森灵卡片,406000702=2,406000703
406000102,2星克瑞米卡片,406000102=2,406000103
406000202,2星溜溜猴卡片,406000202=2,406000203
406000802,2星邪骸海盗卡片,406000802=2,406000803
406000902,2星气泡虫卡片,406000902=2,406000903
406001502,2星螳螂卡片,406001502=2,406001503
406001602,2星剑鱼卡片,406001602=2,406001603
406002502,2星犬妖卡片,406002502=2,406002503
406002602,2星恶灵卡片,406002602=2,406002603
406003102,2星鹗枭首领卡片,406003102=2,406003103
406003202,2星邪恶使者卡片,406003202=2,406003203
407000102,2星树精卡片,407000102=2,407000103
407001702,2星钢鬃巨熊卡片,407001702=2,407001703
407000302,2星土拨鼠卡片,407000302=2,407000303
407000402,2星松鼠卡片,407000402=2,407000403
407000802,2星马尔杜克卡片,407000802=2,407000803
407000202,2星小恶魔卡片,407000202=2,407000203
407000602,2星狂暴蚁后卡片,407000602=2,407000603
407001802,2星迷幻之王卡片,407001802=2,407001803
407002202,2星钟塔守护者卡片,407002202=2,407002203
