ItemID,ItemName,ItemAtlas,ItemIcon,TypeTab,Subclass,SortID,LevelLimit,ItemQuality,IsRare,Star,ItemDescription,ItemDesType,SexLimit,Profession,Overlap,PromptFx,CanStorehouse,CanCart,CanQuick,RecycleValue,GuildUpsetPrice,ShowRecycleButton,QuickUse,AccessPrompt,CanUse,Weight,MerchantAddition,TimeType,CountTime,ParentID,IsFAQImport,TimeLimitRecycleValue,LocalizationArea,TaskItemAbandon,CultivationRelated
1000,战功章,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000206,0=-1,2,,,用来升级人物纹章的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1001,助攻章,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来升级宠物纹章的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1002,游历之章,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来升级任务头衔的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1003,冒险之章,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来升级任务头衔的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1004,风行之章,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来升级任务头衔的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1005,征服之章,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来升级任务头衔的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1006,自由之章,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来升级任务头衔的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1007,齿轮精粹,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来升级贝鲁兹齿轮等级的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
1008,齿轮结晶,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,301,421000207,0=-1,2,,,用来打造贝鲁兹齿轮的珍惜材料,,2,0=0,999,0,1,0,0,,,0,0,,0,0,0,,,,1,,,,
90000,浓缩柳橙汁,Icon_PokemonItem,UI_icon_item_nongsuoliuchengzhi.png,2,204,691032004,0=-1,2,,,酸酸甜甜的柳橙汁，可用来诱捕部分宠物,,2,0=0,999,0,1,1,0,,,0,0,,1,1,1,,,,1,,,,
90001,彩色红萝卜,Icon_PokemonItem,UI_icon_item_caisehuluobo.png,2,204,691032004,0=-1,2,,,有五种彩虹光芒颜色的红萝卜，隐隐约约的香气实在诱人，可用来诱捕部分宠物,,2,0=0,999,0,1,1,0,,,0,0,,1,1,1,,,,1,,,,
90010,宠物果冻,Icon_PokemonItem,UI_icon_item_Lvguodong.png,3,204,551027001,0=-1,3,,,香甜的果冻，可以提高宠物的饱食度。使用后可以提升<color=$$Green$$>10</color>点饱食度,,2,0=0,999,0,1,1,0,,,0,0,,1,1,0,,,,1,,,,
90020,积木,Icon_ItemMaterial01,UI_icon_item_ziseranliao.png,3,204,551027002,0=-1,3,,,有趣的益智小玩具，可拼搭出各种造型，可以提高宠物和自己的亲密度。使用后可以提升<color=$$Green$$>2</color>点亲密度,,2,0=0,999,0,1,1,0,,,0,0,,1,1,0,,,,1,,,,
90030,宠物初级经验书,Icon_PokemonItem,UI_icon_item_Jingyanshu1.png,3,204,551027003,0=-1,1,,,古代流传至今的宠物养育指南，可以提升宠物的经验值。使用后可以提升<color=$$Green$$>10000</color>点经验值,,2,0=0,999,0,1,1,0,,,0,0,,1,1,0,,,,1,,,,
90040,宠物中级经验书,Icon_PokemonItem,UI_icon_item_Jingyanshu2.png,3,204,551027003,0=-1,2,,,古代流传至今的宠物养育指南，可以显著提升宠物的经验值。使用后可以提升<color=$$Green$$>100000</color>点经验值,,2,0=0,999,0,1,1,0,,,0,0,,1,1,0,,,,1,,,,
90041,宠物高级经验书,Icon_PokemonItem,UI_icon_item_Jingyanshu3.png,3,204,551027003,0=-1,3,,,古代流传至今的宠物养育指南，可以大幅提升宠物的经验值。使用后可以提升<color=$$Green$$>1000000</color>点经验值,,2,0=0,999,0,1,1,0,,,0,0,,1,1,0,,,,1,,,,
90050,灵露,Icon_PokemonItem,UI_icon_item_Linglu1.png,3,204,551027003,0=-1,3,,,从高山提取的有灵气的露水，富有神秘力量，可以使宠物资质发生变化,,2,0=0,999,0,1,1,0,,,0,0,,1,1,0,,,,1,,,,
90070,荷露珠,Icon_PokemonItem,UI_icon_item_Fuhuolu.png,2,204,670100100,0=-1,3,,,荷叶上清莹的露珠，蕴含奇妙的魔力，可唤醒重伤的宠物,,2,0=0,9999,0,0,0,0,,,0,0,,0,0,0,,,,1,,,,
90100,波利果,Icon_PokemonItem,UI_icon_item_Boliguo.png,2,201,670100100,0=-1,3,,,神奇的波利果，集齐到一定数量可以兑换珍稀宠物。,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90101,波利果礼盒,Icon_PokemonItem,UI_icon_item_boliguolihe.png,2,211,670100100,0=-1,3,,,打开后随机获得1-5个波利果，同时概率获取多个灵露。,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90110,大嘴鸟公仔,Icon_PokemonItem,UI_icon_item_dazuiniao.png,2,201,670100100,0=-1,4,,,大嘴鸟的公仔，集齐到一定数量可以兑换传说宠物。,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90111,大嘴鸟公仔礼盒,Icon_PokemonItem,UI_icon_item_dazuiniaolihe.png,2,211,670100100,0=-1,4,,,打开后可以获得1-5个大嘴鸟的公仔，同时概率获取多个灵露。,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90120,疯兔奶糖,Icon_PokemonItem,UI_icon_item_Naitang.png,2,201,670100100,0=-1,2,,,香甜的疯兔奶糖，集齐到一定数量可以兑换高级宠物。,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90121,疯兔奶糖礼盒,Icon_PokemonItem,UI_icon_item_naitanglihe.png,2,211,670100100,0=-1,2,,,打开后可以获得1-5个疯兔奶糖。,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90130,启迪之石,Icon_ItemConsumables01,UI_icon_item_HuanXiangJieJing.png,2,201,670100100,0=-1,2,,,具有神秘力量的石头，可以激发宠物的潜力。可解锁宠物的技能栏位。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90131,高级启迪之石,Icon_ItemConsumables01,UI_icon_item_HuanXiangJieJing.png,2,201,670100100,0=-1,3,,,具有神秘力量的石头，可以激发宠物的潜力。可解锁宠物的技能更多栏位。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90210,技能残卷,Icon_PokemonItem,UI_icon_item_Canjuan.png,2,201,670100100,0=-1,2,,,残碎的技能书卷轴，可以合成完整的技能书卷轴-使用后可以随机获得一本宠物技能书。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90211,神秘技能书卷轴,Icon_PokemonItem,UI_icon_item_Jinengshu4.png,2,201,670100100,0=-1,3,,,神秘的技能书卷轴，打开后可以随机获得一本宠物技能书。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90212,宠物惊喜礼盒,Icon_ItemConsumables03,UI_icon_item_bafengte01.png,2,211,991091204,0=-1,3,,,打开后随机获得宠物相关道具。,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,1,,,,
90310,完整技能页,Icon_PokemonItem,UI_icon_item_Jinengshu4.png,2,201,670100100,0=-1,1,,,残卷合成的卷轴，使用后随机获得一份普通技能。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90320,精良技能书页,Icon_PokemonItem,UI_icon_item_Jinengshu4.png,2,201,670100100,0=-1,2,,,使用书页后，随机获得一份宠物技能书。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90330,优质技能书页,Icon_PokemonItem,UI_icon_item_Jinengshu4.png,2,201,670100100,0=-1,3,,,使用书页后，随机获得一份宠物技能书。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90410,宠物红色药水,Icon_ItemConsumables02,UI_icon_item_tongseyaoji2.png,2,205,670100100,0=-1,1,,,使用后为宠物回复一定数量生命值。,,2,0=0,999,0,0,0,1,,,0,0,,0,0,0,,,,1,,,,
90420,宠物蓝色药水,Icon_ItemConsumables02,UI_icon_item_tongseyaoji1.png,2,205,670100100,0=-1,1,,,使用后为宠物回复一定数量魔法值。,,2,0=0,999,0,0,0,1,,,0,0,,0,0,0,,,,1,,,,
90430,宠物料理,Icon_ItemConsumables01,UI_icon_item_zhengpangxie.png,2,204,670100100,0=-1,2,,,每10秒回复宠物5%魔法值和5%生命值，持续20分钟。,,2,0=0,999,0,0,0,1,,,0,0,,0,0,0,,,,1,,,,
90440,宠物爆发药剂,Icon_ItemConsumables01,UI_icon_item_huoshuxingdikangyaoshui.png,2,204,670100100,0=-1,2,,,宠物的物理攻击和魔法攻击提升8%，持续20分钟。,,2,0=0,999,0,0,0,1,,,0,0,,0,0,0,,,,1,,,,
90510,地灵晶,Icon_ItemMaterial01,UI_icon_item_fenglingkuangshi.png,2,204,670100100,0=-1,2,,,可令宠物攻击元素属性变更为地系，持续20分钟。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90520,风灵晶,Icon_ItemMaterial01,UI_icon_item_dilingkuangshi.png,2,204,670100100,0=-1,2,,,可令宠物攻击元素属性变更为风系，持续20分钟。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90530,火灵晶,Icon_ItemMaterial01,UI_icon_item_huolingkuangshi.png,2,204,670100100,0=-1,2,,,可令宠物攻击元素属性变更为火系，持续20分钟。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90540,水灵晶,Icon_ItemMaterial01,UI_icon_item_shuilingkuangshi.png,2,204,670100100,0=-1,2,,,可令宠物攻击元素属性变更为水系，持续20分钟。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90610,碎裂罗盘I,Icon_PokemonItem,UI_icon_item_Sibao1.png,2,201,670100100,0=-1,2,,,神秘罗盘的一角，凑齐完整罗盘有机会获取惊喜奖励。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90620,碎裂罗盘II,Icon_PokemonItem,UI_icon_item_Sibao2.png,2,201,670100100,0=-1,2,,,神秘罗盘的一角，凑齐完整罗盘有机会获取惊喜奖励。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90630,碎裂罗盘III,Icon_PokemonItem,UI_icon_item_Sibao3.png,2,201,670100100,0=-1,2,,,神秘罗盘的一角，凑齐完整罗盘有机会获取惊喜奖励。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90640,碎裂罗盘IV,Icon_PokemonItem,UI_icon_item_Sibao4.png,2,201,670100100,0=-1,3,,,神秘罗盘的一角，凑齐完整罗盘有机会获取惊喜奖励。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90650,神秘罗盘,Icon_PokemonItem,UI_icon_item_Sibao.png,2,201,670100100,0=-1,3,,,,2,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90700,稀有宠物装备盒,Icon_PokemonItem,UI_icon_item_Rollequip.png,2,211,670100100,0=-1,2,,,打开后随机获得一件符合自身等级的稀有宠物装备。,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90710,一件普通宠物装备,Icon_ItemConsumables01,UI_icon_item_zaipeishu.png,2,211,670100100,0=-1,1,,,一件普通宠物装备,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90720,一件精良宠物装备,Icon_ItemConsumables01,UI_icon_item_zaipeishu.png,2,211,670100100,0=-1,2,,,一件精良宠物装备,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90730,一件优质宠物装备,Icon_ItemConsumables01,UI_icon_item_zaipeishu.png,2,211,670100100,0=-1,3,,,一件优质宠物装备,,2,0=0,999,0,0,0,0,,,0,0,,0,1,0,,,,1,,,,
90740,Ⅰ型宠物普通装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90750,Ⅱ型宠物普通装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90760,Ⅲ型宠物普通装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90770,Ⅳ型宠物普通装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90780,Ⅴ型宠物普通装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90790,Ⅰ型宠物稀有装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90800,Ⅱ型宠物稀有装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90810,Ⅲ型宠物稀有装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90820,Ⅳ型宠物稀有装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90830,Ⅴ型宠物稀有装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90840,Ⅱ型宠物传说装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90850,Ⅲ型宠物传说装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90860,Ⅳ型宠物传说装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90870,Ⅴ型宠物传说装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,3,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90880,Ⅰ型宠物普通装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90890,Ⅱ型宠物普通装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90900,Ⅲ型宠物普通装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90910,Ⅳ型宠物普通装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90920,Ⅴ型宠物普通装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip3.png,2,211,993091002,0=-1,2,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90930,Ⅰ型宠物稀有装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90940,Ⅱ型宠物稀有装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90950,Ⅲ型宠物稀有装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90960,Ⅳ型宠物稀有装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90970,Ⅴ型宠物稀有装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90980,Ⅱ型宠物传说装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
90990,Ⅲ型宠物传说装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91000,Ⅳ型宠物传说装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91010,Ⅴ型宠物传说装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,4,,,,2,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91020,宠物技能书,Icon_ItemConsumables02,UI_icon_item_Zidongdiaoyushu.png,2,226,810000990,0=-1,3,,,可以供宠物学习的技能书，提升宠物战斗实力。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,0,,,,
91030,宠物装备,Icon_PokemonItem,UI_icon_item_lingyuwuqi.png,28,2802,830231011,0=-1,3,,,可以供宠物穿戴的装备，提升宠物战斗实力。,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,0,,,,
91040,稀有宠物装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,打开后可以任意选择一件稀有宠物装备，跟随玩家等级变化而变化。,0,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91050,稀有宠物装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip2.png,2,211,993091002,0=-1,3,,,打开后可以随机获取一件稀有宠物装备，跟随玩家等级变化而变化。,0,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91060,传说宠物装备自选箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,70=-1,4,,,打开后可以任意选择一件传说宠物装备，跟随玩家等级变化而变化。,0,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91070,传说宠物装备随机箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,70=-1,4,,,打开后可以随机获取一件传说宠物装备，跟随玩家等级变化而变化。,0,2,0=0,99,0,1,0,0,,,0,0,2,1,1,0,,,,,,,,
91080,梦境普通礼盒,Icon_ItemMaterial05,UI_icon_item_enchanbox1.png,2,211,993091002,0=-1,3,,,打开后可以获得大量宠物装备，参与击杀霍德尔梦境中的梦之虚念获得。,0,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91090,梦境珍稀礼盒,Icon_ItemMaterial05,UI_icon_item_enchanbox1.png,2,211,993091002,0=-1,4,,,打开后可以获得大量宠物装备，参与击杀霍德尔梦境中的噩梦残魂获得。,0,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
91100,神秘宠物装备箱,Icon_PokemonItem,UI_icon_item_Rollequip4.png,2,211,993091002,0=-1,3,,,打开后可以随机获取一件宠物装备。75%概率获得普通宠物装备，25%概率获得稀有宠物装备。,0,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,,,,,
100100,琥珀,Icon_PokemonItem,UI_icon_item_Hupo.png,2,201,670100100,0=-1,3,,,经过岁月洗礼，具有神秘的力量，可以用于强化宠物的装备,,2,0=0,9999,0,0,0,0,,,0,0,,0,0,0,,,,1,,,,
100101,小型琥珀甲胄,Icon_PokemonItem,UI_icon_item_Hupojia.png,2,211,670100100,0=-1,2,,,打开后可以随机获得50-150个琥珀。,,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,1,,,,
100102,中型琥珀甲胄,Icon_PokemonItem,UI_icon_item_Hupojia.png,2,211,670100100,0=-1,3,,,打开后可以随机获得200-400个琥珀。,,2,0=0,99,0,1,0,0,,,0,0,,1,1,0,,,,1,,,,
100110,琥珀甲胄,Icon_PokemonItem,UI_icon_item_Hupojia.png,2,211,670100100,0=-1,3,,,用途不明的琥珀甲胄，像是某个上古文明的产物，分解之后可以获得大量强化琥珀。,,2,0=0,9999,0,0,0,0,,,0,0,,0,0,0,,,,1,,,,
110100,近战普攻,Icon_ItemConsumables01,UI_icon_item_zaipeishu.png,2,226,810000100,0=-1,3,,,,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,0,,,,
110101,中距普攻,Icon_ItemConsumables01,UI_icon_item_zaipeishu.png,2,226,810000101,0=-1,3,,,,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,0,,,,
110102,远程普攻,Icon_ItemConsumables01,UI_icon_item_zaipeishu.png,2,226,810000102,0=-1,3,,,,,2,0=0,99,0,0,0,0,,,0,0,,0,1,0,,,,0,,,,
