MajorId,Name,SystemIcon,Tips
14,委托,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo02.png|ui_Howtoplay_Weituo03.png|ui_Howtoplay_Weituo04.png,委托活动是每天随机刷新的，每天会刷新各种各样的委托，种类丰富，玩家可以根据自身实力和喜好接取任务。|除了猫手商队和恶魔宝藏，接取其他委托时需要消耗委托券，委托券上限随着玩家等级提升而增长。|当每天消耗的委托券达到60时，可以在犒赏界面中领取奖励。|纹章可以互相赠送，集齐任意5种纹章就可以参与周末的主题派对，赢取丰厚大奖。
15,恶魔宝藏,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
16,猫手商队,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
17,波利精灵,ui_Howtoplay_Boli01.png,有一群古灵精怪的波利精灵遍布在世界的各个角落，街边的摊头也是贪吃的波利最爱去的地方之一，快去找找看吧~
18,公会狩猎,ui_Howtoplay_Gonghuishoulie01.png|ui_Howtoplay_Gonghuishoulie02.png|ui_Howtoplay_Gonghuishoulie03.png|ui_Howtoplay_Gonghuishoulie05.png|ui_Howtoplay_Gonghuishoulie04.png,50级会开放公会狩猎，每个公会每周可由会长或副会长开启1次，开启后持续4小时，完成公会手册目标可获取1次额外开启次数|开启后狩猎房间会出现3个传送门，对应3种难度，普通和困难难度的狩猎会有对应次数，次数全部清掉即算狩猎成功|普通和困难狩猎需要合理搭配组队完成，完成简单副本到达指定次数或者使用获取的封印碎片会降低困难狩猎的难度|活动持续4小时，没有时间组队或是能力不足的玩家可以选择单人进行简单难度的挑战，完成狩猎和首次通关困难狩猎会在公会中洒下宝箱|每人有2次获得奖励的机会，同时会有5次获得积分的机会（助战他人也算积分），狩猎结束后积分靠前的成员会获得可发放的公会红包
19,时空调查团,ui_Howtoplay_TimeTask01.png|ui_Howtoplay_TimeTask02.png|ui_Howtoplay_TimeTask03.png|ui_Howtoplay_TimeTask04.png|ui_Howtoplay_TimeTask05.png,时空调查团现在是公会活动，只能和公会成员一起组队参与。|服务器等级达到60级，玩家50级以上可以参与，每日12-21点每隔3小时刷新一次事件，每日可获得一次奖励。|与公会中福金的追随者对话可以查询当前是否有事件发生以及事件发生的地图。|事件所在地左上会有标记显示，点击还可以知道事件还剩余的时间，每个事件持续3小时。|在靠近事件NPC时会在小地图上看到明显的标记圈，对应的时空副本中可能会出现分支选项，你的选择会影响到副本的结局，可以尝试走一走不同的分支。
20,贤者的回忆,ui_Howtoplay_ThemeDungeon02.png|ui_Howtoplay_ThemeDungeon04.png|ui_Howtoplay_ThemeDungeon01.png|ui_Howtoplay_ThemeDungeon03.png,随着玩家等级成长，会逐渐解锁更多大贤者回忆的章节剧情副本，跟随巴雷蒙德一起探索依米尔之心秘密吧。|通关每一章节剧情副本可领取相应的首通报酬，之后挑战将不再获得任何奖励。助战他人通关可以获得助战奖励。|赫尔海姆扰动玩法是可以重复挑战并且获得通关奖励的周常玩法，有对应的日/周挑战次数上限。|该模式有三种难度，可选择适合自身实力的难度进行挑战。该模式下助战他人通关亦可获得助战奖励。每周通关一定次数可以领取周活跃奖励。
21,喷泉舞蹈会,ui_Howtoplay_Stayplay01.png|ui_Howtoplay_Stayplay02.png|ui_Howtoplay_Stayplay03.png,玩家可以根据自身情况选择不同的跳舞时间，时间越长委托券消耗越多，奖励与委托券等比例发放。|玩家可以邀请好友一起跳舞，有几率触发额外的buff哦。|一起跳舞的玩家达到一定人数将会触发烟花，希望你能和更多冒险家们来见证烟花绽放。
22,公会双人烹饪,ui_Howtoplay_Cookoff01.png|ui_Howtoplay_Cookoff02.png|ui_Howtoplay_Cookoff03.png|ui_Howtoplay_Cookoff04.png|ui_Howtoplay_Cookoff05.png,双人进入宴会筹备场景，队长和队员会分别出现在两个区域，两个区域之间可以通过传送门通行。|按照厨师提供的食谱在食材区取出对应食材，将食材运送至厨师面前桌上并上交食材，上交所有食材即完成厨师食谱订单。|场景中会出现一些随机增益BUFF，BUFF还会提供额外积分，不要忘了移动拾取哦。|每隔一段时间，食材区会发生位置变化，结合食谱和食材区位置，提前规划路线能极大提高效率。|愉快的宴会筹备结束后，会统计最终的烹饪积分和完成菜谱数量。赶紧找上默契的小伙伴试一试吧。
23,博仁斯攻略战,ui_Howtoplay_huntplay1.png|ui_Howtoplay_huntplay2.png,参与博仁斯攻略战，通过采集、打怪、击败敌方玩家可以获得积分和碎片。|积分可以竞争排行榜名次，赢取气泡框、称号等排行榜奖励；碎片可以在商店兑换丰厚的奖励。
24,时空模拟战玩法,ui_Howtoplay_5V501.png|ui_Howtoplay_5V502.png|ui_Howtoplay_5V503.png|ui_Howtoplay_5V504.png|ui_Howtoplay_5V505.png|ui_Howtoplay_5V506.png,当只有一个队伍的玩家在车子附近时车子会朝对面移动，人数越多车子移动速度越快，当有3人时会到达最高速度。|当双方都在车子附近时车子会停止移动，此时需要赶走或击败对面玩家才能继续推进，牧师职业玩家在此场景无法复活队友哦！|当到达对方检查点时车子会停下进行充能突破，上方界面显示的圈转完后代表突破完成，此后哪怕车子被推回，再次经过时无需再次突破。|场地中央的空间跃进器会不时刷新变成可使用状态，使用后会让车向中央闪现一大段距离，需要双方考虑是否使用以及何时使用。|当车到达检查点时，拥有该检查点的一方的祭坛会激活，前去开启祭坛可以使己方获得超级强力的增益，敌方也可以摧毁祭坛。|时间结束时谁突破对方防线距离长谁会获胜，如果车直接推进到对方基地也可直接获胜。时间结束时劣势方有人在车旁会激活加时阶段，无人时会开始读条，读条时间结束，比赛正式结束
25,时空模拟战战斗玩法推车,ui_Howtoplay_5V501.png|ui_Howtoplay_5V502.png|ui_Howtoplay_5V503.png|ui_Howtoplay_5V504.png|ui_Howtoplay_5V505.png|ui_Howtoplay_5V506.png,当只有一个队伍的玩家在车子附近时车子会朝对面移动，人数越多车子移动速度越快，当有3人时会到达最高速度。|当双方都在车子附近时车子会停止移动，此时需要赶走或击败对面玩家才能继续推进，牧师职业玩家在此场景无法复活队友哦！|当到达对方检查点时车子会停下进行充能突破，上方界面显示的圈转完后代表突破完成，此后哪怕车子被推回，再次经过时无需再次突破。|场地中央的空间跃进器会不时刷新变成可使用状态，使用后会让车向中央闪现一大段距离，需要双方考虑是否使用以及何时使用。|当车到达检查点时，拥有该检查点的一方的祭坛会激活，前去开启祭坛可以使己方获得超级强力的增益，敌方也可以摧毁祭坛。|时间结束时谁突破对方防线距离长谁会获胜，如果车直接推进到对方基地也可直接获胜。时间结束时劣势方有人在车旁会激活加时阶段，无人时会开始读条，读条时间结束，比赛正式结束
26,时空模拟战战斗玩法大乱斗,ui_Howtoplay_5V5_2ndSeason_zhuanpan.png|ui_Howtoplay_5V5_2ndSeason_Mode1_01.png|ui_Howtoplay_5V5_2ndSeason_Mode1_02.png|ui_Howtoplay_5V5_2ndSeason_Mode1_03.png|ui_Howtoplay_5V5_2ndSeason_Mode2_01.png|ui_Howtoplay_5V5_2ndSeason_Mode2_02.png|ui_Howtoplay_5V5_2ndSeason_Mode2_03.png|ui_Howtoplay_5V5_2ndSeason_Mode3_01.png|ui_Howtoplay_5V5_2ndSeason_Mode3_02.png,玩家将从下列几个玩法中随机一个开始战斗|变身大作战：玩家可以通过拾取道具球变身为MVP怪物|变身大作战：击杀敌方玩家赢得团队分数，但自身的赏金分数也会增加|变身大作战：时间到达后，团队积分高的队伍胜出|波利币大作战：攻击场景中间的天使波利来加速波利币的产出|波利币大作战：击败对手来拾取他们的波利币|波利币大作战：时间到达后，团队波利币数量多的队伍胜出|国王保卫战：队伍中的一个随机玩家变身为国王，国王属性会大幅度提高哦（国王模式中时空药品无法使用）|国王保卫战：击败敌方国王来获得胜利！（国王模式中时空药品无法使用）
27,时空模拟战战斗玩法大乱斗玩法一,ui_Howtoplay_5V5_2ndSeason_Mode1_01.png|ui_Howtoplay_5V5_2ndSeason_Mode1_02.png|ui_Howtoplay_5V5_2ndSeason_Mode1_03.png,变身大作战：玩家可以通过拾取道具球变身为MVP怪物|变身大作战：击杀敌方玩家赢得团队分数，但自身的赏金分数也会增加|变身大作战：时间到达后，团队积分高的队伍胜出
28,时空模拟战战斗玩法大乱斗玩法二,ui_Howtoplay_5V5_2ndSeason_Mode2_01.png|ui_Howtoplay_5V5_2ndSeason_Mode2_02.png|ui_Howtoplay_5V5_2ndSeason_Mode2_03.png,波利币大作战：攻击场景中间的天使波利来加速波利币的产出|波利币大作战：击败对手来拾取他们的波利币|波利币大作战：时间到达后，团队波利币数量多的队伍胜出
29,时空模拟战战斗玩法大乱斗玩法三,ui_Howtoplay_5V5_2ndSeason_Mode3_01.png|ui_Howtoplay_5V5_2ndSeason_Mode3_02.png,国王保卫战：队伍中的一个随机玩家变身为国王，国王属性会大幅度提高哦（国王模式中时空药品无法使用）|国王保卫战：击败敌方国王来获得胜利！（国王模式中时空药品无法使用）
30,心之道场,ui_Howtoplay_Daochang01.png|ui_Howtoplay_Daochang02.png|ui_Howtoplay_Daochang03.png|ui_Howtoplay_Daochang04.png,在心之道场中，你需要在有限时间内击败足够的魔物来磨练自己，使自己的内心变得更加强大。超过限定时间或者被击败两次就失败了哦。|在进入心之道馆前，侍者会为你送上祝福，你可任选三个，在击败每层的BOSS后，心之道馆侍者也会出现，可在此时更换祝福，有更换次数限制。|每当击败魔物时进度条会增长，击败精英怪会大幅增长进度条，进度条满了之后会出现本层的BOSS，当击败它后，心之道馆的侍者会指引你进入下一层。|在心之道馆中徘徊着旅人，他们会为过路者送上祝福。在道馆的一些隐秘处也会藏有神龛，祈祷后可能会有意想不到的效果。
31,公会说明,ui_gonghuishuoming01.png|ui_gonghuishuoming02.png|ui_gonghuishuoming03.png,亲爱的冒险者，在米德加兹大陆上一个人孤独的冒险难免枯燥和无聊呢，不如加入一个心仪的公会吧！加入公会后可以认识更多志同道合的朋友。你和公会的朋友们可以互相帮助，互相切磋，组队击杀强大的魔物，通过困难重重的神秘关卡......这些精彩在你加入公会后都可以去经历。|亲爱的冒险者，加入公会后可以享受公会专属的福利哦！根据公会经营等情况，所有成员每周都可以领取一次大量铜币奖励。除此之外，每天都可以参与公会签到和公会红包，获得公会贡献、经验、zeny和铜币等奖励。此外，还有更多福利等待你去探索！|亲爱的冒险者，加入公会后可以参加公会专属的活动哦！每周二、四、六有公会宴会活动哦，参加可以获得大量经验。每天和公会成员组队参与时空副本可以获得公会贡献和经验。卢恩王国举办了公会间的皇室竞赛，公会成员参与公会活动即可为自己的公会赢得更多的排行积分哦！此外，还有更多活动等待你去探索！
32,公会管理说明,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,公会需要活跃的小伙伴共同运转，可以通过公会界面【信息】页签中的修改招募宣言功能吸引其他冒险者的加入，也可以在这里修改公会公告，对公会内的伙伴们宣布事项。|理事及以上职位成员，可以通过【招募成员】按钮，快速发布公会招募信息，为公会招收新成员。|对于表现尤为突出的公会小伙伴，可以通过【管理】页签的任命成员功能，任命其为公会管理成员，共同打造优秀公会。|理事及以上职位成员，可以在公会【成员】中查看公会成员的活跃和离线时间显示，定时提醒不活跃成员是维护公会活跃一环。|此外，公会需要公会资金运转，系统每周会扣除一定的维护资金，当资金不足时，公会可能会面临降级或解散的风险，所以请督促小伙伴们积极完成公会任务并进行公会捐献。|除维护资金之外，理事及以上职位成员可以使用多余的公会资金升级公会建筑，升级公会建筑可以为公会提供诸多福利，点击【管理】页签中的【前往升级建筑】就可以快速前往啦。|公会管理每周一会通过邮件收到管理周报，周报中会记录上一周公会的资金获得情况、公会健康状况、公会成员活跃情况以及特别优秀成员，请及时查收并查阅周报。|周报中还会对您上周的管理贡献进行评定，您的管理评级与公会健康度、公会成员活跃程度以及个人活跃程度有关，其中特别优异的管理还会拿到专属奖励哦，请您多多加油吧！
