FashionID,FashionName,FashionModel,IsHikaru,SortID,FashionFrame,Coloration,ItemQuality,ItemGrade,IdleAnim,RunAnim,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone,IsHide,LocalizationArea
1010014,童话世界,Fashion_F_GongTin_Body,1,10,0,0,4,2,Fashion_F_GongTin_Idle,Fashion_F_GongTin_Run,90,80,80,60,50,,
1010015,魔法日记,Fashion_M_MoFa_Body,1,11,0,0,4,2,Fashion_M_MoFa_Idle,Fashion_M_MoFa_Run,100,-90,50,50,-100,,
1010016,魔法日记,Fashion_F_MoFa_Body,1,12,0,0,4,2,Fashion_F_MoFa_Idle,Fashion_F_MoFa_Run,100,-90,50,50,-100,,
1010017,糯糯鼠玩偶服,Fashion_M_WanOu_Body,1,13,0,0,4,1,Fashion_M_WanOu_Idle,Fashion_M_WanOu_Run,-80,-90,60,100,-80,,
1010018,软软鼠玩偶服,Fashion_F_WanOu_Body,1,14,0,0,4,1,Fashion_F_WanOu_Idle,Fashion_F_WanOu_Run,-80,-90,60,100,-80,,
1010019,超萌学园,Fashion_M_XueYuan_Body,1,15,0,0,4,1,Fashion_M_XueYuan_Idle,Fashion_M_XueYuan_Run,80,-80,80,50,-80,,9
1010020,超萌学园,Fashion_F_XueYuan_Body,1,16,0,0,4,1,Fashion_F_XueYuan_Idle,Fashion_F_XueYuan_Run,80,-80,80,50,-80,,9
1010021,传统韩服,Fashion_M_HanFu01_Body,1,17,0,0,4,1,Fashion_M_HanFu01_Idle,Fashion_M_HanFu01_Run,100,90,90,80,-80,,9
1010022,传统韩服,Fashion_F_HanFu01_Body,1,18,0,0,4,1,Fashion_F_HanFu01_Idle,Fashion_F_HanFu01_Run,100,90,90,80,-80,,9
1010023,两小无猜,Fashion_M_HanFu02_Body,1,19,0,0,4,1,Fashion_M_HanFu02_Idle,Fashion_M_HanFu02_Run,90,-80,90,90,-90,,9
1010024,两小无猜,Fashion_F_HanFu02_Body,1,20,0,0,4,1,Fashion_F_HanFu02_Idle,Fashion_F_HanFu02_Run,90,-80,90,90,-90,,9
1010025,idol look,Fashion_M_Idol_Body,1,21,0,0,4,1,Fashion_M_Idol_Idle,Fashion_M_Idol_Run,90,90,90,-80,60,,
1010026,idol look,Fashion_F_Idol_Body,1,22,0,0,4,1,Fashion_F_Idol_Idle,Fashion_F_Idol_Run,90,90,90,-80,60,,
1010027,海浪之歌,Fashion_M_JunZhuang_Body,1,21,0,0,4,1,Fashion_M_JunZhuang_Idle,Fashion_M_JunZhuang_Run,-95,80,100,60,-100,,9
1010028,海浪之歌,Fashion_F_JunZhuang_Body,1,22,0,0,4,1,Fashion_F_JunZhuang_Idle,Fashion_F_JunZhuang_Run,-95,80,100,60,-100,,9
1010029,私家侦探,Fashion_M_ZhenTan_Body,1,23,0,0,4,1,Fashion_M_ZhenTan_Idle,Fashion_M_ZhenTan_Run,-80,80,90,70,80,,9
1010030,私家侦探,Fashion_F_ZhenTan_Body,1,24,0,0,4,1,Fashion_F_ZhenTan_Idle,Fashion_F_ZhenTan_Run,-80,80,90,70,80,,9
1010031,邪恶使者cos装,Fashion_M_XieEShiZhe_Body,1,25,0,0,4,1,Fashion_M_CosXieEShiZhe_Idle,Fashion_M_CosXieEShiZhe_Run,-70,60,-90,-60,70,,9
1010032,恶魔女仆cos装,Fashion_F_CosMoNv_Body,1,26,0,0,4,1,Fashion_F_CosMoNv_Idle,Fashion_F_CosMoNv_Run,-70,60,-90,-60,70,,9
1010033,鬼魂绅士cos装,Fashion_M_GuiXinLang_Body,1,27,0,0,4,1,Fashion_M_GuiXinLang_Idle,Fashion_M_GuiXinLang_Run,80,70,-100,-50,50,1,11
1010034,鬼魂新娘cos装,Fashion_F_GuiXinNiang_Body,1,28,0,0,4,1,Fashion_F_GuiXinNiang_Idle,Fashion_F_GuiXinNiang_Run,80,70,-100,-50,50,1,11
1010035,医生cos装,Fashion_M_YiSheng_Body,1,29,0,0,4,1,Fashion_M_YiSheng_Idle,Fashion_M_YiSheng_Run,-80,80,90,-60,-80,,11
1010036,护士cos装,Fashion_F_HuShi_Body,1,30,0,0,4,1,Fashion_F_HuShi_Idle,Fashion_F_HuShi_Run,-80,80,90,-60,-80,,11
1010037,奇妙南瓜套装,Fashion_M_NanGua_Body,1,31,0,0,4,1,Fashion_M_NanGua_Idle,Fashion_M_NanGua_Run,90,-80,-60,-50,-80,,9
1010038,奇妙南瓜套装,Fashion_F_NanGua_Body,1,32,0,0,4,1,Fashion_F_NanGua_Idle,Fashion_F_NanGua_Run,90,-80,-60,-50,-80,,9
1010039,死神cos装,Fashion_M_SiShen_Body,1,33,0,0,4,1,Fashion_M_SiShen_Idle,Fashion_M_SiShen_Run,-60,70,-100,-50,80,,9
1010040,死神cos装,Fashion_F_SiShen_Body,1,34,0,0,4,1,Fashion_F_SiShen_Idle,Fashion_F_SiShen_Run,-60,70,-100,-50,80,,9
1010041,飞行员特工,Fashion_M_FeiXingYuan_Body,1,35,0,0,4,1,Fashion_M_FeiXingYuan_Idle,Fashion_M_FeiXingYuan_Run,-80,80,90,80,60,,9
1010042,飞行员特工,Fashion_F_FeiXingYuan_Body,1,36,0,0,4,1,Fashion_F_FeiXingYuan_Idle,Fashion_F_FeiXingYuan_Run,-80,80,90,80,60,,9
1019031,邪恶使者cos装（15天）,Fashion_M_XieEShiZhe_Body,1,999,0,0,0,1,Fashion_M_CosXieEShiZhe_Idle,Fashion_M_CosXieEShiZhe_Run,-70,60,-90,-60,70,1,9
1019032,恶魔女仆cos装（15天）,Fashion_F_CosMoNv_Body,1,999,0,0,0,1,Fashion_F_CosMoNv_Idle,Fashion_F_CosMoNv_Run,-70,60,-90,-60,70,1,9
1019039,死神cos装（15天）,Fashion_M_SiShen_Body,1,999,0,0,0,1,Fashion_M_SiShen_Idle,Fashion_M_SiShen_Run,-60,70,-100,-50,80,1,9
1019040,死神cos装（15天）,Fashion_F_SiShen_Body,1,999,0,0,0,1,Fashion_F_SiShen_Idle,Fashion_F_SiShen_Run,-60,70,-100,-50,80,1,9
1019011,水手服（15天）,Fashion_M_ShuiShou_Body,1,999,0,0,0,1,Fashion_M_ShuiShou_Idle,Fashion_M_ShuiShou_Run,-90,-80,80,-100,-80,1,9
1019012,水手服（15天）,Fashion_F_ShuiShouFu_Body,1,999,0,0,0,1,Fashion_F_ShuiShou_Idle,Fashion_F_ShuiShou_Run,-90,-80,80,-100,-80,1,9
1010043,梦游睡衣,Fashion_M_ShuiYi_Body,1,41,0,0,4,1,Fashion_M_ShuiYi_Idle,Fashion_M_ShuiYi_Run,-80,80,90,80,60,,9
1010044,梦游睡衣,Fashion_F_ShuiYi_Body,1,42,0,0,4,1,Fashion_F_ShuiYi_Idle,Fashion_F_ShuiYi_Run,-80,80,90,80,60,,9
1010045,太珍儿同款套装,Fashion_M_TaiZhenEr_Body,1,39,0,0,4,1,Fashion_M_TaiZhenEr_Idle,Fashion_M_TaiZhenEr_Run,70,-70,60,60,-80,,9
1010046,太珍儿同款套装,Fashion_F_TaiZhenEr_Body,1,40,0,0,4,1,Fashion_F_TaiZhenEr_Idle,Fashion_F_TaiZhenEr_Run,70,-70,60,60,-80,,9
1010047,惊奇派对,Fashion_M_XiaoChou_Body,1,37,0,0,4,1,Fashion_M_XiaoChou_Idle,Fashion_M_XiaoChou_Run,90,-80,-95,-70,-80,,9
1010048,惊奇派对,Fashion_F_XiaoChou_Body,1,38,0,0,4,1,Fashion_F_XiaoChou_Idle,Fashion_F_XiaoChou_Run,90,-80,-95,-70,-80,,9
1010049,圣诞快乐套装,Fashion_M_ShengDan_Body,1,43,0,0,4,1,Fashion_M_ShengDan_Idle,Fashion_M_ShengDan_Run,80,80,80,70,-70,,9
1010050,圣诞快乐套装,Fashion_F_ShengDan_Body,1,44,0,0,4,1,Fashion_F_ShengDan_Idle,Fashion_F_ShengDan_Run,80,80,80,70,-70,,9
1010051,冬季羽绒服,Fashion_M_DongZhuang_Body,1,45,0,0,4,1,Fashion_M_DongZhuang_Idle,Fashion_M_DongZhuang_Run,-80,-70,70,100,-80,,9
1010052,冬季羽绒服,Fashion_F_DongZhuang_Body,1,46,0,0,4,1,Fashion_F_DongZhuang_Idle,Fashion_F_DongZhuang_Run,-80,-70,70,100,-80,,9
1010053,玩具士兵,Fashion_M_HuTaoJiaZi_Body,1,47,0,0,4,1,Fashion_M_HuTaoJiaZi_Idle,Fashion_M_HuTaoJiaZi_Run,90,80,80,-60,-70,,9
1010054,玩具士兵,Fashion_F_HuTaoJiaZi_Body,1,48,0,0,4,1,Fashion_F_HuTaoJiaZi_Idle,Fashion_F_HuTaoJiaZi_Run,90,80,80,-60,-70,,9
1010055,艺术家羊绒大衣,Fashion_M_DaYi_Body,1,53,0,0,4,1,Fashion_M_DaYi_Idle,Fashion_M_DaYi_Run,-90,-90,-70,80,90,,9
1010056,艺术家羊绒大衣,Fashion_F_DaYi_Body,1,54,0,0,4,1,Fashion_F_DaYi_Idle,Fashion_F_DaYi_Run,-90,-90,-70,80,90,,9
1010057,2020至臻黑金礼服,Fashion_M_Lark_Body,1,49,0,0,4,1,Fashion_M_Lark_Idle,Fashion_M_Lark_Run,-90,90,80,80,100,,9
1010058,2020至臻黑金礼服,Fashion_F_Lark_Body,1,50,0,0,4,1,Fashion_F_Lark_Idle,Fashion_F_Lark_Run,-90,90,80,80,100,,9
1010059,奶牛玩偶服,Fashion_M_ChunJieWanOu_Body,1,51,0,0,4,1,Fashion_M_ChunJieWanOu_Idle,Fashion_M_ChunJieWanOu_Run,-70,-85,70,95,-80,,9
1010060,奶牛玩偶服,Fashion_F_ChunJieWanOu_Body,1,52,0,0,4,1,Fashion_F_ChunJieWanOu_Idle,Fashion_F_ChunJieWanOu_Run,-70,-85,70,95,-80,,9
1018001,诗嘉古尔的庇佑时装,Fashion_M_FaXiTianKongTao_Body,1,3,0,0,5,1,Fashion_M_FaXiTianKongTao_Idle,Fashion_M_FaXiTianKongTao_Run,80,80,-100,-50,100,,9
1018002,诗嘉古尔的庇佑时装,Fashion_F_FaXiTianKongTao_Body,1,4,0,0,5,1,Fashion_F_FaXiTianKongTao_Idle,Fashion_F_FaXiTianKongTao_Run,80,80,-100,-50,100,,9
1018003,亚尔薇特的祝福时装,Fashion_M_WuLiTianKongTao_Body,1,3,0,0,5,1,Fashion_M_WuLiTianKongTao_Idle,Fashion_M_WuLiTianKongTao_Run,80,80,-100,-50,100,,9
1018004,亚尔薇特的祝福时装,Fashion_F_WuLiTianKongTao_Body,1,4,0,0,5,1,Fashion_F_WuLiTianKongTao_Idle,Fashion_F_WuLiTianKongTao_Run,80,80,-100,-50,100,,9
1010061,暗夜精灵,Fashion_M_MeiYingHuDie_Body,1,53,0,0,4,1,Fashion_M_MeiYingHuDie_Idle,Fashion_M_MeiYingHuDie_Run,90,-80,-85,-70,90,,
1010062,暗夜精灵,Fashion_F_MeiYingHuDie_Body,1,54,0,0,4,1,Fashion_F_MeiYingHuDie_Idle,Fashion_F_MeiYingHuDie_Run,90,-80,-85,-70,90,,
1010064,莓果奇缘,Fashion_M_CaoMei_Body,1,55,0,0,4,1,Fashion_M_CaoMei_Idle,Fashion_M_CaoMei_Run,-80,-85,70,-85,75,,9
1010065,莓果奇缘,Fashion_F_CaoMei_Body,1,56,0,0,4,1,Fashion_F_CaoMei_Idle,Fashion_F_CaoMei_Run,-80,-85,70,-85,75,,9
1010066,总经理制服,Fashion_M_JiNianTaoZhuang_Body,1,57,0,0,4,1,Fashion_M_JiNianTaoZhuang_Idle,Fashion_M_JiNianTaoZhuang_Run,-80,-70,80,-70,75,1,2
1010067,总经理制服,Fashion_F_JiNianTaoZhuang_Body,1,58,0,0,4,1,Fashion_F_JiNianTaoZhuang_Idle,Fashion_F_JiNianTaoZhuang_Run,-80,-70,80,-70,75,1,2
1010068,童真校服,Fashion_M_ChunYouZhuang_Body,1,59,0,0,4,1,Fashion_M_ChunYouZhuang_Idle,Fashion_M_ChunYouZhuang_Run,80,-80,100,-50,100,,9
1010069,童真校服,Fashion_F_ChunYouZhuang_Body,1,60,0,0,4,1,Fashion_F_ChunYouZhuang_Idle,Fashion_F_ChunYouZhuang_Run,80,-80,100,-50,100,,9
1010070,缤纷西瓜,Fashion_M_XiGua_Body,1,61,0,0,4,1,Fashion_M_XiGua_Idle ,Fashion_M_XiGua_Run,-80,-100,-50,-100,-80,,9
1010071,缤纷西瓜,Fashion_F_XiGua_Body,1,62,0,0,4,1,Fashion_F_XiGua_Idle,Fashion_F_XiGua_Run,-80,-100,-50,-100,-80,,9
1010072,应援团的战斗服,Fashion_M_YingYuan_Body,1,63,0,0,4,1,Fashion_M_YingYuan_Idle,Fashion_M_YingYuan_Run,-65,80,100,50,100,1,2
1010073,应援团的战斗服,Fashion_F_YingYuan_Body,1,64,0,0,4,1,Fashion_F_YingYuan_Idle,Fashion_F_YingYuan_Run,-65,80,100,50,100,1,2
1010074,时尚海滩,Fashion_M_YongZhuang_Body,1,65,0,0,4,1,Fashion_M_YongZhuang_Idle,Fashion_M_YongZhuang_Run,-100,-80,-50,-100,-80,,9
1010075,时尚海滩,Fashion_F_YongZhuang_Body,1,66,0,0,4,1,Fashion_F_YongZhuang_Idle,Fashion_F_YongZhuang_Run,-100,-80,-50,-100,-80,,9
1010076,热带风情,Fashion_M_BoLuo_Body,1,67,0,0,4,1,Fashion_M_BoLuo_Idle,Fashion_M_BoLuo_Run,-80,-80,-50,-100,-100,,9
1010077,热带风情,Fashion_F_BoLuo_Body,1,68,0,0,4,1,Fashion_F_BoLuo_Idle,Fashion_F_BoLuo_Run,-80,-80,-50,-100,-100,,9
1010078,1周年感谢时装,Fashion_M_QiaoKeLi_Body,1,69,0,0,4,1,Fashion_M_QiaoKeLi_Idle,Fashion_M_QiaoKeLi_Run,80,-80,100,50,-50,,9
1010079,1周年感谢时装,Fashion_F_QiaoKeLi_Body,1,70,0,0,4,1,Fashion_F_QiaoKeLi_Idle,Fashion_F_QiaoKeLi_Run,80,-80,100,50,-50,,9
