ID,NpcId,SceneId1,Pos1,SceneId2,Pos2,SceneId3,Pos3,SceneId4,Pos4,SceneId5,Pos5,TaskAccept,TaskFinish,TaskTarget1,TaskTarget2,TaskTarget3,TaskTarget4,TaskTarget5
43,60955,5,"84.13621,10,42.22379",,,,,,,,,,,,,,,
44,60956,5,"150.4247,10,57.67001",,,,,,,,,,,,,,,
45,60957,5,"112.1413,10,49.4794",,,,,,,,,,,,,,,
46,60958,5,"93.4,10,111.19",,,,,,,,,,,,,,,
47,60959,5,"130.2952,13.07,177.4578",,,,,,,,,,,,,,,
48,60960,5,"96.52676,13.07,136.3115",,,,,,,,,,,,,,,
49,1002,7,"97.91,9.83,34.34",2069,"97.90627,9.829405,34.34",2140,"97.91,9.83,34.34",,,,,,20000610|20000710|20000810|20000910|20001000|20001100,,,,,
50,1003,7,"89.05,9.83,87.51",2069,"89.049,9.829517,87.51428",2140,"89.05,9.83,87.51",,,,,,,,,,,
51,1004,7,"98.79,9.83,87.71",2069,"98.79063,9.829532,87.70671",2140,"98.79,9.83,87.71",,,,,,,,,,,
52,1005,7,"33.87,9.83,123.47",2069,"33.87316,9.829507,123.4652",2140,"33.87,9.83,123.47",,,,,,,,,,,
53,1006,7,"33.02,9.83,132.01",2069,"33.02132,9.829505,132.0102",2140,"33.02,9.83,132.01",,,,,19001400,19001400,,,,,
54,1007,7,"52.99,9.83,133.1",2069,"52.98663,9.829505,133.1046",2140,"52.99,9.83,133.1",,,,,,,,,,,
55,1008,7,"53.38,9.83,123.2",2069,"53.37598,9.828435,123.2005",2140,"53.38,9.83,123.2",,,,,,,,,,,
56,1009,7,"99.04,10.08,213.76",2069,"99.04,10.07753,213.765",2140,"99.04,10.08,213.76",,,,,,,,,,,
57,1010,7,"89.13,10.07,213.63",2069,"89.132,10.07386,213.6256",2140,"89.13,10.07,213.63",,,,,19001300,19001300,,,,,
58,1011,7,"98.96,9.83,192.22",2069,"98.96454,9.829498,192.223",2140,"98.96,9.83,192.22",,,,,,,,,,,
59,1012,7,"89.44,9.83,192.16",2069,"89.44154,9.829498,192.1589",2140,"89.44,9.83,192.16",,,,,,,,,,,
60,1013,7,"154.12,9.83,132.37",2069,"154.1173,9.829507,132.372",2140,"154.12,9.83,132.37",,,,,,,,,,,
61,1014,7,"154.26,9.83,123.82",2069,"154.2629,9.829512,123.82",2140,"154.26,9.83,123.82",,,,,,,,,,,
62,1015,7,"135.48,9.83,122.89",2069,"135.4757,9.82953,122.8906",2140,"135.48,9.83,122.89",,,,,,,,,,,
63,1016,7,"135.03,9.83,132.75",2069,"135.0271,9.829508,132.7492",2140,"135.03,9.83,132.75",,,,,,,,,,,
64,1017,7,"89.14,10.81,164.34",2069,"89.14214,10.80935,164.345",2140,"89.14,10.81,164.34",,,,,,,,,,,
65,1018,7,"98.72,10.81,164.29",2069,"98.71516,10.80898,164.2946",2140,"98.72,10.81,164.29",,,,,,,,,,,
66,1021,7,"87.99,9.8,66.64",,,,,,,,,6000800,6000800,,,,,
67,1022,7,"44.74,9.83,139.63",,,,,,,,,,,,,,,
68,1023,7,"88.2,9.83,209.95",,,,,,,,,,,,,,,
69,1024,7,"135.49,9.83,119.04",,,,,,,,,,,,,,,
70,1025,7,"133.11,9.83,62.77",,,,,,,,,,,,,,,
71,1026,7,"104.1129,10.81,116.1571",,,,,,,,,,,,,,,
72,1028,7,"146.59,9.83,158.6",,,,,,,,,,,,,,,
73,1029,7,"146.94,9.83,151.02",,,,,,,,,,,,,,,
74,1031,7,"81.38711,10.78,140.8329",,,,,,,,,,,,,,,
75,1032,7,"120.25,9.83,56.4",,,,,,,,,,,,,,,
76,1033,7,"150.76,9.8,31.29",,,,,,,,,,,,,,,
77,1034,7,"80.32603,10.81,139.72",,,,,,,,,,,,,,,
78,1035,7,"80.77711,10.8,118.8371",,,,,,,,,,,,,,,
79,1038,7,"91.13,10.8,117.36",,,,,,,,,,,,,,,
80,1039,7,"38.86,9.83,64.79",,,,,,,,,20000520,,,,,,
81,10043,7,"43.96711,9.83,204.5229",,,,,,,,,12001010|12001210|12008210|2000000|6000310|6000320|6000330|6000610|3000080,12001060|2000000|19006000|3000000,6000610|3000000,,,,
82,1044,7,"48.65737,9.83,203.1169",,,,,,,,,3000010,19009210|19010040|3000010,,,,,
83,1045,7,"132.7029,10.71,209.9829",,,,,,,,,,,,,,,
84,1072,7,"97.12,10.81,117.31",,,,,,,,,,,,,,,
85,1001,7,"90.42,9.83,34.47",2069,"90.42,9.829439,34.47294",2140,"90.42,9.83,34.47",,,,,6000900|20000610|20000710|20000810|20000910|20001000|20001100,6000900|8000100|8000101,,,,,
86,1081,7,"134.4152,9.83,187.5764",,,,,,,,,6000260,6000260,6000260,,,,
87,1129,7,"101.59,9.85,67.35",,,,,,,,,,,,,,,
88,1169,7,"90.53,10.83,147.14",2069,"90.528,10.82768,147.1386",2140,"90.53,10.83,147.14",,,,,,,,,,,
89,1170,7,"97.47,10.83,147.14",2069,"97.47,10.82768,147.14",2140,"97.47,10.83,147.14",,,,,6000250,,,,,,
90,1171,7,"97.4,10.78,109.3",2069,"97.39699,10.82766,109.2989",2140,"97.4,10.83,109.3",,,,,,,,,,,
91,1172,7,"90.74,10.83,109.2",2069,"90.744,10.82766,109.1972",2140,"90.74,10.83,109.2",,,,,,,6000800,,,,
92,1174,7,"72.89,10.83,131.29",2069,"72.88885,10.8277,131.2858",2140,"72.89,10.83,131.29",,,,,,,,,,,
93,1175,7,"115.61,10.83,131.63",2069,"115.607,10.82771,131.626",2140,"115.61,10.83,131.63",,,,,,,,,,,
94,1176,7,"115.44,10.83,124.87",2069,"115.4391,10.82766,124.8736",2140,"115.44,10.83,124.87",,,,,,,,,,,
95,10039,7,"37.65301,9.85,144.6507",,,,,,,,,,,,,,,
96,10041,7,"89.50594,9.85,185.9522",,,,,,,,,,,,,,,
97,1199,7,"127.9228,9.91,207.294",,,,,,,,,,,,,,,
98,1041,7,"84.04,10.78,132.04",,,,,,,,,,,,,,,
99,1188,7,"98.93,9.85,208.23",,,,,,,,,,,,,,,
100,3001,7,"85.72569,10.83,114.5423",,,,,,,,,,,,,,,
101,3002,7,"147.75,9.8,70.22",,,,,,,,,,,,,,,
102,1191,7,"83.42,9.85,208.76",,,,,,,,,,,12001010,,,,
103,1192,7,"39.42837,9.8,186.9271",,,,,,,,,12002080,12002010|12002080,,,,,
104,10030,7,"135.9703,9.85,191.392",,,,,,,,,,,,,,,
105,10031,7,"142.58,9.85,143.18",,,,,,,,,,,,,,,
106,1048,7,"50.22225,9.85,201.6119",2001,"0,0,1",,,,,,,3006110,3000032|3006110|20100000,,,,,
107,1049,7,"51.67707,9.85,200.2372",,,,,,,,,17000005|3000040,17000005|3000040,,,,,
108,1050,7,"51.91197,9.85,206.5243",,,,,,,,,3000050,3000050,,3000050,,,
109,1051,7,"53.32146,9.85,205.0644",,,,,,,,,3000060,3000060,3000060,,,,
110,1052,7,"54.67446,9.85,203.7025",,,,,,,,,3000070,19003220|3000070,,,,,
111,1196,7,"114,9.8,201.93",,,,,,,,,,,,,,,
112,12012,7,"122.62,9.86,207.6242",,,,,,,,,,,,,,,
113,1197,7,"61.4543,9.85,167.5236",,,,,,,,,,,,,,,
114,1201,7,"131.9,9.83,81.46",,,,,,,,,,,,,,,
115,1200,7,"119.3322,9.83,220.725",,,,,,,,,,,,,,,
116,1202,7,"110.9219,9.83,84.9004",,,,,,,,,,,,,,,
117,1203,7,"100.3476,9.83,73.75554",,,,,,,,,,,,,,,
118,1204,7,"103.5169,9.83,177.4341",,,,,,,,,,,,,,,
119,1205,7,"78.98981,10.83,135.4144",,,,,,,,,,,,,,,
120,1206,7,"104.4804,10.83,130.7728",2069,"104.4794,10.82961,130.7705",2140,"104.4804,10.83,130.7728",,,,,,,,,,,
121,1208,7,"89.44997,9.83,76.44669",2069,"89.45473,9.827889,76.44788",2140,"89.44997,9.83,76.44669",,,,,,,,,,,
122,1209,7,"98.65022,9.83,76.4793",2069,"98.65101,9.827888,76.48267",2140,"98.65022,9.83,76.4793",,,,,,,,,,,
123,1210,7,"100.0436,10.83,150.215",,,,,,,,,,,,,,,
124,1211,7,"88.09639,9.8,177.3215",,,,,,,,,,,,,,,
125,1212,7,"83.52843,9.83,178.1044",2069,"83.5247,9.827876,178.106",2140,"83.52843,9.83,178.1044",,,,,,,,,,,
126,1214,7,"173.979,10.74,225.0761",,,,,,,,,,,,,,,
127,1215,7,"155.9131,9.8,32.35086",,,,,,,,,,,,,,,
128,1216,7,"144.2352,9.83,89.87484",2069,"146.1524,9.827887,90.98633",2140,"146.1552,9.83,90.98483",,,,,,,,,,,
129,1217,7,"152.7372,9.83,118.6575",2069,"153.3949,9.827883,118.9037",2140,"153.39,9.83,118.9",,,,,,,,,,,
130,1218,7,"152.8748,9.83,118.1331",2069,"0,0,1",2140,"0,0,1",,,,,,,,,,,
131,1219,7,"100.7095,10.83,105.2072",,,,,,,,,,,,,,,
132,1220,7,"87.66595,10.83,135.0855",,,,,,,,,,,,,,,
133,1221,7,"62.00301,9.83,88.31002",,,,,,,,,,,,,,,
134,1222,7,"150.5289,9.83,136.8125",,,,,,,,,,,,,,,
135,1224,7,"41.95625,9.83,118.5172",,,,,,,,,,,,,,,
136,1225,7,"86.54758,9.83,47.86934",,,,,,,,,,,,,,,
137,1227,7,"66.11491,9.8,201.3643",,,,,,,,,,,,,,,
138,1228,7,"61.39748,9.83,182.3708",7,"65.68,10,58.2",,,,,,,21000010|25000000,1004090|21000010,,,,,
139,1229,7,"98.6012,9.83,54.96086",2069,"0,0,1",2140,"0,0,1",,,,,,,,,,,
140,1230,7,"89.54973,9.83,55.17348",2069,"0,0,1",2140,"0,0,1",,,,,,,,,,,
141,1231,7,"109.07,10.83,133.88",,,,,,,,,6000700,6000700,,,,,
142,1232,7,"50.76539,9.83,78.64275",,,,,,,,,,,,,,,
143,1234,7,"60.63896,9.83,61.83435",,,,,,,,,,,,,,,
144,1235,7,"46.04797,9.8,49.27371",,,,,,,,,,,,,,,
145,1236,7,"45.11884,9.8,46.54808",,,,,,,,,,,,,,,
146,1237,7,"72.63925,10.83,100.2662",,,,,,,,,,,,,,,
147,1226,7,"61.28765,9.8,185.2658",,,,,,,,,19010810|19012310|22002251,,,,,,
148,1240,7,"66.70206,9.91,53.77589",,,,,,,,,,,,,,,
149,1241,7,"54.86706,9.83,59.5789",2069,"47.95652,9.82789,58.8569",2140,"47.95652,9.83,58.8569",,,,,,,,,,,
150,1242,7,"65.40632,9.83,41.48315",,,,,,,,,6002710,,,,,,
151,1243,7,"66.98516,9.83,53.5005",,,,,,,,,,,,,,,
152,1244,7,"44.32895,9.83,40.48852",,,,,,,,,,20000530,,,,,
153,1245,7,"120.98,9.83,58.83742",,,,,,,,,,,,,,,
154,1246,7,"62.41,9.83,38.06",,,,,,,,,6002720|6002730,,,,,,
155,1247,7,"69.3082,9.83,61.70162",,,,,,,,,,,,,,,
156,1248,7,"40.65154,9.83,58.31645",,,,,,,,,,20000510,,,,,
157,1249,7,"43.10631,9.83,52.89643",,,,,,,,,,,,,,,
158,1250,7,"111.8413,9.83,211.4013",,,,,,,,,19003020,,,,,,
159,1251,7,"137.5148,9.85,196.2886",,,,,,,,,,,,,,,
160,3480,7,"101.976,10.83,135.7228",,,,,,,,,,,,,,,
161,1252,7,"118.3883,9.87,219.1312",,,,,,,,,,,,,,,
162,1053,7,"128.5822,9.85,60.75098",,,,,,,,,,,,,,,
163,1267,7,"42.84359,9.85,115.3169",,,,,,,,,,,,,,,
164,1271,7,"44.07791,9.85,145.5284",,,,,,,,,,,,,,,
165,1275,7,"144.0016,9.85,119.5261",,,,,,,,,,,,,,,
166,1279,7,"116.5022,9.85,187.4855",,,,,,,,,,,,,,,
167,1173,7,"73.23,10.83,125.12",2069,"0,0,1",2140,"0,0,1",,,,,,,,,,,
168,1292,7,"120.5143,9.8,209.7778",,,,,,,,,6001600,6001600,,,,,
169,1294,7,"122.0857,9.85,210.8336",,,,,,,,,,,,,,,
170,1293,7,"151.18,10.34,186.68",,,,,,,,,,,,,,,
171,1291,7,"47.20604,9.8,90.1911",,,,,,,,,,,,,,,
172,1274,7,"144.5376,9.8,117.2657",,,,,,,,,,,,,,,
173,1270,7,"44.14681,9.85,146.3",,,,,,,,,,,,,,,
174,1266,7,"75.63644,9.8,87.23021",,,,,,,,,,,,,,,
175,1061,7,"101.03,9.85,53.6",,,,,,,,,,,,,,,
176,1057,7,"43.32573,9.85,56.11235",,,,,,,,,,,,,,,
177,1286,7,"120.3629,9.85,89.03798",,,,,,,,,,,,,,,
178,1284,7,"144.5424,10.17,82.60053",,,,,,,,,,,,,,,
179,1281,7,"142.8709,9.85,135.4328",,,,,,,,,,,,,,,
180,1269,7,"45.12531,9.85,149.1533",,,,,,,,,,,,,,,
181,1265,7,"67.04691,9.85,54.63327",,,,,,,,,,,,,,,
182,1260,7,"73.15697,9.85,205.5503",,,,,,,,,,,,,,,
183,1067,7,"144.93,9.85,92",,,,,,,,,,,,,,,
184,40002,7,"72.73,20,110.62",,,,,,,,,,,,,,,
185,1276,7,"143.6659,9.85,91.68033",,,,,,,,,,,,,,,
186,1056,7,"44.74389,9.85,40.69201",,,,,,,,,,,,,,,
187,1259,7,"43.78872,9.8,38.2947",,,,,,,,,,,,,,,
188,50301,7,"49.53359,9.85,57.49108",,,,,,,,,,,,,,,
189,1272,7,"143.5614,9.85,105.2676",,,,,,,,,,,,,,,
190,50302,7,"45.06998,9.85,44.19413",,,,,,,,,,,,,,,
191,1278,7,"72.47726,9.85,186.0761",,,,,,,,,,,,,,,
192,1268,7,"43.56007,9.85,111.6487",,,,,,,,,,,,,,,
193,1280,7,"148.39,9.85,163.834",,,,,,,,,,,,,,,
194,1060,7,"101.7103,9.85,50.48015",,,,,,,,,,,,,,,
195,1273,7,"145.32,9.8,116.6998",,,,,,,,,,,,,,,
196,1277,7,"72.72923,9.85,185.6754",,,,,,,,,,,,,,,
197,1068,7,"48.11594,9.85,167.404",,,,,,,,,19011110,,,,,,
198,1253,7,"120.0405,9.87,219.2456",,,,,,,,,,,,,,,
199,1290,7,"109,9.8,201.93",,,,,,,,,,,,,,,
200,1055,7,"53.4224,9.85,58.91212",,,,,,,,,,,,,,,
201,1059,7,"100.9481,9.85,48.92024",,,,,,,,,,,,,,,
202,1296,7,"86.46,10.78,142.864",,,,,,,,,17000500|17000510|17000520,17000500|17000510|17000520,,,,,
203,1285,7,"146.2222,9.85,79.23834",,,,,,,,,,,,,,,
204,1282,7,"144.8698,9.85,139.1406",,,,,,,,,,,,,,,
205,1288,7,"144.3307,9.66,89.69661",,,,,,,,,,,,,,,
206,1263,7,"87.15062,9.85,40.14063",,,,,,,,,,,,,,,
207,1283,7,"39.01302,9.85,134.2",,,,,,,,,2000710|12002410|19006000,,,,,,
208,1264,7,"60.7634,9.85,62.9324",,,,,,,,,,,,,,,
209,1287,7,"119.8036,9.85,89.69289",,,,,,,,,,,,,,,
210,1058,7,"69.55226,9.85,88.61194",,,,,,,,,,,,,,,
211,1054,7,"68.8123,9.85,71.1222",2001,"0,0,1",,,,,,,,,,,,,
212,1289,7,"55.96844,9.85,160.1799",,,,,,,,,,,,,,,
213,1190,7,"80.62,9.8,205.2",,,,,,,,,12002010,,,,,,
214,1257,7,"157.8645,9.8,64.86033",,,,,,,,,,,,,,,
215,1256,7,"138.8511,9.85,168.8346",,,,,,,,,,,,,,,
216,9991,7,"67.69581,10.83,112.71",,,,,,,,,,,,,,,
217,1258,7,"157.7318,9.8,65.59",,,,,,,,,,,,,,,
218,1062,7,"101.19,9.85,49.26",,,,,,,,,,,,,,,
219,1046,7,"104.71,9.81,208.99",,,,,,,,,12001640,12001630,,,,,
220,1223,7,"98.24649,10.78,137.5181",,,,,,,,,,,,,,,
221,1298,7,"125.2434,10.48,50.85724",,,,,,,,,,,,,,,
222,1297,7,"125.0093,10.48,51.58807",,,,,,,,,,,,,,,
223,10093,7,"147.131,9.8,62.8945",,,,,,,,,12001610,12001700,,,,,
224,7181,7,"109.9574,9.81,208.5104",,,,,,,,,,,,,,,
225,1195,7,"119,9.8,201.93",,,,,,,,,,,6000900,,,,
226,60500,7,"81.21156,10.78,127.7341",,,,,,,,,19010710|19010720|19010740,19010720|19010740,,,,,
227,60651,7,"54.89269,9.8,97.86067",,,,,,,,,,,,,,,
228,60652,7,"55.32762,9.8,97.26914",,,,,,,,,,,,,,,
229,60653,7,"56.54,9.85,96.94",,,,,,,,,,,,,,,
230,60654,7,"55.32847,9.8,96.86357",,,,,,,,,,,,,,,
231,60655,7,"58.63,10.78,130.65",,,,,,,,,,,,,,,
232,60656,7,"58.59091,10.78,130.9695",,,,,,,,,,,,,,,
233,60657,7,"58.74353,10.78,130.7568",,,,,,,,,,,,,,,
234,60658,7,"51.56,9.85,57.1",,,,,,,,,,,,,,,
235,60659,7,"95.70921,10.78,99.40646",,,,,,,,,,,,,,,
236,60660,7,"95.66297,10.78,99.55307",,,,,,,,,,,,,,,
237,60661,7,"93.93,10.83,159.66",,,,,,,,,,,,,,,
238,60667,7,"94.13,10.78,157.73",,,,,,,,,,,,,,,
239,60662,7,"90.53602,10.78,153.7328",,,,,,,,,,,,,,,
240,60663,7,"77.22672,10.78,126.655",,,,,,,,,,,,,,,
241,60665,7,"113.1963,10.78,129.4944",,,,,,,,,,,,,,,
242,60669,7,"100.135,10.78,155.5798",,,,,,,,,,,,,,,
243,60668,7,"100.07,10.78,157.65",,,,,,,,,,,,,,,
244,60664,7,"91.93156,10.78,103.7474",,,,,,,,,,,,,,,
245,60675,7,"101.8,11.07,130.3",,,,,,,,,,,,,,,
246,60676,7,"55.47,9.8,193.53",,,,,,,,,,,,,,,
247,60677,7,"116.93,9.8,186.81",,,,,,,,,,,,,,,
248,60678,7,"102.22,10.78,157",,,,,,,,,,,,,,,
249,60679,7,"110.8737,9.8,181.3407",,,,,,,,,,,,,,,
250,60680,7,"83.97,10.78,112.01",,,,,,,,,,,,,,,
251,60681,7,"65.1103,9.8,200.1323",,,,,,,,,,,,,,,
252,60682,7,"100.69,11.03,130.67",,,,,,,,,,,,,,,
253,60683,7,"85.17,10.83,111.72",,,,,,,,,,,,,,,
254,60684,7,"79.49,10.83,117.33",,,,,,,,,,,,,,,
255,60685,7,"63.59675,9.8,198.5168",,,,,,,,,,,,,,,
256,60686,7,"61.11871,9.8,199.0916",,,,,,,,,,,,,,,
257,60687,7,"94.98118,10.78,117.8228",,,,,,,,,,,,,,,
258,60937,7,"52.72705,9.8,151.0503",,,,,,,,,,,,,,,
259,60692,7,"123.75,9.8,77.43",,,,,,,,,,,,,,,
260,60688,7,"120.2027,9.8,176.6401",,,,,,,,,,,,,,,
261,60689,7,"120.4574,9.8,177.4255",,,,,,,,,,,,,,,
262,60690,7,"119.5335,9.8,177.9701",,,,,,,,,,,,,,,
263,60691,7,"120.3912,9.8,177.3836",,,,,,,,,,,,,,,
264,60969,7,"73.57951,17.81,120.6388",,,,,,,,,,,,,,,
265,60693,7,"100.07,10.78,157.65",,,,,,,,,,,,,,,
266,60694,7,"128.0957,10.78,158.037",,,,,,,,,,,,,,,
267,60695,7,"156.9057,9.8,73.69652",,,,,,,,,,,,,,,
268,60696,7,"66.68158,10.78,94.13175",,,,,,,,,,,,,,,
269,60697,7,"128.4214,10.78,157.0098",,,,,,,,,,,,,,,
270,60968,7,"93.97,15.23,88.3",,,,,,,,,,,,,,,
271,60967,7,"94.12,14.81,192.33",,,,,,,,,,,,,,,
272,60942,7,"110.99,9.8,191.93",,,,,,,,,,,,,,,
273,60941,7,"83.68992,10.78,151.2897",,,,,,,,,,,,,,,
274,60940,7,"55.13107,9.8,77.15852",,,,,,,,,,,,,,,
275,60939,7,"113.6115,10.78,116.67",,,,,,,,,,,,,,,
276,60938,7,"133.5769,9.8,97.66966",,,,,,,,,,,,,,,
277,3693,7,"143.484,9.8,164.9672",,,,,,,,,,,,,,,
278,7180,7,"81.20084,10.78,142.3664",,,,,,,,,,,,,,,
279,3696,7,"106.0419,9.8,203.098",,,,,,,,,,,,,,,
280,30152,7,"126.5717,9.8,51.47152",,,,,,,,,,,,,,,
281,30151,7,"128.265,9.8,61.05863",,,,,,,,,,,,,,,
282,30153,7,"128.4545,9.8,60.98442",,,,,,,,,,,,,,,
283,30154,7,"151.3384,9.8,32.17298",,,,,,,,,,,,,,,
284,30155,7,"151.1644,9.8,31.98534",,,,,,,,,,,,,,,
285,30156,7,"156.5285,9.8,65.30511",,,,,,,,,,,,,,,
286,30157,7,"99.7331,9.8,49.21786",,,,,,,,,,,,,,,
287,30158,7,"99.70815,9.8,49.06501",,,,,,,,,,,,,,,
288,30159,7,"101.8692,9.8,67.53103",,,,,,,,,,,,,,,
289,30160,7,"60.02,9.85,40.55",,,,,,,,,,,,,,,
290,30161,7,"46.18842,9.8,49.03119",,,,,,,,,,,,,,,
291,30162,7,"45.98693,9.8,49.24075",,,,,,,,,,,,,,,
292,30163,7,"105.1476,9.8,203.4003",,,,,,,,,,,,,,,
293,30164,7,"105.7142,9.8,203.4119",,,,,,,,,,,,,,,
294,30167,7,"143.0879,9.8,142.9738",,,,,,,,,,,,,,,
295,30168,7,"143.4963,9.8,143.1187",,,,,,,,,,,,,,,
296,30169,7,"103.9885,10.78,116.335",,,,,,,,,,,,,,,
297,30170,7,"104.2501,10.78,116.4672",,,,,,,,,,,,,,,
298,30171,7,"85.00638,10.78,107.5986",,,,,,,,,,,,,,,
299,30172,7,"84.9,10.78,107.38",,,,,,,,,,,,,,,
300,30173,7,"85.30414,10.78,107.2828",,,,,,,,,,,,,,,
301,60541,7,"109.6205,10.78,122.2972",,,,,,,,,,,,,,,
302,3694,7,"141.1357,9.8,167.2051",,,,,,,,,,,,,,,
303,4830,8,"208.644,1.56,199.8472",,,,,,,,,,,,,,,
304,4800,9,"171.9937,6.45,46.20262",,,,,,,,,,,,,,,
305,4680,10,"83.46,11.6,35.88",,,,,,,,,,,,,,,
306,5100,11,"80.36,1.75,140.6",,,,,,,,,,,,,,,
307,40481,11,"81.09,5.29,56.74",,,,,,,,,,,,,,,
308,4650,12,"142.64,2.48,103.13",,,,,,,,,,,,,,,
309,40181,12,"107.84,1.59,131.39",,,,,,,,,,,,,,,
310,6213,12,"60.29027,11.56,113.6977",,,,,,,,,,,,,,,
311,40393,13,"59.54,12.85,61.81",,,,,,,,,,,,,,,
312,40392,13,"143.18,12.78,212.17",,,,,,,,,,,,,,,
313,5130,13,"53.01603,12.85,127.67",,,,,,,,,,,,,,,
314,40394,13,"53.73,12.85,109.02",,,,,,,,,,,,,,,
315,9992,13,"90.63,12.76,176.06",,,,,,,,,,,,,,,
316,40391,13,"118.45,12.8,100.54",,,,,,,,,,,,,,,
317,61700,14,"65.67711,4.46,64.7729",,,,,,,,,6004310,,,,,,
318,10132,15,"37.34,4.28,40.25",10101,"37.34,4.28,40.25",,,,,,,12005600|12005700|12005800|12005900|12006500|12006400|12006100|12006200,,,,,,
319,10131,15,"37.17,4.27,44.52",10101,"37.17,4.19,44.52",,,,,,,1004110|6000600|19001660,1004110,,,,,
320,3411,15,"59.87507,4.32,40.69939",18,"59.17414,4.32,40.01905",10101,"59.87507,4.32,40.69939",,,,,,,,,,,
321,17330,15,"35.38557,4.27,72.56148",,,,,,,,,12006461|12006161|12006261,12006461|12006161|12006261,,,,,
322,15950,15,"34.3,4.27,54.61",,,,,,,,,12005810|12005811|12005812|12005910|12005911|12005912|12006410|12006411|12006412|12006110|12006210|12006211|12006212,12006411|12006412|12006110|12006211|12006212,,,,,
