ID,CheckID,CloseCheck,LoseCheck,ChildrenID,,RedSignKey,ShowType,EffectPath,OffSet,Size,,,Type
84,85|53,,2=1=53,,背包红点,Bag,1,,5=18=18,16=16,,,
86,86,,,,公会华丽水晶-前往,GuildCrystalOneLv,1,,3=-5=-5,16=16,,,
87,87,,,,公会组织手册,GuildBook,1,,3=-5=-5,16=16,,,
88,,,,87|75|77,公会活动,GuildActivity,1,,3=44=-40,16=16,,,
89,146,,2=1=146,,玩家界面额外天赋页,PlayerPlanQ,1,,5=-12=13,16=16,,,
90,145,,2=1=145,,技能界面额外天赋页,SkillPlanQ,1,,5=-12=14,16=16,,,
91,147,,2=1=147,,额外装备页,BagPlanQ,1,,5=-12=15,16=16,,,
92,92,,3=3=148,,角色面板元气值,Vigour,1,,3=-11=-4,16=16,,,1
93,93,,2=1=93,,贝鲁兹开启,BeiluzBag,1,,3=0=0,16=16,,,
200,,,,201|203|205|207|220|212|213|224|1101|380|226|390|230|235|405|1300|214|228|233|391|901|241,活动框架按钮红点,TimeActivityPoint,1,,5=20=20,16=16,,,
201,,,,202,绵绵岛签到前往红点,ActivityCheckInPoint1,1,,5=96=21,16=16,,,
202,200,,,,绵绵岛签到左侧标签红点,ActivityCheckInPoint2,1,,5=87=26,16=16,,,
203,,,,204,BINGO活动选项红点,BingoPoint1,1,,5=96=21,16=16,,,
204,201,,,,BINGO活动前往按钮红点,BingoPoint2,1,,5=87=26,16=16,,,
205,,,,206,新王号角活动选项红点,NewKingPoint1,1,,5=96=21,16=16,,,
206,202,,,,新王号角活动前往按钮红点,NewKingPoint2,1,,5=87=26,16=16,,,
212,,,,,资料片活动等级礼包选项按钮,LevelGift,1,,5=87=26,16=16,,,1
240,,2=250,,270,卖场,FatherShop,5,Others/UI_Mall_Icon_sale.png,3=-10.5=-10,48=19.5,,,
250,,,,261|98|273,卖场普通红点,Shop,1,,3=-10.5=-10,16=16,,,
261,,,,260|262|263,投食,Recharge,1,,3=-36=-37,16=16,,,
260,260,,,,累充,TotalRechargeAwardPoint,1,,3=-10=-7,16=16,,,
262,261,,,,限时累充,SeasonRechargeAwardPoint,1,,3=-10=-7,16=16,,,
263,263,,,,喵果返利,MiaoRechargeAwardPoint,1,,3=-10=-7,16=16,,,
270,,,,271,卖场SALE红点,RedSignMall,5,Others/UI_Mall_Icon_sale.png,3=-10.5=-10,64=26,,,
271,,,,280,卖场-喵喵果实,RedSignMallGold,5,Others/UI_Mall_Icon_sale.png,3=-45=-27,64=26,,,
280,116,,2=3=0,,喵喵果实-折扣礼包,RedSignMallGoldGift,5,Others/UI_Mall_Icon_sale.png,3=-40=-17,64=26,,,
272,117,,2=3=0,,卖场-神秘商店,RedSignMallMystery,5,Others/UI_Mall_Icon_New.png,3=-45=-27,46=20,,,
273,118,,3=3=0,,卖场-限时商店,RedSignMallTimeLimit,5,Others/UI_Mall_Icon_New.png,3=-45=-27,46=20,,,
94,94,,,,无尽塔首通奖励领取,TowerReward,1,,3=-5=-5,16=16,,,
95,95,,3=3=0,,公会拍卖,GuildSale,1,,3=-5=-5,16=16,,,
96,96,,,,首充界面内,FirstRechargeOuter,1,,5=20=20,16=16,充值任意金额，即可领取首充礼包,,
97,,,,96,首充图标上,FirstRechargeInner,1,,3=-5=-5,16=16,,,
98,98,,3=3=0,,喵果节日礼包,GiftPackage,1,,3=-36=-37,16=16,有免费的喵果礼包，则小红点提示领取,,1
19,19,,,,时尚度道具奖励检测,FashionAward,1,,3=-66=-71,16=16,,,
49,49,,,,手册-魔物图鉴,MonsterHandBook,1,,3=-6=-37,16=16,,,
111,,,,112|113,回归活动,Return,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_02,5=1.8=-22.3,220=220,,,
112,112,,,,回归累登,ReBackLogin,1,,5=61=31,16=16,,,
113,111,,,,回归任务,ReBackTask,1,,5=61=31,16=16,,,
251,,,,3,卖场-邮件,MailOfShop,1,,3=-2=-1,16=16,,,
12,12,,2=1=12,,一转,RedSignPro1,1,,3=-5=-5,16=16,,,
13,13,,2=1=13,,二转,RedSignPro2,1,,3=-5=-5,16=16,,,
14,12,,2=1=12,,角色界面进阶提示,RedSignProHint1,1,,3=40.5=-38,16=16,,,
15,13,,2=1=13,,角色界面进阶提示,RedSignProHint2,1,,3=40.5=-38,16=16,,,
114,114,,2=3=0,,喵喵丰收限时返利,WelfareTimeLimitPay,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_03,5=2.6=10.8,220=220,活动开启时显示，点击一次后消失,活动期间首次点击后隐藏,
115,115,,,,首冲礼包按钮特效,FirstRechargeButtonEffect,4,Effects/Prefabs/Creature/Ui/Fx_UI_ShouChong,5=1.9=0.5,80=75,,,
300,300,,,,萌新奖励,NewPlayer,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_02,5=1.8=-22.3,220=220,有可以领取的等级礼盒,,
301,301,,,,意见反馈,SuggestionAward,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_02,5=1.8=-22.3,220=220,未领取意见反馈奖励,,
116,,,1=3=0,,重要邮件,ImportantMail,0,,5=0=0,16=16,,,1
120,120,,3=1=120,,战场玩法说明,BattleFieldHintEffect,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Button_circle_weak,5=0=0,780=780,,,
207,,,,208,松饼屋活动选项红点,MidAutumnPoint1,1,,5=87=26,16=16,,,
208,,,,209|211,松饼屋活动前往按钮红点,MidAutumnPoint2,1,,5=96=21,16=16,,,
209,,,,210,松饼拼盘页签红点,MidAutumnCollectPage,1,,5=64=19.5,16=16,,,
210,210,,,,松饼拼盘查看奖励红点,MidAutumnCollect,1,,5=78=23,16=16,,,
211,211,,,,每日签到页签红点,MidAutumnLoginPage,1,,5=-9.5=25,16=16,,,
220,223,,,,金秋祈愿活动选项红点,MidAutumnDraw,1,,5=87=26,16=16,,,
221,223,,,,金秋祈愿前往按钮红点,MidAutumnDrawGo,1,,5=96=21,16=16,,,
999,999,,,,载具特色度道具奖励检测,VehicleAward,1,,1=88=-10,16=16,,,
1000,999,,,,载具特色度道具奖励检测,VehicleAwardBtn,1,,3=-66=0,16=16,,,
1001,999,,,,载具特色度道具奖励检测主界面按钮,VehicleAwardMainBtn,1,,5=16=16,16=16,,,
224,224,,,,直购礼包功能页签小红点,RechargePackage,1,,5=88=30,16=16,,,
225,224,,,,直购礼包小礼包小红点,RechargePackageFree,1,,3=-6=-15,16=16,,,
213,213,,,,ep2签到活动选项红点,FifteenDaysSignIn,1,,5=88=30,16=16,,,
380,,,,383|384|385,回归招募红点,ReturnRecruitRedPoint,1,,5=88=30,16=16,,,
381,381,,,,回归招募-招募任务红点（废弃）,ReturnRecruitTaskRedPoint,1,,5=58=21,16=16,,,
382,382,,,,回归招募-活跃奖励红点（废弃）,ReturnRecruitActiiveRedPoint,1,,5=58=21,16=16,,,
383,383,,,,回归招募-见面礼,ReturnRecruitMeetingGift,1,,5=87=26,16=16,,,
390,390,,,,附魔活动页签,EnchantActivityTask,1,,5=87=30,16=16,,,
391,391,,,,精炼活动页签,RefineActivityTask,1,,5=87=30,16=16,,,
1101,,,,1102|1106,通行证活动页签,PassCheckRedSign,1,,5=87=30,16=16,,,
1102,1101,,,,通行证领奖,PassCheckAwardButton,1,,5=61.5=16,16=16,,,
1103,1103,,,,通行证每日任务,PassCheckDailyTask,1,,5=80=30,16=16,,,
1104,1104,,,,通行证赛季任务,PassCheckSeasonTask,1,,5=80=30,16=16,,,
1105,1105,,,,通行证特别任务,PassCheckSpecialTask,1,,5=80=30,16=16,,,
1106,,,,1103|1104|1105,通行证任务按钮,PassCheckTaskButton,1,,5=44=17,16=17,,,
226,,,,227,经验加倍,EnTrustRedSign1,1,,5=88=30,16=16,,,
227,227,,3=3=0,,经验加倍（未进行委托引导）,EnTrustRedSign2,1,,5=96=21,16=16,,,
50,,,,400,手册-剧情图鉴,IllustrationStory,1,,3=-6=-37,20=20,,,
400,400,,,,手册-剧情图鉴-解锁奖励,IllustrationStoryUnlockAward,1,,5=27=23,16=16,,,
230,230,,,,新职业福利页签红点,NewProfessionColumn,1,,5=88=30,16=16,,,
235,235,,,,赫尔海姆竞速左侧标签红点,HaiMuRacing,1,,5=88=30,16=16,,,
214,,,,215,好运厨房活动选项红点,SpringFestivalMili,1,,5=87=26,16=16,,,
215,,,,216|217,好运厨房活动前往按钮红点,SpringFestivalMiliGo,1,,5=113=30,16=16,,,
216,,,,219,餐厅商店页签红点,SpringFestivalMiliKitchen,1,,5=42=27,16=16,,,
217,,,,218,新年餐桌页签红点,SpringFestivalMiliDiner,1,,5=42=27,16=16,,,
218,215,,,,新年餐桌查看奖励红点,SpringFestivalMiliReward,1,,5=60=20,16=16,,,
219,214,,2=3=0,,好运厨房菜品列表选项红点,SpringFestivalMiliDish,1,,3=-4=-5,16=16,,,
236,236,,,,生活职业解锁红点,LifeProfessionUnlock,1,,5=88=30,16=16,,,
500,500,,,,时空模拟战任务红点,FvFLocalServerTask,1,,3=40=-30,16=16,,,
404,404,,,,测试监控报错数量红点,GMErrorMessageMonitor,2,,3=-5=-5,16=16,,,
228,228,,,,单个直购礼包功能页签小红点,RechargePackage2,1,,5=88=30,16=16,,,
229,228,,,,单个直购礼包小礼包小红点,RechargePackageFree2,1,,3=-60=-15,16=16,,,
405,,,,,小恶魔的献礼左侧页签红点,DemonTreasureAward,1,,5=87=26,16=16,,,1
384,384,,,,回归招募单个玩家完成所有任务奖励,ReturnRecruitReturnerAward,1,,3=0=0,16=16,,,
385,385,,,,回归招募任务奖励领取,ReturnRecruitMyTask,1,,3=0=0,16=16,,,
199,,,,1993|1994|1995|1996,十连抽扭蛋,Gacha,1,,3=-10.5=-10,16=16,,,
1300,1300,,,,掷骰子活动页签,DiceRedSign,1,,5=87=30,16=16,,,
1301,1301,,,,掷骰子任务,DiceActivityTask,1,,5=87=30,16=16,,,
1302,1302,,,,掷骰子骰子数,DiceNumRedSign,1,,5=87=30,16=16,,,
233,233,,,,集字活动,CollectCharacter,1,,5=87=26,16=16,,,
501,,,2=1=50,502,手册-卡片图鉴,CardCombineKeyFa,1,,3=-6=-37,20=20,,,
502,50,,,,卡片图鉴—页签,CardCombineKey,1,,5=55=23,16=16,,,
1991,1991,,2=3=0,,扭蛋限时奖池1,GachaTimeLimit1,1,,3=-54.4=-23.8,16=16,,,
1992,1992,,2=3=0,,扭蛋限时奖池2,GachaTimeLimit2,1,,3=-54.4=-23.8,16=16,,,
901,901,,,,签到特权活动,PaidSignIn,1,,5=88=30,16=16,,,
902,902,,,,签到特权-一键领取,PaidSignInOneKey,1,,5=99=22,16=17,,,
241,,,,242,卡片树页签小红点,FestivalDrawTree,1,,5=88=30,16=16,,,
242,241,,,,卡片树抽取按钮小红点,FestivalDrawTreeFreeDraw,1,,5=96=21,16=16,,,
2000,2000,,,,周年庆周年回顾,AnniversaryJam,1,,3=-10=-10,16=16,,,
119,119,,,,首冲礼包按钮特效,SubscriptionButtonEffect,4,Effects/Prefabs/Creature/Ui/Fx_UI_ShouChong,5=1.9=0.5,80=75,,,
1993,1993,,2=3=0,,夏日外观扭蛋,GachaTimeLimit3,1,,3=-54.4=-23.8,16=16,,,
1994,1994,,2=3=0,,夏日外观扭蛋Ⅱ,GachaTimeLimit4,1,,3=-54.4=-23.8,16=16,,,
1995,1995,,2=3=0,,夏日外观扭蛋Ⅲ,GachaTimeLimit5,1,,3=-54.4=-23.8,16=16,,,
1996,1996,,2=3=0,,夏日外观扭蛋Ⅳ,GachaTimeLimit6,1,,3=-54.4=-23.8,16=16,,,
100,100,,3=3=0,,公会列表-一键申请,GuildList1,1,,3=-5=-5,16=16,申请列表不为空；,申请列表为空；,
101,101,,3=3=0,,公会列表-问号按钮,GuildList2,1,,3=-5=-5,16=16,申请列表不为空；,申请列表为空；,
