ID,CardName,CardTexture,CardColor,CardAttributes,CanUsePosition,IsShowInHandBook,CardLevelType,SortId,CardCollectAttr,CardStar
4040008,小巴风特卡片,MonsterCard/UI_MonsterCard_Xiaobafengte.jpg,3,0=55=1|0=18=3,4,1,5,200,0=27=5,1
4040022,傀儡娃娃卡片,MonsterCard/UI_MonsterCard_Kuileiwawa.jpg,3,0=189=1500,4,1,5,100,0=189=100,1
4040024,幽灵剑士卡片,MonsterCard/UI_MonsterCard_Youlingjianshi.jpg,4,0=186=2000,4,1,6,450,0=27=12,1
4040025,朽魔卡片,MonsterCard/UI_MonsterCard_xiumo.jpg,3,1=510029151=0,4,1,6,270,0=57=2,1
4050001,苍蝇卡片,MonsterCard/UI_MonsterCard_Cangying.jpg,1,0=18=1|0=53=2,5,1,1,120,0=27=2,1
4050005,腐尸卡片,MonsterCard/UI_MonsterCard_Fushi.jpg,2,0=76=1000|0=47=200,5,1,2,40,0=36=2,1
4050006,玛勒盗虫卡片,MonsterCard/UI_MonsterCard_Maledaochong.jpg,1,0=18=2,5,1,2,60,0=36=2,1
4050007,转转蛋卡片,MonsterCard/UI_MonsterCard_Zhuanzhuandan.jpg,2,0=78=800|0=48=200,5,1,3,40,0=36=2,1
4050002,木乃伊犬卡片,MonsterCard/UI_MonsterCard_Munaiyiquan.jpg,3,0=48=300|0=50=400,5,1,3,140,0=55=2,1
4050003,人鱼士兵卡片,MonsterCard/UI_MonsterCard_Renyushibing.jpg,2,0=78=500|0=48=200|0=76=500,5,1,4,40,0=47=20,1
4050008,鬼女卡片,MonsterCard/UI_MonsterCard_Guinv.jpg,3,0=78=800|0=48=400,5,1,4,200,0=47=50,1
4050012,狂暴野猫卡片,MonsterCard/UI_MonsterCard_Kuangbaoyemao.jpg,3,0=18=2|0=53=5,5,1,5,50,0=27=5,1
4050013,地狱梦魇卡片,MonsterCard/UI_MonsterCard_Diyumengyan.jpg,4,0=18=2|0=48=400|1=510025010=0,5,1,5,290,0=27=12,1
4050014,黑暗之王卡片,MonsterCard/UI_MonsterCard_Heianzhiwang.jpg,6,1=510027232=0|0=48=500,5,1,6,630,0=37=300,3
4050015,腐尸战俘卡片,MonsterCard/UI_MonsterCard_Fushizhanfu.jpg,3,0=48=300|0=216=500,5,1,6,40,0=27=5,1
4060004,魔菇卡片,MonsterCard/UI_MonsterCard_Mogu.jpg,1,0=22=2,6,1,1,90,0=27=2,1
4060007,森灵卡片,MonsterCard/UI_MonsterCard_Senling.jpg,1,0=20=2,6,1,1,70,0=36=2,1
4060001,克瑞米卡片,MonsterCard/UI_MonsterCard_Keruimi.jpg,2,4=10007=1,6,1,2,150,0=47=50,1
4060002,溜溜猴卡片,MonsterCard/UI_MonsterCard_Liuliuhou.jpg,3,0=53=2|0=18=1,6,1,2,50,0=47=20,1
4060008,邪骸海盗卡片,MonsterCard/UI_MonsterCard_Xiehaihaidao.jpg,3,0=27=5|0=55=2,6,1,3,150,0=36=5,1
4060009,气泡虫卡片,MonsterCard/UI_MonsterCard_Qipaochong.jpg,3,4=10008=3,6,1,3,180,0=36=5,1
4060015,螳螂卡片,MonsterCard/UI_MonsterCard_Tanglang.jpg,3,0=14=2|0=28=100,6,1,4,240,0=36=5,1
4060016,剑鱼卡片,MonsterCard/UI_MonsterCard_Jianyu.jpg,4,0=84=2500|1=510016425=0,6,1,4,340,0=27=12,1
4060025,犬妖卡片,MonsterCard/UI_MonsterCard_Quanyao.jpg,3,0=55=4|0=14=2,6,1,5,60,0=36=5,1
4060026,恶灵卡片,MonsterCard/UI_MonsterCard_Eling.jpg,3,0=36=5|0=66=100,6,1,5,70,0=36=5,1
4060031,鹗枭首领卡片,MonsterCard/UI_MonsterCard_Exiaoshouling.jpg,4,1=510028444=0,6,1,6,430,0=48=100,1
4060032,邪恶使者卡片,MonsterCard/UI_MonsterCard_Xieeshizhe.jpg,3,1=510027939=0,6,1,6,30,0=36=5,1
4070001,树精卡片,MonsterCard/UI_MonsterCard_Shujing.jpg,1,0=47=100,7,1,1,50,0=36=2,1
4070017,钢鬃巨熊卡片,MonsterCard/UI_MonsterCard_gangzongjuxiong.jpg,4,0=22=5|1=510026121=0,7,1,2,280,0=48=100,1
4070003,土拨鼠卡片,MonsterCard/UI_MonsterCard_Tuboshu.jpg,2,0=47=150|0=261=2000,7,1,3,50,0=27=2,1
4070004,松鼠卡片,MonsterCard/UI_MonsterCard_Songshu.jpg,2,0=47=150|0=265=2000,7,1,3,10,0=36=2,1
4070007,蜂后卡片,MonsterCard/UI_MonsterCard_Fenghou.jpg,6,0=66=800|1=510022586=0,7,1,4,500,0=37=300,3
4070008,马尔杜克卡片,MonsterCard/UI_MonsterCard_Maerduke.jpg,4,0=16=3|1=510016930=0,7,1,4,410,0=36=12,1
4070002,小恶魔卡片,MonsterCard/UI_MonsterCard_Xiaoemo.jpg,4,0=14=5|1=510014203=0,7,1,5,250,0=27=12,1
4070006,狂暴蚁后卡片,MonsterCard/UI_MonsterCard_Kuangbaoyihou.jpg,4,0=22=8|1=510015516=0,7,1,5,280,0=48=100,1
4070018,迷幻之王卡片,MonsterCard/UI_MonsterCard_Mihuanzhiwang.jpg,4,0=84=-1000|0=82=-1000|0=48=-500,7,1,6,480,0=36=12,1
4070022,钟塔守护者卡片,MonsterCard/UI_MonsterCard_zhongtashouhu.jpg,4,0=16=5|0=102=-300,7,1,6,380,0=36=12,1
401001101,封印的海盗之王卡片,MonsterCard/UI_MonsterCard_Haidaozhiwang.jpg,5,1=510014910=0,1,0,,,,2
401001801,封印的巴风特卡片,MonsterCard/UI_MonsterCard_Bafengte.jpg,5,0=51=-20|1=907401=0,1,0,,,,2
402000501,封印的凯美拉卡片,MonsterCard/UI_MonsterCard_Kaimeila.jpg,5,1=510028646=0,3,0,,,,2
403000701,封印的天使波利卡片,MonsterCard/UI_MonsterCard_Tianshiboli.jpg,5,1=510014506=0,3,0,,,,2
404000301,封印的恶魔波利卡片,MonsterCard/UI_MonsterCard_Emoboli.jpg,5,0=186=2500|1=510025515=0,4,0,,,,2
405001201,封印的黑暗之王卡片,MonsterCard/UI_MonsterCard_Heianzhiwang.jpg,5,1=510027232=0,5,0,,,,2
407000701,封印的蜂后卡片,MonsterCard/UI_MonsterCard_Fenghou.jpg,5,0=66=500|1=510022586=0,7,0,,,,2
406003501,封印的鹗枭男爵卡片,MonsterCard/UI_MonsterCard_Exiaonanjue.jpg,5,1=510028343=0,6,0,,,,2
401000102,2星绿棉虫卡片,MonsterCard/UI_MonsterCard_Lvmianchong.jpg,1,0=22=2|0=47=110,1,0,,,,2
401000202,2星疯兔卡片,MonsterCard/UI_MonsterCard_Fengtu.jpg,1,0=24=2|0=55=2|0=53=2,1,0,,,,2
401000402,2星曼陀罗魔花卡片,MonsterCard/UI_MonsterCard_Mantuoluomohua.jpg,3,0=192=2100,1,0,,,,2
401000502,2星吸血蝙蝠卡片,MonsterCard/UI_MonsterCard_Xixuebianfu.jpg,2,0=27=6|0=36=6|1=510014102=0,1,0,,,,2
401000902,2星狼卡片,MonsterCard/UI_MonsterCard_Lang.jpg,3,0=27=16|0=55=2,1,0,,,,2
401001002,2星海葵卡片,MonsterCard/UI_MonsterCard_Haikui.jpg,4,0=203=2100,1,0,,,,2
401001702,2星哥布灵首领卡片,MonsterCard/UI_MonsterCard_Gebulinshouling.jpg,4,1=510015213=0|1=510023899=0|0=22=1,1,0,,,,2
401006102,2星远古海神卡片,MonsterCard/UI_MonsterCard_Yuanguhaiwang.jpg,4,0=82=-810,1,0,,,,2
401006702,2星艾斯恩魔女卡片,MonsterCard/UI_MonsterCard_Aisienmonv.jpg,4,0=249=1210|1=510027030=0,1,0,,,,2
401006802,2星深渊骑士卡片,MonsterCard/UI_MonsterCard_Shenyuanqishi.jpg,4,0=225=1510|1=510027131=0,1,0,,,,2
402000802,2星蜗牛卡片,MonsterCard/UI_MonsterCard_Woniu.jpg,1,0=32=2|0=47=210,2,0,,,,2
402000902,2星蚁卵卡片,MonsterCard/UI_MonsterCard_Yiluan.jpg,1,0=48=320,2,0,,,,2
402000102,2星盗虫卵卡片,MonsterCard/UI_MonsterCard_Daochongluan.jpg,1,0=47=260,2,0,,,,2
402000302,2星达拉蛙卡片,MonsterCard/UI_MonsterCard_Tubianwa.jpg,4,0=213=1510,2,0,,,,2
402001202,2星兽人战士卡片,MonsterCard/UI_MonsterCard_Shourenzhanshi.jpg,3,0=212=1510,2,0,,,,2
402001302,2星僵尸卡片,MonsterCard/UI_MonsterCard_Jangshi.jpg,3,0=48=410|0=183=500,2,0,,,,2
402001402,2星毕帝特飞龙卡片,MonsterCard/UI_MonsterCard_Biditefeilong.jpg,3,0=221=1510,2,0,,,,2
402000602,2星狂暴木乃伊卡片,MonsterCard/UI_MonsterCard_Kuangbaomunaiyi.jpg,3,0=48=410|1=510016728=0,2,0,,,,2
402000702,2星安毕斯卡片,MonsterCard/UI_MonsterCard_Anbisi.jpg,3,0=219=1510,2,0,,,,2
402001802,2星兽牙怪卡片,MonsterCard/UI_MonsterCard_Shouyaguai.jpg,4,0=230=1510|0=32=2,2,0,,,,2
402001902,2星弑神者卡片,MonsterCard/UI_MonsterCard_Shishenzhe.jpg,4,0=229=1510|0=32=2,2,0,,,,2
403000102,2星波利卡片,MonsterCard/UI_MonsterCard_Boli.jpg,1,0=24=3|0=53=2,3,0,,,,2
403000202,2星虫蛹卡片,MonsterCard/UI_MonsterCard_Chongyong.jpg,1,0=47=210,3,0,,,,2
403000402,2星盗虫卡片,MonsterCard/UI_MonsterCard_Daochong.jpg,1,0=18=1|0=41=3,3,0,,,,2
403001102,2星大嘴鸟卡片,MonsterCard/UI_MonsterCard_Dazuiniao.jpg,3,0=48=510,3,0,,,,2
403001702,2星绿苍蝇卡片,MonsterCard/UI_MonsterCard_Lvcangying.jpg,3,0=48=310|0=182=500,3,0,,,,2
403000902,2星野猪卡片,MonsterCard/UI_MonsterCard_Yezhu.jpg,3,0=48=410|0=212=300,3,0,,,,2
403001502,2星泥人卡片,MonsterCard/UI_MonsterCard_Niren.jpg,4,0=32=2|1=510016526=0,3,0,,,,2
403000602,2星幽灵波利卡片,MonsterCard/UI_MonsterCard_Youlingboli.jpg,4,1=510014304=0|0=32=1,3,0,,,,2
403001602,2星帕莎纳卡片,MonsterCard/UI_MonsterCard_Pashana.jpg,4,0=32=2|1=510017031=0,3,0,,,,2
403002702,2星暗神官卡片,MonsterCard/UI_MonsterCard_Anshenguan.jpg,4,0=32=2|0=16=2|1=510027535=0,3,0,,,,2
404000502,2星秃鹰卡片,MonsterCard/UI_MonsterCard_Tuying.jpg,1,0=53=6,4,0,,,,2
404000902,2星龙蝇卡片,MonsterCard/UI_MonsterCard_Longying.jpg,4,0=18=3|0=48=310|1=510021677=0,4,0,,,,2
404000102,2星蓝疯兔卡片,MonsterCard/UI_MonsterCard_Lanfengtu.jpg,2,0=22=3|1=510021374=0,4,0,,,,2
404000602,2星巧克猴卡片,MonsterCard/UI_MonsterCard_Qiaokehou.jpg,3,0=53=6|0=48=310|1=510021576=0,4,0,,,,2
404001102,2星蚯蚓卡片,MonsterCard/UI_MonsterCard_Qiuyin.jpg,3,0=183=1510,4,0,,,,2
404000202,2星猎蝇卡片,MonsterCard/UI_MonsterCard_Lieying.jpg,3,0=182=1510,4,0,,,,2
404000802,2星小巴风特卡片,MonsterCard/UI_MonsterCard_Xiaobafengte.jpg,3,0=55=2|0=18=4,4,0,,,,2
404002202,2星傀儡娃娃卡片,MonsterCard/UI_MonsterCard_Kuileiwawa.jpg,3,0=189=1510,4,0,,,,2
404002402,2星幽灵剑士卡片,MonsterCard/UI_MonsterCard_Youlingjianshi.jpg,4,0=186=2100,4,0,,,,2
404002502,2星朽魔卡片,MonsterCard/UI_MonsterCard_xiumo.jpg,3,1=510029151=0|0=18=4,4,0,,,,2
405000102,2星苍蝇卡片,MonsterCard/UI_MonsterCard_Cangying.jpg,1,0=18=2|0=53=3,5,0,,,,2
405000502,2星腐尸卡片,MonsterCard/UI_MonsterCard_Fushi.jpg,2,0=76=1100|0=47=210,5,0,,,,2
405000602,2星玛勒盗虫卡片,MonsterCard/UI_MonsterCard_Maledaochong.jpg,1,0=18=3,5,0,,,,2
405000702,2星转转蛋卡片,MonsterCard/UI_MonsterCard_Zhuanzhuandan.jpg,2,0=78=810|0=48=210,5,0,,,,2
405000202,2星木乃伊犬卡片,MonsterCard/UI_MonsterCard_Munaiyiquan.jpg,3,0=48=310|0=50=410,5,0,,,,2
405000302,2星人鱼士兵卡片,MonsterCard/UI_MonsterCard_Renyushibing.jpg,2,0=78=510|0=48=210|0=76=500,5,0,,,,2
405000802,2星鬼女卡片,MonsterCard/UI_MonsterCard_Guinv.jpg,3,0=78=810|0=48=410,5,0,,,,2
405001202,2星狂暴野猫卡片,MonsterCard/UI_MonsterCard_Kuangbaoyemao.jpg,3,0=18=3|0=53=6,5,0,,,,2
405001302,2星地狱梦魇卡片,MonsterCard/UI_MonsterCard_Diyumengyan.jpg,4,0=18=3|0=48=410|1=510025010=0,5,0,,,,2
405001502,2星腐尸战俘卡片,MonsterCard/UI_MonsterCard_Fushizhanfu.jpg,3,0=48=310|0=216=510,5,0,,,,2
406000402,2星魔菇卡片,MonsterCard/UI_MonsterCard_Mogu.jpg,1,0=22=3,6,0,,,,2
406000702,2星森灵卡片,MonsterCard/UI_MonsterCard_Senling.jpg,1,0=20=3,6,0,,,,2
406000102,2星克瑞米卡片,MonsterCard/UI_MonsterCard_Keruimi.jpg,2,4=10007=1|0=20=1,6,0,,,,2
406000202,2星溜溜猴卡片,MonsterCard/UI_MonsterCard_Liuliuhou.jpg,3,0=53=3|0=18=2,6,0,,,,2
406000802,2星邪骸海盗卡片,MonsterCard/UI_MonsterCard_Xiehaihaidao.jpg,3,0=27=6|0=55=3,6,0,,,,2
406000902,2星气泡虫卡片,MonsterCard/UI_MonsterCard_Qipaochong.jpg,3,4=10008=3|0=20=1,6,0,,,,2
406001502,2星螳螂卡片,MonsterCard/UI_MonsterCard_Tanglang.jpg,3,0=14=3|0=28=110,6,0,,,,2
406001602,2星剑鱼卡片,MonsterCard/UI_MonsterCard_Jianyu.jpg,4,0=84=2600|1=510016425=0,6,0,,,,2
406002502,2星犬妖卡片,MonsterCard/UI_MonsterCard_Quanyao.jpg,3,0=55=5|0=14=3,6,0,,,,2
406002602,2星恶灵卡片,MonsterCard/UI_MonsterCard_Eling.jpg,3,0=36=6|0=66=110,6,0,,,,2
406003102,2星鹗枭首领卡片,MonsterCard/UI_MonsterCard_Exiaoshouling.jpg,4,1=510028444=0|0=20=1,6,0,,,,2
406003202,2星邪恶使者卡片,MonsterCard/UI_MonsterCard_Xieeshizhe.jpg,3,1=510027939=0|0=20=1,6,0,,,,2
407000102,2星树精卡片,MonsterCard/UI_MonsterCard_Shujing.jpg,1,0=47=110,7,0,,,,2
407001702,2星钢鬃巨熊卡片,MonsterCard/UI_MonsterCard_gangzongjuxiong.jpg,4,0=22=6|1=510026121=0,7,0,,,,2
407000302,2星土拨鼠卡片,MonsterCard/UI_MonsterCard_Tuboshu.jpg,2,0=47=160|0=261=2100,7,0,,,,2
407000402,2星松鼠卡片,MonsterCard/UI_MonsterCard_Songshu.jpg,2,0=47=155|0=265=2100,7,0,,,,2
407000802,2星马尔杜克卡片,MonsterCard/UI_MonsterCard_Maerduke.jpg,4,0=16=4|1=510016930=0,7,0,,,,2
407000202,2星小恶魔卡片,MonsterCard/UI_MonsterCard_Xiaoemo.jpg,4,0=14=6|1=510014203=0,7,0,,,,2
407000602,2星狂暴蚁后卡片,MonsterCard/UI_MonsterCard_Kuangbaoyihou.jpg,4,0=22=9|1=510015516=0,7,0,,,,2
407001802,2星迷幻之王卡片,MonsterCard/UI_MonsterCard_Mihuanzhiwang.jpg,4,0=84=-1100|0=82=-1100|0=48=-500,7,0,,,,2
407002202,2星钟塔守护者卡片,MonsterCard/UI_MonsterCard_zhongtashouhu.jpg,4,0=16=6|0=102=-310,7,0,,,,2
401000103,3星绿棉虫卡片,MonsterCard/UI_MonsterCard_Lvmianchong.jpg,1,0=22=3|0=47=120,1,0,,,,3
401000203,3星疯兔卡片,MonsterCard/UI_MonsterCard_Fengtu.jpg,1,0=24=3|0=55=3|0=53=3,1,0,,,,3
401000403,3星曼陀罗魔花卡片,MonsterCard/UI_MonsterCard_Mantuoluomohua.jpg,3,0=192=2200,1,0,,,,3
401000503,3星吸血蝙蝠卡片,MonsterCard/UI_MonsterCard_Xixuebianfu.jpg,2,0=27=7|0=36=7|1=510014102=0,1,0,,,,3
401000903,3星狼卡片,MonsterCard/UI_MonsterCard_Lang.jpg,3,0=27=17|0=55=3,1,0,,,,3
401001003,3星海葵卡片,MonsterCard/UI_MonsterCard_Haikui.jpg,4,0=203=2200,1,0,,,,3
401001703,3星哥布灵首领卡片,MonsterCard/UI_MonsterCard_Gebulinshouling.jpg,4,1=510015213=0|1=510023899=0|0=22=2,1,0,,,,3
401006103,3星远古海神卡片,MonsterCard/UI_MonsterCard_Yuanguhaiwang.jpg,4,0=82=-820,1,0,,,,3
401006703,3星艾斯恩魔女卡片,MonsterCard/UI_MonsterCard_Aisienmonv.jpg,4,0=249=1220|1=510027030=0,1,0,,,,3
406003503,3星深渊骑士卡片,MonsterCard/UI_MonsterCard_Shenyuanqishi.jpg,4,0=225=1520|1=510027131=0,1,0,,,,3
402000803,3星蜗牛卡片,MonsterCard/UI_MonsterCard_Woniu.jpg,1,0=32=3|0=47=220,2,0,,,,3
402000903,3星蚁卵卡片,MonsterCard/UI_MonsterCard_Yiluan.jpg,1,0=48=330,2,0,,,,3
402000103,3星盗虫卵卡片,MonsterCard/UI_MonsterCard_Daochongluan.jpg,1,0=47=270,2,0,,,,3
402000303,3星达拉蛙卡片,MonsterCard/UI_MonsterCard_Tubianwa.jpg,4,0=213=1520,2,0,,,,3
402001203,3星兽人战士卡片,MonsterCard/UI_MonsterCard_Shourenzhanshi.jpg,3,0=212=1520,2,0,,,,3
402001303,3星僵尸卡片,MonsterCard/UI_MonsterCard_Jangshi.jpg,3,0=48=420|0=183=510,2,0,,,,3
402001403,3星毕帝特飞龙卡片,MonsterCard/UI_MonsterCard_Biditefeilong.jpg,3,0=221=1520,2,0,,,,3
402000603,3星狂暴木乃伊卡片,MonsterCard/UI_MonsterCard_Kuangbaomunaiyi.jpg,3,0=48=420|1=510016728=0,2,0,,,,3
402000703,3星安毕斯卡片,MonsterCard/UI_MonsterCard_Anbisi.jpg,3,0=219=1520,2,0,,,,3
402001803,3星兽牙怪卡片,MonsterCard/UI_MonsterCard_Shouyaguai.jpg,4,0=230=1520|0=32=3,2,0,,,,3
402001903,3星弑神者卡片,MonsterCard/UI_MonsterCard_Shishenzhe.jpg,4,0=229=1520|0=32=3,2,0,,,,3
403000103,3星波利卡片,MonsterCard/UI_MonsterCard_Boli.jpg,1,0=24=4|0=53=3,3,0,,,,3
403000203,3星虫蛹卡片,MonsterCard/UI_MonsterCard_Chongyong.jpg,1,0=47=220,3,0,,,,3
403000403,3星盗虫卡片,MonsterCard/UI_MonsterCard_Daochong.jpg,1,0=18=2|0=41=4,3,0,,,,3
403001103,3星大嘴鸟卡片,MonsterCard/UI_MonsterCard_Dazuiniao.jpg,3,0=48=520,3,0,,,,3
403001703,3星绿苍蝇卡片,MonsterCard/UI_MonsterCard_Lvcangying.jpg,3,0=48=320|0=182=510,3,0,,,,3
403000903,3星野猪卡片,MonsterCard/UI_MonsterCard_Yezhu.jpg,3,0=48=420|0=212=310,3,0,,,,3
403001503,3星泥人卡片,MonsterCard/UI_MonsterCard_Niren.jpg,4,0=32=3|1=510016526=0,3,0,,,,3
403000603,3星幽灵波利卡片,MonsterCard/UI_MonsterCard_Youlingboli.jpg,4,1=510014304=0|0=32=2,3,0,,,,3
403001603,3星帕莎纳卡片,MonsterCard/UI_MonsterCard_Pashana.jpg,4,0=32=3|1=510017031=0,3,0,,,,3
403002703,3星暗神官卡片,MonsterCard/UI_MonsterCard_Anshenguan.jpg,4,0=32=3|0=16=3|1=510027535=0,3,0,,,,3
404000503,3星秃鹰卡片,MonsterCard/UI_MonsterCard_Tuying.jpg,1,0=53=7,4,0,,,,3
404000903,3星龙蝇卡片,MonsterCard/UI_MonsterCard_Longying.jpg,4,0=18=4|0=48=320|1=510021677=0,4,0,,,,3
404000103,3星蓝疯兔卡片,MonsterCard/UI_MonsterCard_Lanfengtu.jpg,2,0=22=4|1=510021374=0,4,0,,,,3
404000603,3星巧克猴卡片,MonsterCard/UI_MonsterCard_Qiaokehou.jpg,3,0=53=7|0=48=320|1=510021576=0,4,0,,,,3
404001103,3星蚯蚓卡片,MonsterCard/UI_MonsterCard_Qiuyin.jpg,3,0=183=1520,4,0,,,,3
404000203,3星猎蝇卡片,MonsterCard/UI_MonsterCard_Lieying.jpg,3,0=182=1520,4,0,,,,3
404000803,3星小巴风特卡片,MonsterCard/UI_MonsterCard_Xiaobafengte.jpg,3,0=55=3|0=18=5,4,0,,,,3
