ID,MainSonId,Type,Day,Award,ChargeAward,
20612,1906,2,12,8301580,,太珍儿萌新累计12天
20613,1906,2,13,8301590,,太珍儿萌新累计13天
20614,1906,2,14,8301600,,太珍儿萌新累计14天
20615,1906,2,15,8301610,,太珍儿萌新累计15天
20701,1907,2,1,8301620,,太珍儿回归累计1天
20702,1907,2,2,8301630,,太珍儿回归累计2天
20703,1907,2,3,8301640,,太珍儿回归累计3天
20704,1907,2,4,8301650,,太珍儿回归累计4天
20705,1907,2,5,8301660,,太珍儿回归累计5天
20706,1907,2,6,8301670,,太珍儿回归累计6天
20707,1907,2,7,8301680,,太珍儿回归累计7天
20708,1907,2,8,8301690,,太珍儿回归累计8天
20709,1907,2,9,8301700,,太珍儿回归累计9天
20710,1907,2,10,8301710,,太珍儿回归累计10天
20711,1907,2,11,8301720,,太珍儿回归累计11天
20712,1907,2,12,8301730,,太珍儿回归累计12天
20713,1907,2,13,8301740,,太珍儿回归累计13天
20714,1907,2,14,8301750,,太珍儿回归累计14天
20715,1907,2,15,8301760,,太珍儿回归累计15天
20801,1423,2,1,8610010,,新年新服累计1天
20802,1423,2,2,8610020,,新年新服累计2天
20803,1423,2,3,8610030,,新年新服累计3天
20804,1423,2,4,8610040,,新年新服累计4天
20805,1423,2,5,8610050,,新年新服累计5天
20806,1423,2,6,8610060,,新年新服累计6天
20807,1423,2,7,8610070,,新年新服累计7天
20808,1423,2,8,8610080,,新年新服累计8天
20809,1423,2,9,8610090,,新年新服累计9天
20810,1423,2,10,8610100,,新年新服累计10天
20811,1423,2,11,8610110,,新年新服累计11天
20812,1423,2,12,8610120,,新年新服累计12天
20813,1423,2,13,8610130,,新年新服累计13天
20814,1423,2,14,8610140,,新年新服累计14天
20815,1423,2,15,8610150,,新年新服累计15天
20901,1424,2,1,8610160,,新年老服活跃累计1天
20902,1424,2,2,8610170,,新年老服活跃累计2天
20903,1424,2,3,8610180,,新年老服活跃累计3天
20904,1424,2,4,8610190,,新年老服活跃累计4天
20905,1424,2,5,8610200,,新年老服活跃累计5天
20906,1424,2,6,8610210,,新年老服活跃累计6天
20907,1424,2,7,8610220,,新年老服活跃累计7天
20908,1424,2,8,8610230,,新年老服活跃累计8天
20909,1424,2,9,8610240,,新年老服活跃累计9天
20910,1424,2,10,8610250,,新年老服活跃累计10天
20911,1424,2,11,8610260,,新年老服活跃累计11天
20912,1424,2,12,8610270,,新年老服活跃累计12天
20913,1424,2,13,8610280,,新年老服活跃累计13天
20914,1424,2,14,8610290,,新年老服活跃累计14天
20915,1424,2,15,8610300,,新年老服活跃累计15天
21001,1425,2,1,8610310,,新年老服萌新累计1天
21002,1425,2,2,8610320,,新年老服萌新累计2天
21003,1425,2,3,8610330,,新年老服萌新累计3天
21004,1425,2,4,8610340,,新年老服萌新累计4天
21005,1425,2,5,8610350,,新年老服萌新累计5天
21006,1425,2,6,8610360,,新年老服萌新累计6天
21007,1425,2,7,8610370,,新年老服萌新累计7天
21008,1425,2,8,8610380,,新年老服萌新累计8天
21009,1425,2,9,8610390,,新年老服萌新累计9天
21010,1425,2,10,8610400,,新年老服萌新累计10天
21011,1425,2,11,8610410,,新年老服萌新累计11天
21012,1425,2,12,8610420,,新年老服萌新累计12天
21013,1425,2,13,8610430,,新年老服萌新累计13天
21014,1425,2,14,8610440,,新年老服萌新累计14天
21015,1425,2,15,8610450,,新年老服萌新累计15天
21101,1426,2,1,8610460,,新年老服回归累计1天
21102,1426,2,2,8610470,,新年老服回归累计2天
21103,1426,2,3,8610480,,新年老服回归累计3天
21104,1426,2,4,8610490,,新年老服回归累计4天
21105,1426,2,5,8610500,,新年老服回归累计5天
21106,1426,2,6,8610510,,新年老服回归累计6天
21107,1426,2,7,8610520,,新年老服回归累计7天
21108,1426,2,8,8610530,,新年老服回归累计8天
21109,1426,2,9,8610540,,新年老服回归累计9天
21110,1426,2,10,8610550,,新年老服回归累计10天
21111,1426,2,11,8610560,,新年老服回归累计11天
21112,1426,2,12,8610570,,新年老服回归累计12天
21113,1426,2,13,8610580,,新年老服回归累计13天
21114,1426,2,14,8610590,,新年老服回归累计14天
21115,1426,2,15,8610600,,新年老服回归累计15天
21201,1427,2,1,8710010,,春天新服累计1天
21202,1427,2,2,8710020,,春天新服累计2天
21203,1427,2,3,8710030,,春天新服累计3天
21204,1427,2,4,8710040,,春天新服累计4天
21205,1427,2,5,8710050,,春天新服累计5天
21206,1427,2,6,8710060,,春天新服累计6天
21207,1427,2,7,8710070,,春天新服累计7天
21208,1427,2,8,8710080,,春天新服累计8天
21209,1427,2,9,8710090,,春天新服累计9天
21210,1427,2,10,8710100,,春天新服累计10天
21211,1427,2,11,8710110,,春天新服累计11天
21212,1427,2,12,8710120,,春天新服累计12天
21213,1427,2,13,8710130,,春天新服累计13天
21214,1427,2,14,8710140,,春天新服累计14天
21215,1427,2,15,8710150,,春天新服累计15天
21301,1428,2,1,8710160,,春天老服活跃累计1天
21302,1428,2,2,8710170,,春天老服活跃累计2天
21303,1428,2,3,8710180,,春天老服活跃累计3天
21304,1428,2,4,8710190,,春天老服活跃累计4天
21305,1428,2,5,8710200,,春天老服活跃累计5天
21306,1428,2,6,8710210,,春天老服活跃累计6天
21307,1428,2,7,8710220,,春天老服活跃累计7天
21308,1428,2,8,8710230,,春天老服活跃累计8天
21309,1428,2,9,8710240,,春天老服活跃累计9天
21310,1428,2,10,8710250,,春天老服活跃累计10天
21311,1428,2,11,8710260,,春天老服活跃累计11天
21312,1428,2,12,8710270,,春天老服活跃累计12天
21313,1428,2,13,8710280,,春天老服活跃累计13天
21314,1428,2,14,8710290,,春天老服活跃累计14天
21315,1428,2,15,8710300,,春天老服活跃累计15天
21401,1429,2,1,8710310,,春天老服萌新累计1天
21402,1429,2,2,8710320,,春天老服萌新累计2天
21403,1429,2,3,8710330,,春天老服萌新累计3天
21404,1429,2,4,8710340,,春天老服萌新累计4天
21405,1429,2,5,8710350,,春天老服萌新累计5天
21406,1429,2,6,8710360,,春天老服萌新累计6天
21407,1429,2,7,8710370,,春天老服萌新累计7天
21408,1429,2,8,8710380,,春天老服萌新累计8天
21409,1429,2,9,8710390,,春天老服萌新累计9天
21410,1429,2,10,8710400,,春天老服萌新累计10天
21411,1429,2,11,8710410,,春天老服萌新累计11天
21412,1429,2,12,8710420,,春天老服萌新累计12天
21413,1429,2,13,8710430,,春天老服萌新累计13天
21414,1429,2,14,8710440,,春天老服萌新累计14天
21415,1429,2,15,8710450,,春天老服萌新累计15天
21501,1430,2,1,8710460,,春天老服回归累计1天
21502,1430,2,2,8710470,,春天老服回归累计2天
21503,1430,2,3,8710480,,春天老服回归累计3天
21504,1430,2,4,8710490,,春天老服回归累计4天
21505,1430,2,5,8710500,,春天老服回归累计5天
21506,1430,2,6,8710510,,春天老服回归累计6天
21507,1430,2,7,8710520,,春天老服回归累计7天
21508,1430,2,8,8710530,,春天老服回归累计8天
21509,1430,2,9,8710540,,春天老服回归累计9天
21510,1430,2,10,8710550,,春天老服回归累计10天
21511,1430,2,11,8710560,,春天老服回归累计11天
21512,1430,2,12,8710570,,春天老服回归累计12天
21513,1430,2,13,8710580,,春天老服回归累计13天
21514,1430,2,14,8710590,,春天老服回归累计14天
21515,1430,2,15,8710600,,春天老服回归累计15天
21601,2100,2,1,8400010,,日新服回归累计1天
21602,2100,2,2,8400020,,日新服回归累计2天
21603,2100,2,3,8400030,,日新服回归累计3天
21604,2100,2,4,8400040,,日新服回归累计4天
21605,2100,2,5,8400050,,日新服回归累计5天
21606,2100,2,6,8400060,,日新服回归累计6天
21607,2100,2,7,8400070,,日新服回归累计7天
21608,2100,2,8,8400080,,日新服回归累计8天
21609,2100,2,9,8400090,,日新服回归累计9天
21610,2100,2,10,8400100,,日新服回归累计10天
21611,2100,2,11,8400110,,日新服回归累计11天
21612,2100,2,12,8400120,,日新服回归累计12天
21613,2100,2,13,8400130,,日新服回归累计13天
21614,2100,2,14,8400140,,日新服回归累计14天
21615,2100,2,15,8400150,,日新服回归累计15天
21616,2200,3,1,3050310,3050460,付费特权累计1天
21617,2200,3,2,3050320,3050470,付费特权累计2天
21618,2200,3,3,3050330,3050480,付费特权累计3天
21619,2200,3,4,3050340,3050490,付费特权累计4天
21620,2200,3,5,3050350,3050500,付费特权累计5天
21621,2200,3,6,3050360,3050510,付费特权累计6天
21622,2200,3,7,3050370,3050520,付费特权累计7天
21623,2200,3,8,3050380,3050530,付费特权累计8天
21624,2200,3,9,3050390,3050540,付费特权累计9天
21625,2200,3,10,3050400,3050550,付费特权累计10天
21626,2200,3,11,3050410,3050560,付费特权累计11天
21627,2200,3,12,3050420,3050570,付费特权累计12天
21628,2200,3,13,3050430,3050580,付费特权累计13天
21629,2200,3,14,3050440,3050590,付费特权累计14天
21630,2200,3,15,3050450,3050600,付费特权累计15天
