ID,,MgrName,CheckMethodName,OpenSystemID,LevelCheck,TimeCheck,CheckMethodType
391,精炼行动,RefineActivityMgr,CheckRedSign,17100,,,
230,新职业界面页签小红点,RedSignMgr,ChecknewProfessionRedPoint,1910,,,
235,赫尔海姆竞速,FestivalHaimuMgr,CheckHaiMuHasRedPoint,12011,,,
214,首次获得饭票,SpringFestivalDishesMgr,CheckDishRedSign,14015,,,
215,收集奖励可领取,SpringFestivalDishesMgr,CheckRewardRedSign,14015,,,
236,生活职业解锁红点,LifeProfessionMgr,CheckRedSign,6000,,,
384,回归招募单个玩家完成所有任务奖励,ReturnRecruitMgr,CheckReturnerAwardRedSign,12004,,,
385,回归招募任务奖励领取,ReturnRecruitMgr,CheckMyTaskRedSign,12004,,,
500,时空模拟战任务红点,LocalServerRankMainMgr,CheckRedSignMethod,12101,,,
404,测试监控报错数量红点,GM.LogReceivedMgr,GetErrorMessageCountInTotal,,,,
199,十连抽扭蛋,GachaMgr,CheckGachaRedDot,199,,,
1300,掷骰子活动页签,DiceRollMgr,CheckDiceTabRedSign,11880,,,
1301,掷骰子任务红点,DiceRollMgr,CheckDiceTaskRedSign,11880,,,
1302,掷骰子骰子数红点,DiceRollMgr,CheckDiceNumRedSign,11880,,,
1991,扭蛋限时奖池1开启红点,GachaMgr,CheckGachaRedDot,19901,,,
1992,扭蛋限时奖池2开启红点,GachaMgr,CheckGachaRedDot,19902,,,
901,特权签到,PaidSignInMgr,CheckRedSign,15030,,,
902,特权签到-一键,PaidSignInMgr,CheckRedSign,15030,,,
233,集字活动,CollectCharacterMgr,CharacterCollectCheckRedSign,11882,,,
1993,扭蛋限时奖池3开启红点,GachaMgr,CheckGachaRedDot,19949,,,
1994,扭蛋限时奖池4开启红点,GachaMgr,CheckGachaRedDot,19950,,,
1995,扭蛋限时奖池5开启红点,GachaMgr,CheckGachaRedDot,19951,,,
1996,扭蛋限时奖池6开启红点,GachaMgr,CheckGachaRedDot,19952,,,
119,付费首充礼包常驻特效显示,GiftPackageMgr,CheckShowEffectFirstRedSign,11220,,,
241,卡片树小红点,MidAutumnDrawMgr,CheckFreeDrawTimeRedSign,29900,,,
2000,周年庆周年回顾,AnniversaryJamMgr,CheckAnniversaryJamRedDot,30000,,,
263,喵果返利,MiaoRechargeAwardMgr,IsRedPointShow,10838,,,
100,公会列表-一键申请,GuildMgr,CheckNoGuildRedSignMethod,,,,
101,公会列表-问号按钮,GuildMgr,CheckNoGuildRedSignMethod,,,,
